,Location,YEAR,Month,Day,ShWave,UVA,UVB,UVindx,Lon,Lat,Temp,DewFrost,WBulbTemp2M,EarthSkin,SpecHumid2M,RelHumid2M,Precipitation,SfPressure,WiSpeed2M,WiDirect2M,WiSpeed10M,WiDirect10M,WSfSoil,Region,Farming,Rearing,Fishery
0,AnGiang,2022,October,1,5.04,13.66,0.4,2.02,105.1541,10.5026,26.63,25.05,25.84,26.59,19.84,poor_high,4.89,100.75,2.45,South_West,3.59,South_West,0.94,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
1,AnGiang,2022,October,2,3.42,9.98,0.29,1.45,105.1541,10.5026,26.87,24.5,25.69,26.98,19.23,poor_high,6.55,100.68,1.18,West,1.75,West,0.94,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
2,AnGiang,2022,October,3,4.3,11.82,0.34,1.76,105.1541,10.5026,26.63,24.74,25.69,26.68,19.47,poor_high,21.9,100.68,1.84,East,2.7,East,0.96,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
3,AnGiang,2022,October,4,4.11,11.66,0.35,1.77,105.1541,10.5026,26.01,24.35,25.19,26.02,18.98,poor_high,7.56,100.86,2.19,East,3.25,East,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
4,AnGiang,2022,October,5,4.49,12.45,0.37,1.9,105.1541,10.5026,26.62,24.73,25.67,26.67,19.47,poor_high,6.12,100.86,2.55,East,3.72,East,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
5,AnGiang,2022,October,6,4.04,11.37,0.34,1.72,105.1541,10.5026,26.23,24.49,25.36,26.33,19.17,poor_high,24.85,100.93,1.83,East,2.66,East,0.96,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
6,AnGiang,2022,October,7,5.25,13.71,0.39,1.98,105.1541,10.5026,26.88,24.68,25.78,27.05,19.41,poor_high,21.7,100.88,1.4,East,2.11,East,0.96,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
7,AnGiang,2022,October,8,1.31,4.38,0.14,0.7,105.1541,10.5026,26.95,24.59,25.77,27.01,19.29,poor_high,10.88,100.9,0.88,South_West,1.34,South_West,0.96,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
8,AnGiang,2022,October,9,2.57,7.95,0.23,1.2,105.1541,10.5026,26.47,24.53,25.5,26.55,19.17,poor_high,2.46,100.97,1.48,South,2.23,South,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
9,AnGiang,2022,October,10,4.83,12.79,0.37,1.88,105.1541,10.5026,26.27,24.15,25.21,26.34,18.74,poor_high,3.44,101.03,1.81,East,2.7,East,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
10,AnGiang,2022,October,11,4.51,12.73,0.37,1.86,105.1541,10.5026,26.51,24.14,25.33,26.76,18.74,poor_high,14.53,100.97,1.04,South,1.55,South,0.96,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
