-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  10.5026   Longitude 105.1541 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,5.0,13.38,0.41,2.06
2020,10,2,3.97,11.11,0.34,1.76
2020,10,3,4.63,12.51,0.38,1.91
2020,10,4,4.95,13.23,0.4,2.02
2020,10,5,3.61,10.06,0.3,1.55
2020,10,6,4.6,12.54,0.38,1.89
2020,10,7,3.3,9.63,0.29,1.45
2020,10,8,4.57,12.83,0.39,1.98
2020,10,9,3.15,9.34,0.29,1.48
2020,10,10,3.93,11.03,0.34,1.7
2020,10,11,2.9,8.57,0.26,1.33
2020,10,12,3.85,11.04,0.34,1.73
2020,10,13,3.42,10.15,0.32,1.61
2020,10,14,2.67,8.29,0.26,1.31
2020,10,15,4.3,12.23,0.38,1.91
2020,10,16,2.27,7.14,0.21,1.09
2020,10,17,3.05,8.95,0.27,1.4
2020,10,18,3.02,8.94,0.27,1.36
2020,10,19,4.91,13.24,0.38,1.93
2020,10,20,4.72,12.62,0.36,1.85
2020,10,21,4.44,11.97,0.34,1.76
2020,10,22,5.57,14.43,0.42,2.15
2020,10,23,4.57,12.23,0.36,1.86
2020,10,24,5.04,13.05,0.38,1.93
2020,10,25,4.14,10.9,0.31,1.61
2020,10,26,5.24,13.23,0.38,1.91
2020,10,27,4.7,12.3,0.35,1.81
2020,10,28,3.0,8.49,0.25,1.26
2020,10,29,4.06,11.37,0.34,1.7
2020,10,30,5.37,14.07,0.39,2.02
2020,10,31,5.12,13.42,0.38,1.9
2020,11,1,4.26,11.53,0.33,1.66
2020,11,2,5.1,13.41,0.38,1.95
2020,11,3,5.42,13.69,0.39,2.01
2020,11,4,4.49,11.16,0.31,1.58
2020,11,5,5.34,13.28,0.37,1.88
2020,11,6,3.94,10.51,0.3,1.54
2020,11,7,5.07,12.84,0.35,1.81
2020,11,8,4.34,11.6,0.34,1.72
2020,11,9,4.21,10.76,0.3,1.58
2020,11,10,4.56,11.73,0.34,1.77
2020,11,11,2.21,6.73,0.2,1.02
2020,11,12,5.12,13.01,0.37,1.92
2020,11,13,5.46,13.83,0.38,1.95
2020,11,14,5.76,14.44,0.4,2.03
2020,11,15,5.59,13.69,0.38,1.92
2020,11,16,5.57,13.99,0.38,1.97
2020,11,17,5.53,14.09,0.39,2.05
2020,11,18,5.46,13.92,0.39,2.03
2020,11,19,4.64,12.16,0.35,1.84
2020,11,20,4.54,11.78,0.33,1.71
2020,11,21,4.82,12.68,0.36,1.87
2020,11,22,4.85,12.64,0.35,1.86
2020,11,23,5.2,13.17,0.36,1.85
2020,11,24,5.19,13.14,0.36,1.88
2020,11,25,4.86,12.73,0.37,1.92
2020,11,26,4.01,10.82,0.3,1.6
2020,11,27,4.91,12.56,0.35,1.83
2020,11,28,4.75,12.21,0.34,1.78
2020,11,29,3.41,9.62,0.28,1.48
2020,11,30,4.01,10.9,0.3,1.61
2020,12,1,3.76,10.38,0.3,1.57
2020,12,2,4.19,11.2,0.33,1.76
2020,12,3,6.0,14.52,0.38,2.0
2020,12,4,5.88,14.13,0.38,1.94
2020,12,5,5.7,13.8,0.38,1.96
2020,12,6,5.74,13.98,0.38,2.02
2020,12,7,4.29,11.38,0.34,1.78
2020,12,8,5.06,12.62,0.36,1.91
2020,12,9,5.0,12.5,0.35,1.89
2020,12,10,4.6,11.77,0.34,1.81
2020,12,11,4.01,10.69,0.31,1.66
2020,12,12,3.95,10.68,0.3,1.62
2020,12,13,4.22,11.09,0.33,1.76
2020,12,14,4.76,12.23,0.35,1.88
2020,12,15,3.84,10.3,0.3,1.65
2020,12,16,5.37,13.59,0.38,2.01
2020,12,17,4.94,12.52,0.37,1.96
2020,12,18,4.72,12.17,0.34,1.88
2020,12,19,4.3,11.09,0.3,1.62
2020,12,20,4.26,10.95,0.32,1.72
2020,12,21,5.42,13.11,0.36,1.9
2020,12,22,3.86,10.07,0.3,1.63
2020,12,23,2.84,8.2,0.24,1.31
2020,12,24,3.1,8.56,0.26,1.39
2020,12,25,4.89,12.45,0.38,2.05
2020,12,26,3.51,9.39,0.28,1.55
2020,12,27,5.09,12.33,0.35,1.9
2020,12,28,4.84,11.77,0.34,1.88
2020,12,29,4.8,11.84,0.35,1.94
2020,12,30,4.07,10.39,0.32,1.79
2020,12,31,4.22,10.62,0.32,1.76
