-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.5026   Longitude 105.1541 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.21,27.18,24.97,26.07,27.19,19.71,88.0,6.49,100.84,1.37,219.75,2.04,220.38,0.95
2021,275,1.95,26.4,25.01,25.7,26.26,19.78,92.12,40.75,100.89,2.27,222.94,3.32,222.88,0.98
2021,276,1.88,27.04,24.53,25.78,26.98,19.23,86.5,1.78,100.75,1.23,249.69,1.89,249.44,0.96
2021,277,2.1,27.19,24.72,25.96,27.23,19.47,86.88,5.32,100.63,0.93,255.06,1.45,255.56,0.96
2021,278,1.82,27.05,25.01,26.02,27.0,19.84,88.94,19.62,100.54,0.85,263.38,1.32,263.12,0.97
2021,279,1.38,26.44,24.76,25.6,26.42,19.59,90.62,14.75,100.39,2.19,271.5,3.12,271.25,0.97
2021,280,1.86,26.55,25.03,25.8,26.4,19.9,91.38,8.12,100.37,2.91,237.0,4.16,236.81,0.97
2021,281,1.87,26.96,25.46,26.21,26.65,20.39,91.5,23.76,100.41,3.84,246.88,5.5,246.69,0.98
2021,282,1.76,26.8,25.56,26.18,26.5,20.51,92.88,12.32,100.57,3.28,242.81,4.73,242.62,0.97
2021,283,1.94,27.25,25.55,26.4,27.02,20.51,90.62,2.88,100.53,3.06,248.5,4.43,248.25,0.96
2021,284,1.35,27.04,25.9,26.48,26.77,20.94,93.44,25.38,100.48,2.48,240.5,3.64,240.31,0.97
2021,285,1.85,25.76,24.68,25.22,25.55,19.47,93.62,23.35,100.52,3.3,233.69,4.75,233.44,0.98
2021,286,1.95,26.5,25.12,25.81,26.25,20.02,92.12,4.54,100.36,3.5,244.25,5.01,244.06,0.97
2021,287,2.06,27.15,25.58,26.37,26.83,20.57,91.19,7.96,100.46,3.23,228.94,4.68,228.81,0.97
2021,288,1.73,27.33,25.4,26.37,27.19,20.32,89.38,3.72,100.55,2.05,232.31,3.06,232.12,0.96
2021,289,1.6,26.92,23.82,25.37,26.84,18.43,84.0,2.42,100.73,1.3,244.12,2.06,244.12,0.95
2021,290,1.58,25.61,23.77,24.69,25.47,18.37,89.69,9.35,100.78,1.77,279.12,2.62,279.12,0.96
2021,291,1.77,26.25,24.09,25.17,26.55,18.74,88.31,0.94,100.89,1.55,100.38,2.28,100.19,0.95
2021,292,2.2,27.32,25.1,26.21,27.48,19.84,88.12,1.97,101.13,1.43,114.81,2.18,114.81,0.95
2021,293,1.53,26.91,25.18,26.05,27.01,19.9,90.5,4.71,101.16,1.32,182.56,1.99,182.88,0.95
2021,294,2.01,27.08,24.22,25.65,27.17,18.8,85.19,7.85,101.06,1.08,167.31,1.63,167.38,0.95
2021,295,1.7,26.58,24.61,25.6,26.69,19.23,89.19,2.7,101.07,1.58,125.81,2.37,125.94,0.94
2021,296,2.03,26.2,24.64,25.42,26.28,19.29,91.25,9.58,101.12,1.14,104.19,1.69,102.69,0.95
2021,297,2.04,26.59,24.22,25.4,26.58,18.8,87.19,1.01,101.02,1.62,32.44,2.4,30.94,0.94
2021,298,1.91,25.88,24.24,25.06,26.07,18.86,90.75,1.26,100.9,2.26,23.75,3.3,23.62,0.94
2021,299,1.96,27.33,24.84,26.08,27.48,19.59,86.88,0.11,100.78,2.25,24.0,3.28,24.06,0.93
2021,300,1.42,27.18,24.58,25.88,27.29,19.29,86.31,0.96,100.74,2.21,302.0,3.21,302.19,0.92
2021,301,2.01,27.13,25.13,26.13,27.15,19.9,89.12,2.85,100.89,1.98,152.94,2.92,153.12,0.92
2021,302,1.98,27.0,25.03,26.01,27.17,19.78,89.5,1.01,101.06,2.05,107.56,2.99,107.62,0.91
2021,303,2.04,26.88,24.8,25.84,26.98,19.47,88.88,7.04,101.09,2.0,100.0,2.91,100.5,0.92
2021,304,1.97,26.76,24.97,25.87,26.77,19.65,90.19,2.37,101.05,2.13,97.56,3.17,97.81,0.91
2021,305,2.04,26.92,25.0,25.96,26.91,19.71,89.56,8.28,100.99,1.73,92.75,2.62,92.88,0.92
2021,306,1.98,27.33,24.74,26.04,27.58,19.41,86.44,10.5,100.99,1.21,90.62,1.82,91.44,0.92
2021,307,2.0,26.74,24.66,25.7,26.8,19.35,88.81,11.6,100.94,1.42,91.12,2.19,91.5,0.94
2021,308,1.95,26.48,24.62,25.55,26.59,19.29,89.88,1.08,100.92,1.35,81.44,2.02,81.62,0.91
2021,309,1.98,26.6,24.7,25.65,26.63,19.41,89.62,12.13,100.81,1.53,87.75,2.23,87.81,0.93
2021,310,2.01,26.57,24.89,25.73,26.61,19.71,90.81,20.43,100.63,2.05,117.38,3.08,117.69,0.95
2021,311,1.96,26.88,25.23,26.05,26.99,20.08,91.0,6.79,100.62,1.91,113.5,2.85,113.69,0.93
2021,312,1.92,26.98,25.44,26.2,27.01,20.32,91.5,27.34,100.72,2.16,102.0,3.16,102.25,0.96
2021,313,1.82,26.67,24.89,25.78,26.72,19.65,90.19,2.86,100.86,2.14,88.31,3.13,88.12,0.94
2021,314,1.76,26.36,24.48,25.42,26.4,19.17,89.81,7.97,100.91,2.38,41.0,3.52,40.56,0.94
2021,315,1.09,26.14,24.68,25.4,26.25,19.41,91.81,6.57,100.81,3.18,37.38,4.54,37.19,0.94
2021,316,1.8,26.09,24.8,25.45,26.12,19.53,92.69,18.37,100.85,3.09,48.5,4.44,48.19,0.95
2021,317,1.91,26.69,25.01,25.84,26.77,19.78,90.81,15.79,100.85,2.49,76.5,3.61,76.38,0.95
2021,318,1.55,25.98,24.59,25.28,26.05,19.29,92.25,12.39,100.89,1.98,71.25,2.98,70.31,0.95
2021,319,1.73,26.41,24.71,25.56,26.58,19.47,90.69,7.63,100.77,1.77,93.88,2.62,94.19,0.95
2021,320,1.09,25.94,24.76,25.35,25.9,19.47,93.19,6.84,100.76,2.28,59.12,3.37,58.69,0.95
2021,321,1.77,26.72,24.9,25.81,26.85,19.65,90.19,2.29,100.84,1.78,69.31,2.67,68.81,0.94
2021,322,1.7,26.66,24.7,25.68,26.8,19.41,89.44,7.2,100.73,1.78,105.62,2.6,106.0,0.95
2021,323,1.74,26.94,24.4,25.67,26.94,19.1,86.38,1.1,100.62,1.05,92.56,1.54,92.56,0.93
2021,324,1.6,26.87,24.9,25.88,26.78,19.71,89.19,16.04,100.63,0.89,244.75,1.4,202.75,0.95
2021,325,1.84,27.18,24.98,26.08,27.36,19.78,88.31,1.4,100.73,1.38,71.0,2.08,71.06,0.94
2021,326,1.61,26.41,25.25,25.83,26.34,20.08,93.38,17.45,100.8,2.17,86.31,3.26,86.25,0.95
2021,327,1.89,25.92,24.55,25.23,25.97,19.23,92.25,11.6,100.85,1.63,77.69,2.47,77.31,0.95
2021,328,1.88,26.14,24.53,25.33,26.18,19.23,91.12,5.4,100.93,2.02,63.12,2.94,63.12,0.95
2021,329,1.59,25.83,24.18,25.01,25.94,18.8,90.81,7.54,100.92,1.73,58.94,2.51,57.56,0.95
2021,330,1.94,25.81,23.93,24.87,25.87,18.49,89.56,0.03,100.87,2.76,29.69,4.04,29.62,0.94
2021,331,1.42,24.33,23.01,23.67,24.43,17.52,92.38,0.46,100.88,3.65,33.69,5.23,33.69,0.94
2021,332,1.58,25.86,24.17,25.01,25.93,18.8,90.62,0.72,100.77,3.55,33.12,5.1,33.0,0.93
2021,333,1.31,25.51,24.61,25.06,25.49,19.35,94.75,9.3,100.68,3.14,35.75,4.55,35.62,0.94
