-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  10.5026   Longitude 105.1541 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,2.06,26.37,25.14,25.76,26.23,19.96,92.88,8.39,100.6,2.11,263.88,3.09,263.75,0.97
2020,276,1.76,26.58,25.55,26.07,26.44,20.51,94.0,7.24,100.6,2.05,249.88,3.0,249.56,0.97
2020,277,1.91,26.79,25.51,26.15,26.66,20.39,92.75,9.41,100.74,2.41,222.12,3.48,222.06,0.97
2020,278,2.02,26.81,25.14,25.98,26.8,19.96,90.69,2.76,100.8,2.3,247.06,3.32,246.94,0.96
2020,279,1.55,26.69,24.94,25.81,26.61,19.71,90.31,18.98,100.74,2.03,247.31,2.95,247.19,0.97
2020,280,1.89,26.74,24.8,25.77,26.74,19.53,89.38,4.37,100.68,2.2,241.81,3.17,241.69,0.96
2020,281,1.45,26.82,24.97,25.9,26.77,19.78,89.75,16.76,100.49,2.15,273.75,3.09,273.69,0.97
2020,282,1.98,26.84,25.27,26.05,26.83,20.14,91.19,14.48,100.44,1.96,222.56,2.85,222.31,0.97
2020,283,1.48,26.62,25.46,26.04,26.53,20.39,93.38,32.72,100.54,1.79,223.31,2.63,223.5,0.98
2020,284,1.7,26.26,25.06,25.65,26.15,19.9,93.12,36.46,100.54,2.66,235.94,3.81,235.75,0.99
2020,285,1.33,26.26,25.06,25.65,26.18,19.9,93.12,14.39,100.42,3.27,232.88,4.67,232.62,0.98
2020,286,1.73,26.06,24.87,25.47,25.93,19.71,93.19,22.05,100.4,2.72,267.62,3.9,267.5,0.98
