-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.5026   Longitude 105.1541 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.02,26.63,25.05,25.84,26.59,19.84,91.19,4.89,100.75,2.45,234.25,3.59,234.0,0.94
2022,275,1.45,26.87,24.5,25.69,26.98,19.23,87.12,6.55,100.68,1.18,258.81,1.75,259.56,0.94
2022,276,1.76,26.63,24.74,25.69,26.68,19.47,89.75,21.9,100.68,1.84,84.25,2.7,84.62,0.96
2022,277,1.77,26.01,24.35,25.19,26.02,18.98,90.81,7.56,100.86,2.19,75.25,3.25,75.31,0.95
2022,278,1.9,26.62,24.73,25.67,26.67,19.47,89.88,6.12,100.86,2.55,107.19,3.72,107.44,0.95
2022,279,1.72,26.23,24.49,25.36,26.33,19.17,90.38,24.85,100.93,1.83,102.88,2.66,102.94,0.96
2022,280,1.98,26.88,24.68,25.78,27.05,19.41,88.19,21.7,100.88,1.4,87.62,2.11,87.38,0.96
2022,281,0.7,26.95,24.59,25.77,27.01,19.29,87.19,10.88,100.9,0.88,246.0,1.34,245.06,0.96
2022,282,1.2,26.47,24.53,25.5,26.55,19.17,89.38,2.46,100.97,1.48,159.12,2.23,158.88,0.95
2022,283,1.88,26.27,24.15,25.21,26.34,18.74,88.56,3.44,101.03,1.81,93.81,2.7,93.94,0.95
2022,284,1.86,26.51,24.14,25.33,26.76,18.74,87.38,14.53,100.97,1.04,191.56,1.55,191.62,0.96
2022,285,1.69,26.01,24.48,25.25,25.94,19.17,91.31,2.88,100.91,2.05,65.5,3.01,65.81,0.95
2022,286,1.8,26.69,24.49,25.58,26.69,19.17,87.94,6.12,100.76,1.49,277.38,2.27,279.19,0.95
2022,287,1.68,26.11,23.98,25.05,26.2,18.62,88.44,0.18,100.59,2.72,331.56,3.88,331.75,0.94
2022,288,1.8,25.31,22.94,24.13,25.79,17.52,87.25,0.89,100.57,2.22,313.81,3.12,313.81,0.93
2022,289,1.99,25.83,23.02,24.43,26.58,17.58,85.31,0.0,100.8,1.87,218.0,2.66,217.88,0.92
2022,290,2.02,26.98,24.2,25.59,27.48,18.86,85.5,0.08,100.8,1.45,191.62,2.12,191.5,0.91
2022,291,1.91,25.55,23.69,24.62,25.63,18.25,89.56,0.54,100.81,1.97,191.44,2.88,191.19,0.91
2022,292,1.71,26.51,23.86,25.19,26.69,18.49,85.81,3.17,100.77,1.12,315.81,1.62,316.62,0.91
2022,293,1.45,25.77,24.65,25.21,25.8,19.35,93.5,8.78,100.84,1.69,254.75,2.48,255.06,0.92
2022,294,1.85,27.0,25.28,26.14,27.08,20.08,90.69,6.54,100.97,2.16,120.56,3.12,120.44,0.92
2022,295,1.7,27.51,24.82,26.16,27.62,19.53,85.94,1.83,101.04,1.02,137.88,1.54,138.81,0.91
2022,296,1.8,27.85,24.65,26.25,27.75,19.35,83.31,1.92,100.99,0.57,109.75,0.82,109.88,0.91
2022,297,1.86,27.39,24.97,26.18,27.37,19.71,87.0,25.25,100.85,0.92,173.31,1.34,173.0,0.95
2022,298,1.74,27.16,24.79,25.98,27.25,19.53,87.12,15.95,100.85,2.02,164.44,2.85,163.94,0.95
2022,299,1.67,27.11,24.85,25.98,27.25,19.59,88.06,10.16,100.82,1.55,57.69,2.3,57.69,0.94
2022,300,1.09,26.47,24.7,25.58,26.53,19.41,90.19,8.29,100.79,1.18,80.44,1.72,82.0,0.94
2022,301,1.73,27.02,24.65,25.83,27.12,19.35,87.25,1.75,100.69,1.08,78.44,1.58,77.56,0.93
2022,302,1.78,26.54,24.05,25.3,26.69,18.68,86.75,0.01,100.65,2.6,47.81,3.76,47.25,0.92
2022,303,1.84,26.58,24.03,25.3,26.54,18.68,86.38,0.1,100.66,2.64,114.62,3.87,114.62,0.91
2022,304,1.95,26.55,23.78,25.16,26.71,18.37,85.5,0.0,100.73,2.57,112.56,3.76,112.5,0.9
2022,305,1.72,25.89,22.87,24.38,26.12,17.33,84.25,0.0,100.84,2.52,7.31,3.7,7.25,0.89
2022,306,1.71,26.03,22.44,24.24,26.55,16.91,81.88,0.45,100.84,1.42,84.88,2.09,84.44,0.88
2022,307,1.45,26.29,24.76,25.52,26.41,19.47,91.5,8.2,100.87,1.94,126.31,2.79,125.69,0.9
2022,308,1.25,26.11,24.38,25.25,26.23,18.98,90.5,3.69,101.05,1.32,163.56,1.95,163.62,0.9
2022,309,1.77,25.9,24.35,25.12,25.94,18.92,91.44,15.71,101.18,2.51,99.75,3.62,99.56,0.91
2022,310,1.71,26.44,23.55,24.99,26.65,18.07,85.06,4.57,101.11,1.66,48.88,2.5,48.38,0.91
2022,311,1.73,26.87,23.59,25.23,26.88,18.13,83.06,6.73,101.02,1.27,41.0,1.94,39.81,0.91
2022,312,1.77,26.81,23.97,25.39,26.76,18.55,84.81,0.24,100.96,1.66,33.44,2.52,32.31,0.89
2022,313,1.85,25.99,24.25,25.12,25.94,18.86,90.25,6.47,100.99,1.69,45.69,2.5,45.19,0.9
2022,314,1.86,26.95,24.44,25.69,26.91,19.1,86.75,7.66,100.92,1.73,118.25,2.62,118.25,0.91
2022,315,1.67,26.92,24.75,25.83,26.81,19.47,88.19,12.3,100.88,1.69,139.75,2.55,139.69,0.91
2022,316,1.37,27.21,24.52,25.87,27.55,19.23,86.0,4.67,100.8,0.89,57.62,1.38,56.81,0.9
2022,317,1.75,26.43,24.91,25.67,26.49,19.65,91.56,6.14,100.81,2.01,87.44,2.95,87.44,0.91
2022,318,1.77,26.68,24.89,25.78,26.61,19.65,90.25,7.53,100.84,2.3,95.81,3.4,96.06,0.91
2022,319,1.81,26.61,24.62,25.62,26.8,19.35,89.5,9.25,100.84,1.65,106.06,2.48,105.88,0.91
2022,320,1.91,26.74,24.81,25.77,26.66,19.53,89.56,3.5,100.76,1.59,128.62,2.34,130.44,0.9
2022,321,1.93,26.39,24.68,25.54,26.37,19.41,90.62,6.79,100.74,1.66,135.19,2.48,135.62,0.91
2022,322,1.72,26.87,24.9,25.89,26.94,19.65,89.44,13.92,100.76,1.0,121.44,1.51,122.88,0.92
2022,323,1.37,26.25,24.4,25.33,26.15,19.1,89.88,11.38,100.68,1.94,120.69,2.89,120.5,0.92
2022,324,1.0,25.26,23.7,24.48,25.3,18.31,91.19,5.88,100.52,3.2,82.06,4.59,82.06,0.92
2022,325,1.54,25.45,24.0,24.73,25.56,18.74,91.81,12.31,100.46,2.21,217.5,3.24,217.5,0.93
2022,326,1.16,26.3,24.27,25.28,26.2,18.98,89.0,6.58,100.52,0.91,286.06,1.38,285.69,0.92
2022,327,1.2,26.33,25.06,25.69,26.31,19.9,92.81,4.82,100.62,1.98,176.94,2.86,177.5,0.92
2022,328,1.64,26.15,24.81,25.48,26.13,19.53,92.5,7.09,100.83,2.66,134.44,3.9,134.31,0.92
2022,329,1.74,26.38,24.56,25.48,26.55,19.23,90.12,11.15,100.95,1.9,128.69,2.8,128.69,0.93
2022,330,1.67,26.33,24.52,25.43,26.48,19.23,90.12,1.17,100.88,1.27,140.69,1.93,140.56,0.91
2022,331,1.85,26.81,24.28,25.55,27.09,18.92,86.62,6.6,100.79,1.05,149.56,1.71,149.56,0.92
2022,332,1.87,26.55,24.48,25.51,26.73,19.17,88.75,3.43,100.84,1.39,124.5,2.11,124.75,0.91
2022,333,1.84,26.73,24.73,25.73,26.87,19.41,89.12,6.51,100.87,1.41,105.69,2.15,105.81,0.92
2022,334,1.76,27.05,24.64,25.85,26.94,19.35,87.06,1.75,100.85,1.16,67.75,1.77,67.56,0.91
2022,335,1.85,26.66,24.51,25.58,26.48,19.23,88.19,3.38,100.79,1.46,61.25,2.26,61.25,0.91
2022,336,1.89,26.44,24.34,25.39,26.41,19.04,88.81,2.31,100.72,2.34,61.12,3.46,60.81,0.91
2022,337,1.43,25.12,23.5,24.31,25.22,18.07,90.94,10.71,100.81,2.73,47.0,3.93,46.94,0.91
2022,338,1.88,25.64,23.69,24.66,25.7,18.25,89.38,0.77,100.84,2.83,60.38,4.14,60.25,0.9
2022,339,1.87,26.35,24.19,25.27,26.37,18.8,88.5,1.35,100.88,1.94,77.06,2.93,76.31,0.9
2022,340,1.9,26.6,24.08,25.33,26.71,18.68,86.81,1.55,100.79,1.81,63.0,2.74,62.81,0.89
2022,341,1.84,25.75,24.16,24.96,25.78,18.8,91.19,1.87,100.8,2.3,23.62,3.37,23.0,0.89
2022,342,2.03,26.1,24.07,25.08,26.01,18.68,88.81,1.91,100.8,2.09,72.0,3.08,72.0,0.88
2022,343,1.91,26.5,24.36,25.43,26.58,19.04,88.5,10.81,100.74,1.74,43.12,2.66,42.81,0.91
2022,344,2.21,25.8,23.37,24.58,26.02,17.94,87.12,1.21,100.8,2.09,66.69,3.05,66.44,0.88
2022,345,2.02,26.33,23.9,25.12,26.76,18.49,87.19,0.91,100.89,1.22,79.31,1.83,78.94,0.88
2022,346,1.71,25.4,23.15,24.28,25.63,17.64,88.0,1.01,100.96,1.8,71.0,2.67,70.56,0.87
2022,347,1.99,23.5,20.51,22.01,23.68,15.01,84.31,0.02,101.03,2.7,42.38,4.05,42.25,0.86
2022,348,1.82,23.53,20.62,22.08,23.88,15.14,84.69,0.0,101.05,2.52,26.88,3.7,26.88,0.85
