-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  21.2667   Longitude 106.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 159.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.44,26.46,24.73,25.6,26.6,19.84,90.75,12.25,98.9,1.74,107.62,2.63,107.88,0.85
2020,276,1.52,26.95,24.92,25.94,27.16,20.02,89.25,11.12,98.99,1.35,116.62,2.16,116.69,0.85
2020,277,1.18,26.59,25.05,25.83,26.65,20.2,91.62,8.01,99.09,1.45,158.19,2.29,158.12,0.84
2020,278,1.85,26.8,24.9,25.84,26.98,20.02,89.75,7.03,99.09,1.17,158.88,1.88,158.94,0.84
2020,279,1.7,25.49,23.15,24.32,25.47,18.01,87.62,5.41,99.26,2.79,63.31,4.2,63.5,0.84
2020,280,1.4,21.76,18.91,20.34,21.99,13.85,84.5,1.62,99.56,3.7,44.25,5.45,44.25,0.83
2020,281,1.62,21.31,18.19,19.75,21.43,13.18,82.94,0.03,99.68,4.05,42.31,6.0,42.31,0.82
2020,282,1.73,20.84,17.62,19.23,20.97,12.7,82.5,0.0,99.73,3.75,41.12,5.57,41.12,0.81
2020,283,1.59,20.51,17.41,18.96,20.59,12.51,83.38,0.0,99.76,3.41,37.5,5.11,37.44,0.81
2020,284,1.71,20.7,17.58,19.14,20.79,12.7,83.31,0.0,99.57,2.59,38.88,3.98,38.88,0.8
2020,285,1.61,21.45,18.37,19.91,21.57,13.37,83.75,0.0,99.31,2.45,32.44,3.75,32.44,0.8
2020,286,1.82,22.8,19.84,21.33,22.67,14.71,84.31,0.07,99.2,2.89,28.62,4.45,28.56,0.8
2020,287,1.49,23.26,20.31,21.79,22.94,15.14,84.19,1.82,99.08,3.7,25.56,5.58,25.5,0.8
2020,288,0.51,22.45,21.05,21.76,22.01,15.93,91.81,116.11,98.81,5.98,32.5,8.91,32.56,0.93
2020,289,0.59,23.97,22.91,23.44,23.69,17.76,93.81,52.92,99.19,3.23,59.0,4.87,59.19,0.94
2020,290,1.11,21.03,18.63,19.83,20.74,13.55,86.38,11.86,99.55,5.3,33.94,7.88,33.94,0.9
2020,291,1.08,19.19,16.01,17.6,18.83,11.47,81.94,1.93,99.71,5.13,30.19,7.66,30.12,0.88
2020,292,0.88,18.88,16.88,17.88,18.44,12.15,88.19,184.17,99.7,4.55,31.88,6.82,31.81,0.96
2020,293,0.84,17.6,15.37,16.49,17.33,10.99,86.94,0.36,99.78,4.17,31.0,6.25,30.94,0.91
2020,294,1.26,19.31,16.5,17.9,19.17,11.84,84.25,0.03,99.85,3.56,33.56,5.34,33.56,0.89
