-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  21.2667   Longitude 106.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 159.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.09,26.66,24.07,25.37,26.7,19.04,86.38,0.25,99.08,1.16,152.69,1.87,152.44,0.81
2021,275,1.91,25.89,23.5,24.69,25.89,18.37,87.31,1.14,99.18,1.09,152.94,1.77,152.88,0.81
2021,276,1.91,25.71,23.81,24.76,25.65,18.68,89.69,1.66,99.21,1.28,157.0,2.12,156.94,0.81
2021,277,1.98,26.51,23.95,25.23,26.56,18.86,86.69,4.85,99.29,1.24,113.44,2.05,113.69,0.82
2021,278,1.88,26.18,23.98,25.08,25.94,18.92,88.25,4.47,99.27,1.8,64.94,2.88,64.75,0.82
2021,279,1.82,27.26,23.83,25.55,27.05,18.8,82.38,0.6,99.02,1.06,78.19,1.66,91.69,0.81
2021,280,1.93,27.31,23.37,25.33,26.85,18.31,79.81,0.07,98.77,1.96,98.69,3.12,97.94,0.8
2021,281,1.73,24.99,20.71,22.85,24.6,15.62,77.75,0.09,98.7,4.19,24.69,6.31,24.62,0.8
2021,282,0.56,23.29,20.8,22.05,22.82,15.62,86.0,21.75,98.65,4.69,36.5,7.03,36.44,0.84
2021,283,0.64,24.15,22.17,23.15,23.76,17.15,88.81,67.05,98.46,5.53,22.0,8.23,21.94,0.91
2021,284,0.73,21.79,19.23,20.51,21.44,14.22,85.75,15.43,99.05,5.57,41.0,8.3,41.0,0.89
2021,285,1.48,19.96,16.0,17.98,19.59,11.54,78.62,0.0,99.18,4.0,20.44,6.05,20.31,0.85
2021,286,0.89,20.3,17.04,18.67,19.66,12.33,81.88,6.14,98.78,5.26,97.38,7.89,97.19,0.85
2021,287,0.69,20.77,18.26,19.51,20.47,13.43,85.75,8.43,98.83,7.2,33.62,10.69,33.62,0.85
2021,288,0.56,21.62,19.43,20.52,21.48,14.28,87.62,13.18,99.28,4.82,37.31,7.17,37.31,0.87
2021,289,0.72,19.11,15.94,17.52,18.8,11.41,82.12,6.35,99.82,5.86,30.88,8.71,30.81,0.85
2021,290,1.21,18.16,14.55,16.36,17.97,10.38,79.94,0.61,100.11,5.12,30.5,7.63,30.5,0.84
2021,291,0.61,18.24,16.01,17.12,18.2,11.47,87.06,4.58,99.98,2.83,38.12,4.27,37.94,0.84
2021,292,0.84,22.14,20.48,21.31,22.5,15.32,90.69,2.23,99.84,1.45,97.56,2.27,97.69,0.84
2021,293,1.38,24.96,23.31,24.14,25.06,18.13,91.12,1.12,99.52,2.05,157.75,3.23,157.81,0.83
2021,294,0.7,19.37,17.25,18.3,19.22,12.63,87.88,8.48,99.76,4.09,56.06,6.16,56.31,0.84
2021,295,0.91,16.95,13.37,15.16,16.9,9.58,80.06,1.33,100.23,3.71,33.44,5.54,33.44,0.84
2021,296,1.71,17.36,13.81,15.58,17.51,9.89,80.38,0.0,100.28,2.56,36.06,3.92,36.06,0.83
2021,297,1.54,18.57,14.87,16.73,18.54,10.56,80.19,0.0,100.15,2.48,34.62,3.88,34.56,0.82
2021,298,1.66,19.48,14.9,17.19,19.17,10.62,76.0,0.0,99.86,1.92,49.75,3.02,49.69,0.82
2021,299,1.61,20.7,16.37,18.53,20.56,11.72,77.69,0.0,99.74,1.27,60.12,2.23,60.12,0.81
2021,300,1.5,21.23,17.7,19.47,21.06,12.76,81.44,0.01,99.83,2.63,42.62,4.12,42.56,0.81
2021,301,0.55,21.31,19.01,20.16,21.23,13.92,87.25,15.29,99.83,2.65,47.19,4.01,47.12,0.84
2021,302,0.47,22.28,20.94,21.61,22.15,15.62,92.31,19.06,99.84,2.55,58.75,3.83,58.75,0.87
2021,303,0.57,19.74,18.07,18.9,19.71,13.0,90.25,16.15,99.97,3.23,39.75,4.8,39.75,0.87
2021,304,0.49,21.19,19.73,20.46,21.34,14.53,91.62,4.9,99.86,1.64,71.0,2.51,71.0,0.85
2021,305,0.57,21.68,20.11,20.9,21.72,14.89,91.12,2.95,99.81,2.45,56.69,3.7,56.88,0.84
2021,306,0.59,21.96,20.51,21.23,21.87,15.2,91.75,3.86,99.82,2.38,64.5,3.63,64.69,0.84
2021,307,0.93,22.16,20.45,21.3,22.41,15.2,90.5,1.33,99.68,1.78,98.44,2.73,98.69,0.84
2021,308,1.34,23.67,22.08,22.87,23.79,16.85,91.19,0.04,99.43,1.86,157.75,2.94,157.69,0.83
2021,309,1.1,24.74,23.21,23.98,24.83,18.07,91.38,0.03,99.16,2.63,173.56,3.98,173.44,0.83
2021,310,0.95,24.97,23.37,24.17,25.07,18.25,91.06,0.05,99.0,2.46,161.56,3.73,161.44,0.82
2021,311,1.21,21.51,18.31,19.9,21.36,13.67,82.81,2.1,99.5,3.38,79.81,5.16,79.75,0.82
2021,312,0.82,15.19,9.79,12.48,14.83,7.57,71.12,2.4,100.22,4.38,31.62,6.6,31.69,0.83
2021,313,1.63,15.15,8.87,12.01,14.98,7.2,67.5,0.0,100.22,2.88,43.81,4.4,43.88,0.82
2021,314,1.51,16.12,10.15,13.13,15.73,7.75,69.38,0.0,100.14,2.16,40.0,3.38,39.62,0.81
2021,315,1.55,17.54,12.29,14.91,17.22,8.97,72.81,0.0,99.88,1.72,65.44,2.79,65.25,0.81
2021,316,1.14,17.73,13.14,15.43,17.5,9.46,75.75,0.0,100.08,2.93,42.69,4.52,42.75,0.8
2021,317,1.43,16.76,12.07,14.42,16.58,8.85,74.88,0.0,100.07,2.58,30.44,4.05,30.44,0.8
2021,318,1.27,17.84,13.14,15.49,17.67,9.52,75.25,0.02,99.9,1.8,63.38,2.83,63.38,0.8
2021,319,1.0,18.57,16.17,17.37,18.54,11.54,86.31,0.01,99.75,1.49,78.62,2.38,78.62,0.8
2021,320,0.55,20.15,18.24,19.19,20.15,13.24,89.25,0.22,99.68,1.73,96.5,2.8,96.56,0.8
2021,321,0.38,18.94,16.17,17.55,18.75,11.54,84.5,1.52,99.93,3.51,40.25,5.27,40.25,0.8
2021,322,0.86,18.07,14.33,16.19,18.24,10.25,79.75,0.0,99.71,2.09,80.31,3.2,80.44,0.8
2021,323,0.59,19.45,17.91,18.69,19.47,13.06,91.19,0.85,99.25,1.77,159.38,2.7,159.44,0.8
2021,324,0.75,22.36,21.02,21.69,22.32,15.87,92.56,2.49,99.12,2.3,161.19,3.57,161.12,0.8
2021,325,1.03,23.55,21.61,22.58,23.57,16.36,89.5,3.33,99.42,2.45,136.38,3.72,136.44,0.8
2021,326,0.65,16.05,11.56,13.8,15.78,8.54,75.38,1.15,100.08,4.96,35.25,7.38,35.25,0.8
2021,327,0.96,13.53,8.03,10.78,13.46,6.71,70.81,0.03,100.33,3.34,37.75,5.09,37.69,0.8
2021,328,1.09,14.23,9.68,11.96,14.23,7.63,75.06,1.08,100.27,2.6,25.19,3.92,24.81,0.79
2021,329,0.88,16.97,13.08,15.02,16.81,9.46,79.19,0.05,100.04,1.65,42.06,2.59,41.5,0.79
2021,330,1.04,17.35,12.52,14.94,16.81,9.09,74.81,0.09,100.05,2.2,40.38,3.55,40.25,0.79
2021,331,1.07,17.17,11.98,14.58,16.72,8.79,72.88,0.0,100.15,2.37,38.69,3.81,38.56,0.78
2021,332,1.23,17.8,12.66,15.23,17.19,9.22,73.19,0.0,100.08,2.03,42.31,3.22,42.25,0.78
2021,333,1.26,18.63,13.81,16.22,18.25,9.95,74.88,0.0,100.01,2.15,41.56,3.4,41.56,0.78
2021,334,1.23,17.04,11.55,14.3,16.62,8.48,71.12,0.0,100.32,4.41,32.12,6.67,32.12,0.77
2021,335,1.3,13.76,6.9,10.33,13.3,6.23,66.0,0.0,100.39,2.74,45.06,4.38,45.06,0.77
2021,336,-999.0,13.15,6.54,9.84,12.54,6.04,66.31,0.0,100.39,2.44,37.69,3.94,37.75,0.77
2021,337,1.16,14.48,7.87,11.17,13.28,6.65,66.44,0.0,100.35,1.88,45.88,3.05,45.5,0.77
2021,338,-999.0,14.82,8.04,11.43,13.65,6.71,65.69,0.0,100.3,1.79,50.06,2.92,49.88,0.77
2021,339,1.05,14.84,8.32,11.58,13.97,6.84,66.88,0.0,100.26,2.02,33.94,3.39,34.0,0.77
2021,340,1.08,14.83,8.33,11.58,13.82,6.9,67.0,0.0,100.21,2.05,45.19,3.39,45.0,0.77
2021,341,1.13,15.08,8.23,11.65,14.05,6.84,65.62,0.0,100.18,1.7,78.56,2.79,78.5,0.77
2021,342,1.02,16.12,11.26,13.69,15.51,8.48,74.12,0.17,100.28,1.28,70.25,2.2,70.25,0.77
2021,343,0.7,17.32,14.76,16.04,17.1,10.5,85.5,0.4,100.35,1.93,45.75,3.03,45.62,0.77
2021,344,0.77,18.42,15.79,17.11,18.12,11.29,85.12,0.0,100.1,1.38,121.44,2.21,121.62,0.77
2021,345,1.01,18.64,15.94,17.29,18.18,11.35,84.31,0.0,100.1,1.23,118.94,2.03,118.62,0.76
2021,346,0.83,16.76,13.04,14.9,16.4,9.4,79.75,0.03,100.39,3.66,34.69,5.52,34.75,0.76
2021,347,0.92,15.3,10.16,12.73,14.69,7.75,72.0,0.02,100.35,2.69,40.56,3.91,40.94,0.76
2021,348,0.97,15.68,12.48,14.08,15.69,9.09,82.69,0.0,99.9,1.26,124.38,2.21,124.44,0.76
2021,349,0.72,17.27,15.81,16.55,16.92,11.29,89.31,0.0,99.63,1.4,156.19,2.3,156.12,0.76
2021,350,0.91,19.85,16.97,18.41,19.34,12.15,83.19,0.0,99.7,0.91,146.62,1.53,146.62,0.75
2021,351,1.03,16.92,11.62,14.27,16.62,8.61,72.06,0.0,100.22,4.48,37.81,6.68,37.88,0.75
2021,352,1.09,13.51,7.13,10.33,13.21,6.35,66.19,0.0,100.48,3.77,41.56,5.68,41.56,0.75
2021,353,1.17,13.52,7.21,10.37,13.2,6.41,67.5,0.0,100.3,2.72,37.62,4.16,37.62,0.75
2021,354,0.7,14.87,9.98,12.42,14.77,7.69,73.75,0.21,99.94,2.49,40.38,3.77,40.38,0.75
2021,355,0.85,16.04,11.73,13.88,15.4,8.67,76.94,0.18,99.88,1.95,54.44,2.83,54.56,0.74
2021,356,0.99,16.46,11.83,14.15,15.43,8.73,75.62,0.0,99.83,1.59,63.25,2.5,63.38,0.74
2021,357,1.02,16.72,13.44,15.08,16.15,9.7,82.12,0.0,99.7,1.15,130.69,1.92,130.69,0.74
2021,358,0.79,18.34,16.35,17.35,17.98,11.72,87.62,0.02,99.76,1.02,132.12,1.66,131.81,0.74
2021,359,0.55,17.23,13.9,15.56,16.95,10.01,81.44,0.15,100.1,3.26,53.38,4.87,53.31,0.74
2021,360,0.3,12.1,7.58,9.83,12.27,6.53,74.5,1.08,100.57,4.91,46.06,7.06,46.06,0.74
2021,361,0.4,8.15,3.41,5.78,8.62,4.88,73.25,0.52,100.87,3.91,46.44,5.66,46.5,0.74
2021,362,0.74,10.34,6.75,8.55,11.01,6.23,79.25,0.05,100.58,1.95,69.12,2.89,69.19,0.74
2021,363,0.53,12.62,9.69,11.15,12.85,7.51,82.94,0.22,100.55,2.59,43.5,3.84,43.5,0.74
2021,364,0.77,13.34,9.12,11.23,13.53,7.26,76.88,0.46,100.69,3.12,41.75,4.63,41.75,0.74
2021,365,0.49,14.37,10.34,12.35,14.25,7.87,77.69,0.2,100.56,1.98,73.75,2.85,73.88,0.74
