-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.3405   Longitude 106.4573 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 159.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,2.49,7.73,0.23,1.16
2022,10,2,3.4,10.09,0.29,1.48
2022,10,3,5.2,13.89,0.39,2.0
2022,10,4,5.19,13.95,0.4,2.02
2022,10,5,5.89,15.17,0.41,2.11
2022,10,6,4.89,12.6,0.34,1.71
2022,10,7,4.29,11.38,0.3,1.54
2022,10,8,3.6,9.67,0.27,1.34
2022,10,9,2.16,6.48,0.18,0.92
2022,10,10,4.0,10.7,0.29,1.48
2022,10,11,6.39,15.73,0.42,2.2
2022,10,12,6.15,15.09,0.4,2.08
2022,10,13,5.15,13.06,0.36,1.84
2022,10,14,6.16,14.92,0.4,2.05
2022,10,15,6.08,14.76,0.38,1.95
2022,10,16,6.18,14.41,0.37,1.87
2022,10,17,6.02,13.99,0.35,1.81
2022,10,18,5.62,12.44,0.31,1.6
2022,10,19,2.34,6.9,0.19,0.95
2022,10,20,1.06,3.41,0.09,0.45
2022,10,21,2.59,7.48,0.2,1.01
2022,10,22,5.06,12.5,0.31,1.62
2022,10,23,5.55,13.25,0.33,1.7
2022,10,24,5.1,11.77,0.3,1.57
2022,10,25,2.61,6.75,0.18,0.95
2022,10,26,4.07,10.81,0.29,1.52
2022,10,27,3.93,10.46,0.27,1.44
2022,10,28,4.0,9.73,0.25,1.3
2022,10,29,4.51,10.87,0.28,1.48
2022,10,30,5.22,12.61,0.34,1.75
2022,10,31,4.87,11.84,0.32,1.7
2022,11,1,5.28,12.22,0.32,1.67
2022,11,2,5.75,13.02,0.33,1.7
2022,11,3,5.29,12.47,0.31,1.62
2022,11,4,5.27,12.36,0.3,1.58
2022,11,5,4.91,11.05,0.27,1.38
2022,11,6,4.91,11.3,0.27,1.41
2022,11,7,4.49,10.41,0.25,1.29
2022,11,8,4.9,11.4,0.27,1.41
2022,11,9,4.53,10.68,0.26,1.34
2022,11,10,2.38,6.85,0.18,0.96
2022,11,11,3.95,10.27,0.27,1.41
2022,11,12,4.26,10.77,0.28,1.48
2022,11,13,3.49,9.37,0.24,1.3
2022,11,14,3.21,8.31,0.22,1.17
2022,11,15,2.69,7.36,0.2,1.08
2022,11,16,2.73,7.7,0.21,1.16
2022,11,17,3.02,8.5,0.23,1.27
2022,11,18,3.11,8.48,0.23,1.3
2022,11,19,2.89,7.8,0.21,1.18
2022,11,20,2.82,7.3,0.19,1.03
2022,11,21,3.23,8.1,0.2,1.07
2022,11,22,2.15,5.94,0.16,0.8
2022,11,23,1.89,5.31,0.14,0.75
2022,11,24,1.42,4.26,0.12,0.65
2022,11,25,1.63,4.76,0.12,0.7
2022,11,26,1.22,3.74,0.1,0.53
2022,11,27,2.16,6.26,0.16,0.84
2022,11,28,2.96,7.91,0.2,1.05
2022,11,29,3.06,8.11,0.2,1.09
2022,11,30,2.31,6.27,0.16,0.88
2022,12,1,0.76,2.47,0.07,0.36
2022,12,2,2.78,7.28,0.19,1.02
2022,12,3,2.46,6.7,0.17,0.9
2022,12,4,1.76,5.06,0.13,0.69
2022,12,5,2.65,7.12,0.19,1.02
2022,12,6,2.97,7.64,0.2,1.09
2022,12,7,1.77,5.14,0.14,0.75
2022,12,8,1.31,3.84,0.11,0.6
2022,12,9,0.99,3.11,0.09,0.48
2022,12,10,1.05,3.19,0.09,0.48
2022,12,11,2.57,6.8,0.18,0.98
2022,12,12,3.62,7.77,0.2,1.04
2022,12,13,4.52,9.7,0.24,1.24
2022,12,14,4.02,9.04,0.23,1.18
2022,12,15,4.61,10.13,0.25,1.31
2022,12,16,4.13,9.05,0.23,1.19
2022,12,17,3.04,7.19,0.19,1.04
2022,12,18,4.42,9.59,0.22,1.12
2022,12,19,4.79,10.32,0.23,1.14
2022,12,20,4.27,9.7,0.22,1.11
2022,12,21,4.06,8.57,0.19,0.95
2022,12,22,4.36,9.45,0.2,1.01
2022,12,23,4.22,9.2,0.2,0.98
2022,12,24,4.18,8.79,0.19,0.95
2022,12,25,4.52,9.91,0.22,1.1
2022,12,26,1.81,4.84,0.12,0.62
2022,12,27,2.3,5.81,0.14,0.72
2022,12,28,0.77,2.14,0.05,0.28
2022,12,29,1.37,3.67,0.09,0.48
2022,12,30,1.61,4.3,0.1,0.54
2022,12,31,1.3,3.62,0.09,0.47
