-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.3405   Longitude 106.4573 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 159.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.16,25.43,24.3,24.87,25.4,19.29,93.56,11.72,99.1,1.86,108.0,2.89,108.06,0.91
2022,275,1.48,25.77,24.26,25.01,25.76,19.23,91.62,2.11,99.22,1.58,117.56,2.48,117.62,0.9
2022,276,2.0,25.79,23.8,24.79,25.74,18.68,89.31,2.03,99.37,1.5,102.56,2.41,102.44,0.89
2022,277,2.02,25.4,23.58,24.49,25.15,18.43,90.06,5.76,99.5,1.11,71.56,1.85,71.5,0.89
2022,278,2.11,25.98,23.4,24.69,25.97,18.19,86.75,0.53,99.49,1.34,89.0,2.18,89.0,0.88
2022,279,1.71,25.74,23.39,24.57,25.65,18.19,87.62,2.14,99.5,1.38,106.38,2.25,106.25,0.88
2022,280,1.54,24.08,22.28,23.18,23.91,17.03,90.06,10.39,99.6,2.37,56.56,3.69,56.56,0.89
2022,281,1.34,23.09,20.92,22.01,23.21,15.69,88.0,10.18,99.65,2.3,70.75,3.54,70.75,0.9
2022,282,0.92,22.73,20.3,21.52,22.53,15.08,86.44,4.92,99.94,4.04,45.19,6.05,45.19,0.89
2022,283,1.48,18.6,13.6,16.1,18.19,9.77,73.88,0.0,100.25,3.48,35.31,5.39,35.38,0.88
2022,284,2.2,19.05,13.44,16.24,18.51,9.7,71.38,0.0,99.94,2.39,42.75,3.8,42.69,0.87
2022,285,2.08,20.44,15.15,17.8,19.94,10.86,72.88,0.0,99.75,1.86,51.31,3.05,51.38,0.86
2022,286,1.84,21.02,14.66,17.84,20.23,10.5,68.69,0.0,99.64,2.02,35.56,3.3,35.56,0.86
2022,287,2.05,20.71,15.87,18.29,20.12,11.41,74.94,0.0,99.47,2.92,27.06,4.63,26.94,0.85
2022,288,1.95,20.49,15.3,17.9,19.73,10.99,73.25,0.01,99.47,3.12,31.5,4.93,31.44,0.84
2022,289,1.87,21.01,16.44,18.73,20.4,11.9,76.19,0.02,99.62,3.16,21.5,4.98,21.38,0.84
2022,290,1.81,21.74,16.97,19.36,21.03,12.21,75.31,0.0,99.63,3.86,18.5,5.93,18.44,0.84
2022,291,1.6,19.8,14.48,17.14,19.09,10.38,72.56,0.0,99.71,3.73,24.44,5.8,24.25,0.84
2022,292,0.95,16.91,12.78,14.85,16.54,9.28,77.38,12.29,99.81,2.45,31.56,3.81,31.31,0.85
2022,293,0.45,17.05,15.37,16.21,17.01,10.99,89.94,32.58,99.85,3.22,113.38,4.79,113.31,0.9
2022,294,1.01,20.52,18.23,19.37,20.57,13.24,87.25,4.1,99.92,2.4,47.94,3.64,47.88,0.88
2022,295,1.62,23.41,19.65,21.53,22.57,14.47,80.5,0.0,99.81,2.02,28.12,3.19,27.88,0.86
2022,296,1.7,24.51,20.26,22.39,23.47,15.01,78.0,0.0,99.65,1.91,46.38,3.11,45.69,0.85
2022,297,1.57,23.62,19.67,21.65,23.14,14.47,79.69,0.0,99.58,1.81,72.5,3.01,72.5,0.84
2022,298,0.95,23.71,21.22,22.47,23.61,15.87,86.5,0.3,99.74,1.1,98.31,1.73,98.12,0.84
2022,299,1.52,23.76,21.6,22.68,23.94,16.3,88.44,0.03,99.65,1.25,124.31,1.97,124.12,0.84
2022,300,1.44,23.81,21.15,22.48,24.06,15.81,86.12,0.02,99.59,1.24,124.25,2.02,124.38,0.84
2022,301,1.3,22.64,19.4,21.02,22.53,14.22,82.88,0.35,99.71,1.87,67.19,2.99,67.0,0.83
2022,302,1.48,21.76,18.36,20.06,21.51,13.31,81.81,0.01,99.7,2.38,37.94,3.71,37.94,0.83
2022,303,1.75,21.4,17.76,19.58,21.12,12.82,80.62,0.0,99.59,3.09,30.94,4.77,30.88,0.82
2022,304,1.7,20.38,16.27,18.33,19.96,11.66,78.25,0.0,99.69,3.54,21.5,5.44,21.44,0.82
