-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  22.289   Longitude 105.8146 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 539.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,2.79,8.66,0.25,1.27
2020,10,2,4.86,13.43,0.38,1.9
2020,10,3,3.89,11.16,0.32,1.63
2020,10,4,3.46,10.55,0.31,1.6
2020,10,5,3.84,11.32,0.33,1.66
2020,10,6,3.03,9.49,0.27,1.37
2020,10,7,4.42,11.7,0.32,1.66
2020,10,8,3.47,10.16,0.29,1.48
2020,10,9,4.42,11.49,0.31,1.61
2020,10,10,4.39,11.83,0.32,1.65
2020,10,11,4.88,12.85,0.35,1.83
2020,10,12,4.38,11.75,0.31,1.62
2020,10,13,5.88,15.12,0.4,2.05
2020,10,14,1.55,5.39,0.15,0.76
2020,10,15,1.69,5.96,0.16,0.87
2020,10,16,2.28,7.11,0.2,1.03
2020,10,17,2.98,9.05,0.26,1.32
2020,10,18,4.47,12.19,0.33,1.67
2020,10,19,2.12,6.92,0.19,0.97
2020,10,20,3.01,9.21,0.26,1.34
2020,10,21,5.14,13.79,0.38,1.96
2020,10,22,5.93,14.9,0.39,2.03
2020,10,23,6.1,15.16,0.4,2.05
2020,10,24,5.46,13.71,0.35,1.84
2020,10,25,4.11,10.64,0.27,1.4
2020,10,26,1.89,6.06,0.16,0.84
2020,10,27,2.79,8.18,0.21,1.11
2020,10,28,3.38,9.28,0.23,1.23
2020,10,29,1.27,4.11,0.11,0.59
2020,10,30,1.48,4.87,0.13,0.7
2020,10,31,1.77,5.13,0.12,0.66
2020,11,1,2.45,7.43,0.19,0.98
2020,11,2,1.39,3.95,0.09,0.49
2020,11,3,2.12,5.59,0.13,0.7
2020,11,4,1.7,3.98,0.09,0.48
2020,11,5,1.74,4.69,0.12,0.62
2020,11,6,2.02,5.8,0.15,0.78
2020,11,7,4.22,10.75,0.27,1.4
2020,11,8,5.27,12.9,0.31,1.59
2020,11,9,5.44,12.95,0.31,1.56
2020,11,10,5.42,12.77,0.3,1.55
2020,11,11,5.35,12.92,0.31,1.57
2020,11,12,4.63,11.58,0.29,1.51
2020,11,13,5.47,13.09,0.31,1.6
2020,11,14,5.41,12.71,0.3,1.57
2020,11,15,1.57,5.05,0.13,0.7
2020,11,16,1.13,3.95,0.1,0.54
2020,11,17,1.36,4.38,0.11,0.57
2020,11,18,3.39,9.03,0.23,1.17
2020,11,19,4.66,11.73,0.29,1.48
2020,11,20,3.89,9.98,0.24,1.29
2020,11,21,4.31,10.8,0.26,1.36
2020,11,22,3.77,9.8,0.24,1.26
2020,11,23,2.9,8.15,0.21,1.12
2020,11,24,1.93,5.64,0.15,0.78
2020,11,25,3.12,8.26,0.21,1.11
2020,11,26,3.06,8.0,0.2,1.06
2020,11,27,2.55,6.66,0.16,0.87
2020,11,28,2.67,7.23,0.18,0.95
2020,11,29,4.15,10.07,0.24,1.23
2020,11,30,4.26,10.31,0.24,1.25
2020,12,1,3.0,7.77,0.19,0.97
2020,12,2,2.56,6.42,0.16,0.81
2020,12,3,1.21,3.77,0.09,0.48
2020,12,4,1.72,5.11,0.12,0.63
2020,12,5,1.73,5.19,0.12,0.66
2020,12,6,3.29,8.29,0.2,1.01
2020,12,7,1.54,4.55,0.11,0.59
2020,12,8,1.92,5.57,0.14,0.72
2020,12,9,2.31,6.36,0.15,0.78
2020,12,10,1.49,4.12,0.1,0.53
2020,12,11,1.91,4.73,0.11,0.58
2020,12,12,2.2,6.21,0.16,0.8
2020,12,13,2.38,6.57,0.16,0.84
2020,12,14,1.77,5.13,0.12,0.65
2020,12,15,1.14,3.45,0.09,0.43
2020,12,16,1.4,4.15,0.1,0.55
2020,12,17,1.49,4.3,0.1,0.52
2020,12,18,1.54,4.65,0.11,0.59
2020,12,19,1.72,4.97,0.12,0.63
2020,12,20,2.09,5.04,0.12,0.66
2020,12,21,2.15,5.23,0.12,0.66
2020,12,22,3.07,7.06,0.17,0.88
2020,12,23,2.15,5.39,0.13,0.69
2020,12,24,3.03,6.43,0.15,0.78
2020,12,25,2.55,6.27,0.15,0.76
2020,12,26,2.68,6.38,0.14,0.73
2020,12,27,2.78,7.85,0.18,0.93
2020,12,28,2.22,6.3,0.16,0.81
2020,12,29,2.74,7.16,0.19,0.98
2020,12,30,1.97,5.54,0.15,0.8
2020,12,31,3.2,7.83,0.2,1.09
