-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  22.289   Longitude 105.8146 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 539.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.84,13.56,0.38,1.91
2021,10,2,3.84,11.31,0.32,1.64
2021,10,3,3.7,11.33,0.32,1.62
2021,10,4,5.59,14.74,0.4,2.05
2021,10,5,5.56,14.98,0.41,2.06
2021,10,6,5.79,15.3,0.41,2.09
2021,10,7,5.62,14.48,0.38,1.94
2021,10,8,6.0,15.56,0.41,2.08
2021,10,9,3.15,9.59,0.26,1.29
2021,10,10,1.75,6.08,0.17,0.89
2021,10,11,1.43,4.96,0.14,0.73
2021,10,12,4.25,12.12,0.34,1.73
2021,10,13,2.97,9.23,0.27,1.34
2021,10,14,1.17,4.14,0.12,0.59
2021,10,15,1.21,4.39,0.12,0.63
2021,10,16,2.13,6.93,0.19,0.98
2021,10,17,3.06,9.38,0.26,1.33
2021,10,18,2.2,7.08,0.19,0.95
2021,10,19,3.57,10.45,0.28,1.45
2021,10,20,2.31,7.41,0.2,1.02
2021,10,21,1.98,6.7,0.19,0.96
2021,10,22,1.92,6.45,0.17,0.9
2021,10,23,4.04,11.37,0.3,1.57
2021,10,24,3.13,9.22,0.24,1.27
2021,10,25,3.85,10.76,0.27,1.4
2021,10,26,3.11,8.8,0.23,1.15
2021,10,27,4.16,11.07,0.28,1.44
2021,10,28,1.92,6.12,0.16,0.83
2021,10,29,1.85,6.03,0.16,0.83
2021,10,30,1.64,5.38,0.14,0.73
2021,10,31,1.06,3.83,0.1,0.52
2021,11,1,1.26,4.45,0.12,0.61
2021,11,2,0.98,3.63,0.09,0.5
2021,11,3,1.6,5.41,0.15,0.77
2021,11,4,1.61,5.23,0.14,0.73
2021,11,5,3.2,9.02,0.24,1.27
2021,11,6,2.92,8.3,0.22,1.16
2021,11,7,2.96,8.33,0.22,1.14
2021,11,8,2.61,7.33,0.19,0.98
2021,11,9,4.54,11.84,0.3,1.56
2021,11,10,3.36,9.08,0.23,1.25
2021,11,11,3.66,9.9,0.26,1.34
2021,11,12,2.23,6.45,0.18,0.94
2021,11,13,2.66,7.49,0.2,1.03
2021,11,14,2.06,6.38,0.16,0.88
2021,11,15,1.32,4.2,0.11,0.57
2021,11,16,0.78,2.79,0.07,0.37
2021,11,17,0.91,2.98,0.07,0.38
2021,11,18,3.43,9.14,0.23,1.2
2021,11,19,1.58,5.05,0.12,0.68
2021,11,20,1.86,5.62,0.13,0.71
2021,11,21,2.91,8.12,0.2,1.02
2021,11,22,1.3,4.18,0.11,0.57
2021,11,23,1.85,5.84,0.15,0.77
2021,11,24,1.8,5.65,0.14,0.71
2021,11,25,3.02,8.27,0.2,1.02
2021,11,26,2.75,7.71,0.19,1.01
2021,11,27,3.35,8.9,0.21,1.12
2021,11,28,4.82,11.56,0.26,1.3
2021,11,29,4.89,11.7,0.26,1.3
2021,11,30,4.19,10.16,0.23,1.2
2021,12,1,4.76,11.05,0.25,1.28
2021,12,2,5.01,11.52,0.26,1.3
2021,12,3,4.83,10.95,0.23,1.16
2021,12,4,4.72,10.83,0.23,1.13
2021,12,5,4.33,10.16,0.21,-999.0
2021,12,6,4.76,10.84,0.22,1.09
2021,12,7,4.67,10.87,0.23,1.12
2021,12,8,4.67,10.73,0.23,1.15
2021,12,9,1.52,4.82,0.12,0.61
2021,12,10,2.23,5.98,0.15,0.77
2021,12,11,1.82,5.52,0.14,0.73
2021,12,12,1.29,3.89,0.09,0.5
2021,12,13,2.06,5.95,0.14,0.76
2021,12,14,1.78,5.1,0.12,0.62
2021,12,15,1.84,5.16,0.12,0.64
2021,12,16,2.74,6.83,0.16,0.87
2021,12,17,2.85,6.55,0.16,0.82
2021,12,18,3.29,7.89,0.2,1.0
2021,12,19,4.37,9.95,0.23,1.18
2021,12,20,2.55,6.87,0.16,0.88
2021,12,21,3.6,8.29,0.2,1.0
2021,12,22,3.75,8.2,0.19,0.95
2021,12,23,3.3,7.48,0.16,0.84
2021,12,24,2.1,5.89,0.13,0.7
2021,12,25,1.35,3.98,0.09,0.48
2021,12,26,0.67,2.12,0.05,0.27
2021,12,27,1.02,3.2,0.08,0.43
2021,12,28,1.43,3.97,0.09,0.49
2021,12,29,1.46,4.51,0.12,0.63
2021,12,30,1.56,4.72,0.12,0.64
2021,12,31,1.34,4.27,0.11,0.59
