-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  22.289   Longitude 105.8146 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 539.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,1.91,24.62,21.86,23.24,24.22,17.33,85.19,0.06,94.91,0.56,159.06,1.19,153.5,0.75
2021,275,1.64,24.37,21.62,22.99,24.26,17.09,85.75,0.53,94.98,0.61,144.06,1.37,141.0,0.75
2021,276,1.62,23.79,21.33,22.56,23.84,16.78,87.31,0.99,95.0,0.8,165.5,1.88,159.56,0.74
2021,277,2.05,24.61,21.53,23.07,24.57,16.97,84.62,2.94,95.12,0.75,149.31,1.71,147.62,0.75
2021,278,2.06,25.02,21.05,23.03,24.6,16.48,80.56,3.32,95.12,0.66,85.25,1.44,84.69,0.75
2021,279,2.09,25.58,21.19,23.38,25.03,16.66,78.38,0.03,94.87,0.63,117.12,1.3,89.0,0.74
2021,280,1.94,25.4,21.3,23.36,24.94,16.85,79.12,0.0,94.68,0.97,50.19,2.09,50.31,0.73
2021,281,2.08,23.29,18.52,20.9,23.15,14.22,76.56,0.01,94.66,1.48,32.12,3.27,32.31,0.73
2021,282,1.29,22.15,19.24,20.69,21.92,14.83,84.06,14.7,94.63,1.95,17.5,4.15,16.62,0.78
2021,283,0.89,21.49,19.21,20.35,21.26,14.77,86.88,29.42,94.55,2.75,27.38,5.94,26.38,0.84
2021,284,0.73,18.74,15.79,17.26,18.62,11.84,83.19,9.63,94.98,2.66,36.94,5.82,37.5,0.81
2021,285,1.73,18.48,14.27,16.37,18.37,10.74,77.25,0.02,95.03,1.9,21.75,4.04,21.94,0.77
2021,286,1.34,19.19,15.11,17.15,18.96,11.41,77.69,6.94,94.75,2.86,17.75,6.07,17.19,0.78
2021,287,0.59,19.11,15.94,17.52,18.95,11.96,82.06,9.83,94.85,3.33,32.69,7.26,32.94,0.8
2021,288,0.63,20.02,17.48,18.76,19.99,13.18,85.88,13.89,95.16,2.2,37.75,4.78,38.44,0.82
2021,289,0.98,17.92,14.18,16.05,17.9,10.62,79.56,5.25,95.65,2.8,31.81,5.91,32.25,0.79
2021,290,1.33,16.58,12.3,14.44,16.73,9.34,76.56,0.28,95.9,2.23,30.75,4.77,31.06,0.77
2021,291,0.95,17.36,14.83,16.09,17.56,11.17,85.81,3.05,95.7,0.98,61.44,2.1,63.19,0.77
2021,292,1.45,21.34,19.08,20.21,21.48,14.59,88.0,1.41,95.56,0.72,136.06,1.66,135.62,0.77
2021,293,1.02,23.08,21.4,22.24,23.18,16.85,91.06,2.35,95.26,0.95,180.06,2.22,175.31,0.77
2021,294,0.96,17.76,15.16,16.46,17.75,11.54,85.38,13.42,95.53,1.75,48.69,3.73,51.06,0.81
2021,295,0.9,14.79,11.62,13.21,14.86,8.91,82.19,5.51,95.94,1.55,32.31,3.21,33.62,0.79
2021,296,1.57,15.4,11.33,13.37,15.44,8.79,78.0,0.05,95.96,0.89,43.12,1.84,42.56,0.77
2021,297,1.27,17.27,13.14,15.2,17.0,9.89,78.0,0.03,95.86,1.05,44.38,2.13,45.12,0.77
2021,298,1.4,17.65,13.12,15.39,17.23,9.89,76.19,0.0,95.6,0.77,70.81,1.66,71.81,0.76
2021,299,1.15,18.87,14.7,16.79,18.65,11.05,78.38,0.01,95.49,0.77,85.31,1.77,86.75,0.75
2021,300,1.44,19.4,15.76,17.58,19.25,11.72,81.06,0.08,95.61,1.0,57.94,2.27,60.31,0.75
2021,301,0.83,19.3,16.83,18.07,19.36,12.63,86.56,14.48,95.62,0.91,65.56,2.04,66.94,0.79
2021,302,0.83,18.94,17.97,18.45,18.88,13.55,94.19,21.45,95.66,0.98,47.5,2.19,47.94,0.85
2021,303,0.73,17.58,16.06,16.82,17.66,11.96,91.19,15.37,95.74,1.03,48.12,2.2,48.56,0.84
2021,304,0.52,18.83,17.44,18.13,18.96,13.12,92.06,8.14,95.61,0.62,72.44,1.46,78.06,0.82
2021,305,0.61,18.38,17.26,17.82,18.46,12.94,93.44,5.0,95.59,0.88,64.94,2.0,66.12,0.81
2021,306,0.5,18.62,17.6,18.11,18.67,13.18,93.94,6.09,95.6,0.88,64.25,2.07,65.19,0.81
2021,307,0.77,19.44,18.1,18.77,19.5,13.67,92.25,3.52,95.43,0.72,122.81,1.72,123.12,0.8
2021,308,0.73,21.75,20.3,21.02,21.85,15.75,91.75,0.31,95.16,0.86,180.94,2.08,175.62,0.79
2021,309,1.27,23.34,21.31,22.33,23.48,16.78,89.38,0.02,94.9,1.03,192.25,2.37,185.06,0.78
2021,310,1.16,23.71,21.7,22.71,23.8,17.21,89.38,0.07,94.76,0.91,183.38,2.18,177.0,0.78
2021,311,1.14,18.94,14.56,16.75,18.81,11.35,77.56,1.02,95.33,1.73,68.81,3.89,70.0,0.77
2021,312,0.98,13.14,8.48,10.81,13.15,7.26,74.5,1.75,95.94,1.73,27.81,3.74,27.75,0.77
2021,313,1.56,14.5,9.22,11.86,14.64,7.69,72.44,0.23,95.87,1.0,44.38,2.08,47.94,0.77
2021,314,1.25,14.75,9.41,12.08,14.34,7.75,72.12,0.01,95.81,1.02,51.38,2.09,53.38,0.77
2021,315,1.34,15.43,10.7,13.07,15.21,8.48,75.44,0.03,95.59,0.82,77.06,1.98,78.56,0.77
2021,316,0.94,15.52,11.7,13.61,15.62,8.97,79.19,0.26,95.81,1.14,40.5,2.59,43.44,0.76
2021,317,1.03,14.99,10.84,12.91,14.74,8.48,77.56,0.11,95.77,0.94,43.75,2.01,45.88,0.76
2021,318,0.88,15.58,11.59,13.58,15.51,8.97,78.88,0.89,95.6,0.8,78.88,1.86,79.94,0.76
2021,319,0.57,16.53,14.34,15.44,16.51,10.74,87.75,0.39,95.44,0.7,110.0,1.63,110.75,0.76
2021,320,0.37,18.1,16.82,17.46,18.05,12.63,92.5,1.67,95.39,0.74,127.31,1.71,127.12,0.77
2021,321,0.38,16.33,13.58,14.96,16.37,10.25,84.81,1.42,95.7,1.34,42.94,3.02,46.0,0.77
2021,322,1.2,15.77,12.58,14.18,15.9,9.58,83.06,0.23,95.4,0.72,102.81,1.71,110.56,0.76
2021,323,0.68,17.48,15.94,16.71,17.39,12.02,91.0,0.88,94.94,0.71,170.69,1.59,166.06,0.76
2021,324,0.71,19.64,17.88,18.76,19.47,13.61,90.56,1.47,94.87,0.81,175.12,1.88,169.12,0.76
2021,325,1.02,20.92,18.58,19.75,20.84,14.16,87.62,2.75,95.2,0.89,110.62,2.04,115.0,0.76
2021,326,0.57,13.87,9.55,11.71,13.91,7.81,76.44,1.89,95.81,1.89,30.5,4.11,31.44,0.76
2021,327,0.77,11.64,7.33,9.48,11.67,6.71,76.44,0.83,95.97,1.32,38.38,2.91,40.38,0.75
2021,328,0.71,12.37,9.37,10.87,12.12,7.69,82.56,2.92,95.91,0.87,46.56,1.71,48.12,0.76
2021,329,1.02,15.07,11.55,13.31,14.62,8.97,81.12,0.34,95.71,0.83,50.94,1.7,52.56,0.76
2021,330,1.01,15.73,11.69,13.71,15.15,8.97,79.0,0.05,95.76,1.02,56.0,2.23,57.62,0.75
2021,331,1.12,14.8,10.19,12.49,14.08,8.12,75.06,0.01,95.88,0.87,46.38,2.0,45.12,0.75
2021,332,1.3,16.05,10.78,13.41,15.17,8.48,72.75,0.0,95.8,0.84,72.38,1.84,73.75,0.74
2021,333,1.3,17.12,12.47,14.8,16.65,9.52,76.12,0.07,95.75,0.8,76.25,1.83,79.88,0.74
2021,334,1.2,14.65,9.52,12.08,14.48,7.75,72.81,0.03,96.06,1.91,26.56,4.16,27.19,0.73
2021,335,1.28,12.08,5.15,8.62,11.44,5.74,66.31,0.0,96.05,1.16,50.06,2.59,50.88,0.73
2021,336,1.3,11.96,4.94,8.44,10.91,5.68,64.62,0.0,96.05,1.07,46.69,2.34,47.5,0.73
2021,337,1.16,13.29,7.76,10.52,12.01,6.9,71.06,0.0,96.0,1.03,49.06,2.12,49.94,0.73
2021,338,1.13,13.57,7.0,10.28,12.32,6.53,67.06,0.0,95.97,0.95,61.31,1.97,61.69,0.73
2021,339,-999.0,14.29,7.85,11.07,12.87,6.96,66.94,0.0,95.92,0.97,46.12,1.97,46.44,0.73
2021,340,1.09,14.22,7.3,10.76,12.56,6.71,65.5,0.0,95.88,1.06,58.62,2.12,58.81,0.73
2021,341,1.12,13.67,6.51,10.09,12.25,6.35,63.88,0.0,95.85,0.97,91.25,2.0,91.25,0.72
2021,342,1.15,14.46,7.95,11.21,13.27,7.02,66.88,0.08,95.95,0.87,94.69,1.74,95.0,0.72
2021,343,0.61,14.83,12.52,13.68,14.41,9.46,86.75,0.21,96.03,0.74,89.56,1.62,91.31,0.73
2021,344,0.77,16.01,13.98,14.99,15.48,10.44,88.25,0.05,95.76,0.8,143.06,1.75,140.25,0.72
2021,345,0.73,16.83,14.19,15.51,16.25,10.56,84.81,0.22,95.78,0.73,147.56,1.57,145.0,0.72
2021,346,0.5,13.77,10.72,12.25,13.58,8.42,82.69,1.14,96.12,1.48,31.12,3.32,31.88,0.73
2021,347,0.76,13.01,8.68,10.84,12.38,7.32,75.88,0.28,96.0,0.98,79.69,1.97,82.0,0.72
2021,348,0.62,13.48,10.83,12.15,12.78,8.54,85.44,0.0,95.54,0.86,133.88,1.77,133.19,0.72
2021,349,0.64,14.83,13.15,13.99,14.37,9.95,89.69,0.0,95.29,0.79,177.0,1.64,172.62,0.72
2021,350,0.87,17.18,14.05,15.62,16.55,10.56,82.94,0.0,95.43,0.59,135.62,1.26,134.12,0.72
2021,351,0.82,14.33,9.59,11.97,14.29,7.81,74.62,0.0,95.96,1.7,37.62,3.77,39.31,0.71
2021,352,1.0,11.55,5.79,8.66,11.36,6.04,69.69,0.01,96.14,1.36,49.5,3.02,51.0,0.71
2021,353,1.18,11.74,6.08,8.9,11.1,6.16,70.44,0.0,95.95,1.08,58.62,2.2,59.69,0.71
