-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  22.289   Longitude 105.8146 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 539.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.27,24.02,22.04,23.03,24.24,17.64,89.5,8.05,94.73,0.77,121.75,1.84,122.81,0.88
2020,276,1.9,25.18,22.76,23.98,25.26,18.37,87.56,2.11,94.82,0.66,149.69,1.59,147.0,0.88
2020,277,1.63,25.05,23.12,24.08,25.16,18.74,89.94,4.67,94.89,0.71,177.5,1.7,173.81,0.88
2020,278,1.6,25.17,23.03,24.1,25.2,18.68,88.75,7.84,94.9,0.68,172.69,1.61,169.75,0.88
2020,279,1.66,22.5,20.26,21.37,22.5,15.75,87.94,5.62,95.12,1.26,57.38,2.73,57.62,0.88
2020,280,1.37,19.59,17.44,18.51,19.8,13.18,88.0,8.46,95.36,1.27,62.69,2.68,64.69,0.88
2020,281,1.66,19.84,17.18,18.51,19.98,12.88,85.81,0.3,95.46,1.34,51.31,2.83,53.56,0.87
2020,282,1.48,19.02,16.26,17.64,19.18,12.15,84.88,0.04,95.51,1.37,53.5,2.86,55.12,0.86
2020,283,1.61,18.77,15.74,17.26,18.89,11.78,83.94,0.0,95.53,1.33,45.25,2.88,46.62,0.86
2020,284,1.65,19.07,16.12,17.59,19.07,12.08,84.31,0.0,95.32,0.92,58.38,1.98,60.94,0.85
2020,285,1.83,19.94,16.77,18.36,19.92,12.63,83.56,0.0,95.09,0.94,46.88,2.02,48.75,0.85
2020,286,1.62,20.83,18.11,19.47,20.6,13.73,85.38,0.22,95.05,1.1,38.0,2.48,38.31,0.84
2020,287,2.05,21.59,18.65,20.12,21.59,14.22,84.81,0.6,94.99,1.29,30.62,2.84,30.81,0.84
2020,288,0.76,20.3,18.42,19.36,20.11,13.98,89.19,63.33,94.88,2.77,26.56,6.07,25.62,0.93
2020,289,0.87,20.31,18.82,19.57,20.25,14.4,91.31,29.44,95.1,1.91,45.94,4.18,45.69,0.94
2020,290,1.03,18.27,15.98,17.12,18.1,11.96,86.69,9.3,95.43,2.18,29.44,4.75,29.81,0.91
