-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.289   Longitude 105.8146 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 539.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.51,23.98,22.22,23.1,24.01,17.76,90.56,7.09,94.9,0.7,112.62,1.67,113.69,0.87
2022,275,1.49,23.54,22.14,22.84,23.58,17.64,92.25,2.51,95.03,0.64,130.62,1.59,128.19,0.85
2022,276,1.57,24.47,21.7,23.08,24.49,17.15,86.0,0.49,95.18,0.71,128.0,1.6,127.81,0.84
2022,277,2.27,24.69,21.31,23.01,24.37,16.78,83.44,1.35,95.31,0.57,163.25,1.24,165.06,0.84
2022,278,2.21,24.65,21.3,22.98,24.45,16.72,83.12,0.11,95.29,0.67,105.06,1.48,105.81,0.83
2022,279,1.99,24.32,20.37,22.34,23.83,15.81,80.5,0.61,95.31,0.7,126.56,1.43,125.38,0.83
2022,280,1.61,22.54,19.94,21.24,22.53,15.32,86.06,1.05,95.4,1.02,76.69,2.32,79.06,0.82
2022,281,1.27,21.38,18.96,20.17,21.62,14.47,87.06,2.31,95.44,0.81,93.81,1.88,96.56,0.82
2022,282,0.79,20.51,17.83,19.18,20.48,13.49,85.19,1.65,95.76,1.62,53.31,3.59,54.31,0.82
2022,283,2.09,17.65,11.73,14.69,17.37,9.03,70.0,0.03,95.98,1.6,42.0,3.38,42.5,0.81
2022,284,2.18,18.46,12.65,15.56,18.22,9.64,71.5,0.0,95.66,0.91,49.44,2.09,51.38,0.81
2022,285,1.78,19.85,14.25,17.05,19.48,10.68,71.94,0.0,95.5,0.77,71.25,1.73,74.12,0.8
2022,286,2.1,20.08,13.3,16.69,19.26,10.01,67.38,0.0,95.43,0.91,49.31,2.02,50.12,0.8
2022,287,2.16,19.48,14.01,16.75,18.96,10.56,72.81,0.0,95.31,1.23,28.81,2.84,29.44,0.8
2022,288,2.07,19.39,13.87,16.63,18.69,10.44,72.81,0.02,95.31,1.34,29.5,3.06,29.94,0.79
2022,289,1.95,19.41,15.02,17.22,19.12,11.29,77.38,0.0,95.47,1.31,15.94,3.13,16.06,0.79
2022,290,1.94,19.48,14.6,17.05,19.2,10.93,75.5,0.0,95.51,1.62,19.31,3.72,19.44,0.78
2022,291,1.77,17.83,11.8,14.82,17.4,9.09,70.12,0.0,95.56,1.63,24.31,3.76,24.88,0.78
2022,292,1.57,16.44,10.32,13.38,16.09,8.3,70.19,2.5,95.54,1.01,33.81,2.41,35.62,0.79
2022,293,0.58,15.33,13.92,14.62,15.36,10.44,91.44,33.85,95.63,1.05,20.88,2.2,20.75,0.88
2022,294,0.96,19.48,17.41,18.44,19.54,13.12,88.69,7.58,95.69,0.87,58.75,1.91,60.0,0.84
2022,295,1.71,22.33,18.28,20.31,21.76,13.79,79.69,0.15,95.63,1.04,24.75,2.31,26.12,0.81
2022,296,1.73,23.23,18.89,21.06,22.44,14.34,78.06,0.0,95.49,1.01,45.94,2.28,47.12,0.8
2022,297,1.46,22.11,16.8,19.45,21.1,12.57,73.56,0.0,95.4,0.91,78.75,2.03,78.62,0.8
2022,298,1.25,21.98,18.28,20.12,21.32,13.85,80.62,0.0,95.49,0.7,116.38,1.49,117.06,0.79
2022,299,1.05,22.22,19.25,20.73,21.94,14.71,84.62,0.01,95.41,0.73,184.94,1.51,184.44,0.79
2022,300,1.02,22.45,20.25,21.35,22.57,15.62,88.31,0.68,95.33,0.66,164.56,1.62,163.31,0.79
2022,301,0.9,20.62,17.6,19.11,20.39,13.24,84.06,1.15,95.5,0.91,84.62,2.01,86.81,0.79
2022,302,0.81,20.23,16.59,18.41,19.8,12.39,80.81,0.11,95.48,0.88,68.19,1.91,71.06,0.78
2022,303,1.32,19.63,16.26,17.95,19.5,12.15,82.44,0.0,95.4,1.11,34.38,2.52,35.56,0.78
2022,304,1.56,18.36,14.54,16.44,18.15,10.86,80.44,0.0,95.5,1.45,21.0,3.25,21.0,0.77
2022,305,1.84,17.4,12.11,14.76,16.53,9.28,73.88,0.0,95.43,1.32,76.94,2.93,76.25,0.77
2022,306,1.88,18.14,11.82,14.98,16.87,9.16,69.12,0.0,95.17,0.97,39.94,2.07,39.81,0.77
2022,307,1.76,18.65,11.48,15.06,17.01,8.97,65.0,0.0,95.28,0.88,50.12,1.91,50.56,0.77
2022,308,1.69,18.66,13.01,15.83,17.76,9.89,71.44,0.0,95.58,1.02,51.38,2.3,51.5,0.76
2022,309,1.46,17.77,13.34,15.55,17.26,10.01,77.38,0.0,95.76,0.98,78.25,2.12,80.19,0.76
2022,310,1.1,17.71,13.63,15.67,16.93,10.25,78.19,0.0,95.63,0.7,106.0,1.48,108.62,0.76
2022,311,1.12,19.16,15.39,17.28,18.12,11.54,79.62,0.0,95.52,0.63,122.06,1.21,124.75,0.76
2022,312,1.26,19.76,16.01,17.88,18.66,11.96,80.12,0.0,95.51,0.64,131.5,1.2,132.56,0.76
2022,313,1.29,19.83,15.33,17.58,18.31,11.41,76.44,0.0,95.52,0.62,200.88,1.16,170.5,0.76
2022,314,1.29,19.82,16.76,18.29,18.8,12.57,83.75,0.0,95.46,0.74,220.19,1.42,190.75,0.75
2022,315,1.38,20.93,18.62,19.77,20.58,14.1,87.44,0.0,95.37,0.84,192.5,1.84,190.12,0.75
2022,316,1.38,21.58,19.28,20.43,21.6,14.71,87.31,0.0,95.28,0.7,185.88,1.75,181.62,0.75
2022,317,1.37,21.64,18.57,20.1,21.22,14.04,83.69,0.0,95.38,0.74,147.25,1.62,145.81,0.75
2022,318,0.73,21.98,19.24,20.61,21.71,14.71,85.56,0.21,95.38,0.73,147.88,1.65,134.31,0.74
2022,319,0.71,21.66,20.0,20.83,21.77,15.38,90.94,1.22,95.27,0.77,146.38,1.92,147.94,0.75
2022,320,0.91,22.19,20.34,21.26,22.31,15.81,90.25,0.9,95.09,0.84,164.81,2.11,161.25,0.74
2022,321,1.08,21.87,19.99,20.94,21.9,15.44,89.88,2.99,95.1,0.83,167.19,2.02,162.69,0.76
2022,322,0.79,22.32,20.51,21.41,22.4,15.93,90.44,4.07,95.24,0.73,165.62,1.84,162.06,0.76
2022,323,0.92,20.05,18.19,19.12,19.98,13.79,89.62,6.75,95.38,0.95,75.44,2.23,77.38,0.78
2022,324,0.79,19.9,17.33,18.62,19.85,13.06,86.19,0.95,95.26,0.67,105.12,1.55,107.56,0.76
2022,325,1.08,20.99,18.41,19.7,20.57,13.98,86.25,0.05,95.1,0.8,148.88,1.64,149.19,0.75
2022,326,1.23,21.74,18.87,20.3,21.42,14.4,85.5,0.13,95.11,0.64,82.31,1.38,82.44,0.74
2022,327,1.11,20.58,17.81,19.19,20.57,13.43,85.38,0.32,95.21,1.02,77.12,2.27,79.69,0.74
2022,328,0.79,19.26,17.9,18.58,19.33,13.49,92.25,8.08,95.29,0.79,75.31,1.78,78.19,0.77
2022,329,0.71,19.25,18.02,18.63,19.3,13.61,92.94,7.85,95.38,0.49,74.94,1.19,84.75,0.79
2022,330,0.62,19.84,18.51,19.18,20.01,14.1,92.44,7.34,95.17,0.75,111.81,1.75,112.06,0.79
2022,331,0.77,22.92,21.38,22.15,22.96,16.91,91.69,2.84,94.73,1.38,189.5,3.06,184.31,0.77
2022,332,1.16,23.7,21.71,22.7,23.73,17.21,89.31,0.02,94.76,1.03,192.75,2.35,185.94,0.76
2022,333,1.29,23.57,21.03,22.3,23.37,16.48,86.94,0.16,95.0,0.69,178.38,1.63,174.56,0.75
2022,334,0.97,16.67,12.78,14.73,16.65,10.01,79.0,3.4,95.56,1.81,65.06,3.91,68.31,0.76
2022,335,0.45,11.21,7.12,9.16,11.4,6.65,77.19,3.76,95.91,1.73,44.0,3.53,47.31,0.76
2022,336,0.84,10.99,6.48,8.73,11.38,6.41,75.69,0.6,95.75,1.07,73.62,2.3,79.19,0.75
2022,337,0.84,13.09,10.08,11.58,13.63,8.24,83.38,0.11,95.53,0.61,106.06,1.43,109.75,0.75
2022,338,0.57,13.26,9.99,11.62,13.45,8.06,81.62,0.2,95.76,1.27,48.0,2.72,52.62,0.74
