-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  9.3216   Longitude 105.485 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.07,27.17,25.19,26.18,27.3,19.96,89.06,8.89,100.93,1.87,210.56,2.64,210.44,0.95
2021,275,1.32,26.44,24.87,25.65,26.48,19.59,91.19,23.76,100.99,2.65,234.62,3.69,234.38,0.98
2021,276,1.97,27.03,24.44,25.74,27.12,19.1,86.06,3.11,100.84,1.51,276.0,2.2,275.44,0.95
2021,277,1.99,26.65,25.13,25.89,26.73,19.96,91.44,15.99,100.71,1.34,282.31,1.92,282.0,0.96
2021,278,1.92,26.31,24.88,25.6,26.51,19.65,91.88,13.92,100.64,1.88,268.0,2.62,267.81,0.97
2021,279,1.67,25.97,24.65,25.31,26.08,19.41,92.44,12.7,100.49,3.04,273.88,4.2,273.56,0.98
2021,280,1.88,26.47,25.03,25.75,26.37,19.9,91.81,8.97,100.48,3.25,250.44,4.54,250.25,0.97
2021,281,1.42,27.06,25.48,26.27,26.83,20.39,91.0,20.84,100.54,4.38,246.94,6.08,246.81,0.98
2021,282,2.16,27.11,25.56,26.33,26.86,20.51,91.25,15.21,100.67,4.03,250.25,5.61,250.19,0.98
2021,283,2.16,27.61,25.55,26.58,27.41,20.51,88.75,1.93,100.63,3.71,252.88,5.16,252.88,0.96
2021,284,0.84,27.23,25.87,26.55,27.05,20.87,92.19,38.15,100.58,2.98,248.88,4.19,248.75,0.98
2021,285,1.91,25.9,24.5,25.19,25.77,19.23,91.94,22.64,100.64,3.6,248.0,5.04,247.81,0.98
2021,286,1.62,26.66,25.01,25.83,26.47,19.84,90.75,4.33,100.47,3.81,248.62,5.3,248.56,0.97
2021,287,2.31,27.42,25.44,26.43,27.23,20.32,89.19,2.88,100.57,3.23,235.69,4.56,235.62,0.96
2021,288,1.05,27.58,25.23,26.4,27.49,20.08,87.31,6.24,100.63,1.62,230.19,2.36,231.5,0.96
2021,289,1.53,26.7,23.9,25.3,26.9,18.49,85.06,5.73,100.82,0.97,237.88,1.53,239.12,0.96
2021,290,1.78,26.26,23.83,25.05,26.24,18.43,86.81,4.38,100.86,2.12,282.06,3.1,281.56,0.95
