-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  9.3216   Longitude 105.485 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.88,26.74,25.26,26.0,26.68,20.08,91.62,16.88,100.68,2.61,283.38,3.66,283.06,0.98
2020,276,0.91,26.69,25.67,26.18,26.67,20.63,94.06,16.73,100.7,2.43,266.19,3.41,265.81,0.98
2020,277,2.16,26.9,25.44,26.16,26.87,20.26,91.75,9.36,100.84,2.82,228.06,3.91,228.0,0.98
2020,278,1.62,26.6,25.29,25.94,26.58,20.08,92.5,13.14,100.9,2.69,253.25,3.77,253.38,0.98
2020,279,1.36,26.4,24.92,25.66,26.42,19.65,91.56,8.61,100.84,2.45,256.12,3.41,256.06,0.98
2020,280,1.82,26.37,24.66,25.51,26.38,19.35,90.5,11.14,100.79,2.41,248.06,3.38,247.94,0.98
2020,281,1.63,26.64,25.14,25.89,26.65,19.96,91.56,6.56,100.6,2.84,257.94,3.92,258.06,0.98
2020,282,1.84,26.87,25.44,26.15,26.84,20.32,91.94,14.02,100.55,2.48,235.94,3.45,236.0,0.98
2020,283,1.04,26.4,25.37,25.89,26.36,20.26,94.0,37.91,100.67,2.75,207.38,3.85,207.25,0.99
2020,284,1.12,26.41,25.37,25.89,26.4,20.26,93.94,65.29,100.63,2.66,244.88,3.72,245.06,0.99
2020,285,1.3,26.36,25.35,25.86,26.28,20.26,94.12,19.41,100.54,3.44,239.44,4.77,239.44,0.99
2020,286,1.03,26.43,25.31,25.87,26.33,20.2,93.5,18.24,100.5,3.75,258.25,5.2,258.19,0.99
2020,287,0.87,26.23,25.03,25.63,26.09,19.84,93.0,23.15,100.56,4.21,244.0,5.83,243.81,0.99
2020,288,1.23,26.41,25.05,25.73,26.22,19.84,92.12,31.49,100.65,4.07,238.88,5.65,238.81,0.99
2020,289,1.23,26.6,25.16,25.88,26.4,20.02,91.75,40.15,100.62,3.87,240.25,5.37,240.19,1.0
2020,290,1.22,26.45,24.9,25.68,26.16,19.71,91.19,38.15,100.56,4.16,234.62,5.78,234.5,1.0
2020,291,1.37,26.62,25.11,25.86,26.39,19.96,91.38,29.12,100.61,3.55,225.19,4.96,225.19,0.99
2020,292,1.0,26.19,24.96,25.57,26.16,19.71,92.88,50.79,100.81,2.25,223.44,3.23,222.94,1.0
2020,293,1.89,26.52,24.41,25.47,26.54,19.1,88.38,9.72,100.84,2.13,248.25,3.07,247.75,0.98
2020,294,1.91,26.58,24.67,25.62,26.57,19.41,89.31,4.67,100.81,2.28,298.06,3.29,298.19,0.98
2020,295,1.91,26.3,24.91,25.61,26.34,19.65,92.12,13.29,100.79,1.95,268.38,2.79,268.56,0.98
2020,296,1.85,26.66,24.05,25.36,26.56,18.68,85.94,21.19,100.82,0.88,220.19,1.29,219.81,0.98
