-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.3216   Longitude 105.485 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.06,26.74,25.01,25.88,26.77,19.78,90.44,5.0,100.85,2.49,241.69,3.54,241.69,0.93
2022,275,1.36,26.82,24.88,25.85,26.92,19.65,89.31,12.82,100.75,1.39,251.06,2.02,264.88,0.95
2022,276,1.91,26.8,25.12,25.96,26.73,19.9,90.62,14.9,100.73,2.5,74.56,3.53,74.62,0.95
2022,277,1.54,26.58,24.85,25.71,26.43,19.59,90.25,9.73,100.9,2.82,81.44,3.96,81.44,0.95
2022,278,1.2,26.98,24.72,25.85,26.82,19.41,87.62,6.49,100.93,3.33,105.12,4.65,105.06,0.95
2022,279,1.48,26.33,24.18,25.26,26.28,18.8,88.06,15.91,101.0,2.14,98.88,3.09,98.88,0.96
2022,280,2.06,26.51,24.45,25.48,26.56,19.1,88.62,18.55,100.96,1.79,85.56,2.59,86.5,0.96
2022,281,0.88,26.37,24.74,25.55,26.3,19.41,90.69,11.15,100.96,1.59,144.75,2.25,143.81,0.96
2022,282,1.65,26.05,24.53,25.29,26.15,19.17,91.44,1.96,101.04,1.85,83.44,2.66,82.44,0.95
2022,283,1.84,26.28,24.49,25.39,26.44,19.1,90.0,2.1,101.1,1.64,88.12,2.38,88.5,0.95
2022,284,1.7,26.9,23.58,25.23,27.23,18.07,82.62,5.72,101.05,0.63,118.38,0.91,117.25,0.95
2022,285,1.68,26.44,24.12,25.29,26.3,18.74,87.06,6.88,100.98,1.21,207.06,1.73,208.19,0.95
2022,286,1.7,25.21,23.47,24.34,25.37,18.01,90.12,17.83,100.88,2.22,255.88,3.1,256.06,0.97
2022,287,1.7,26.48,24.52,25.5,26.38,19.23,89.19,2.04,100.64,2.74,293.12,3.87,293.56,0.95
2022,288,1.97,25.47,22.83,24.15,25.87,17.33,85.88,0.66,100.66,2.55,304.19,3.58,304.0,0.95
2022,289,2.12,26.4,23.49,24.94,27.06,18.07,84.81,0.07,100.86,1.57,232.31,2.3,233.38,0.93
2022,290,2.05,27.21,24.16,25.69,27.65,18.8,84.25,1.17,100.88,1.51,257.88,2.19,243.56,0.92
2022,291,1.82,27.04,24.53,25.78,27.38,19.23,86.56,5.53,100.85,1.67,310.94,2.36,313.25,0.93
2022,292,1.81,26.72,24.42,25.57,26.87,19.1,87.5,8.09,100.84,1.05,269.44,1.51,269.88,0.94
2022,293,1.2,26.56,24.56,25.56,26.75,19.23,89.0,4.95,100.97,1.77,175.12,2.51,176.0,0.93
2022,294,1.41,26.65,25.05,25.85,26.64,19.78,91.0,8.35,101.06,2.33,112.69,3.33,113.06,0.94
2022,295,1.86,27.07,24.82,25.94,27.13,19.47,87.81,4.9,101.11,2.2,95.81,3.13,96.75,0.94
2022,296,1.89,27.05,24.64,25.84,27.12,19.29,87.0,6.17,101.06,1.35,71.25,1.94,71.69,0.93
2022,297,1.74,26.76,24.83,25.8,26.8,19.53,89.31,41.12,100.95,1.85,168.69,2.55,171.69,0.98
2022,298,1.69,26.74,24.49,25.62,26.97,19.17,87.75,30.53,100.95,1.66,143.81,2.32,144.69,0.96
2022,299,1.58,26.65,24.87,25.76,26.72,19.59,90.25,26.48,100.88,1.98,61.25,2.8,62.38,0.97
2022,300,1.46,26.46,25.07,25.76,26.44,19.84,92.06,11.45,100.83,2.03,75.69,2.88,75.69,0.97
2022,301,1.66,26.07,24.74,25.4,25.98,19.47,92.44,7.17,100.76,2.17,83.31,3.11,84.38,0.97
2022,302,1.8,26.9,24.41,25.66,27.02,19.1,86.69,0.1,100.68,1.85,95.56,2.66,94.56,0.95
2022,303,1.91,26.54,24.26,25.4,26.4,18.92,87.44,0.6,100.72,1.17,206.19,1.69,220.75,0.95
2022,304,2.09,26.85,24.08,25.47,26.94,18.68,85.38,0.05,100.79,2.04,145.31,2.98,144.88,0.95
2022,305,1.75,26.95,23.98,25.46,27.35,18.55,84.44,0.08,100.89,1.29,74.56,1.87,72.56,0.93
2022,306,1.81,26.72,24.15,25.44,27.14,18.74,86.12,7.16,100.89,1.76,137.06,2.36,133.12,0.94
2022,307,1.08,26.49,24.73,25.61,26.55,19.41,90.12,24.84,100.96,2.55,125.06,3.56,125.19,0.97
2022,308,0.55,26.17,24.73,25.45,26.12,19.41,91.81,22.6,101.13,2.61,112.31,3.67,112.56,0.98
2022,309,1.7,25.86,24.32,25.08,25.85,18.86,91.19,22.35,101.25,3.3,98.62,4.6,98.75,0.98
2022,310,1.89,26.72,24.24,25.48,26.87,18.8,86.62,2.26,101.18,2.21,79.88,3.08,80.12,0.96
2022,311,1.84,26.82,24.23,25.53,27.03,18.86,86.12,7.59,101.09,1.81,77.88,2.59,79.06,0.96
2022,312,1.67,26.87,24.39,25.63,27.03,19.04,86.69,0.25,101.03,1.69,70.12,2.42,70.88,0.95
2022,313,1.73,26.19,24.33,25.26,26.05,18.92,89.62,9.65,101.04,1.83,63.88,2.59,64.19,0.95
2022,314,1.85,26.4,24.43,25.41,26.48,19.1,89.25,12.67,100.98,2.2,51.81,3.12,51.56,0.96
2022,315,1.48,26.38,24.74,25.56,26.27,19.47,90.81,5.3,100.94,2.37,58.12,3.34,57.25,0.95
2022,316,1.47,26.38,24.83,25.6,26.47,19.53,91.38,8.71,100.87,2.36,77.44,3.31,77.62,0.95
2022,317,1.73,26.4,25.0,25.7,26.37,19.78,92.0,9.2,100.86,2.9,83.44,4.06,83.56,0.96
2022,318,1.35,26.5,25.25,25.87,26.28,20.08,92.81,5.32,100.89,2.99,83.81,4.24,84.0,0.95
2022,319,1.98,26.28,24.71,25.5,26.17,19.41,91.19,6.29,100.91,2.25,86.56,3.2,87.5,0.95
2022,320,1.98,26.41,24.78,25.6,26.25,19.53,90.94,1.71,100.83,2.63,88.12,3.73,88.75,0.95
2022,321,2.01,26.33,24.81,25.57,26.23,19.53,91.44,4.99,100.8,2.32,97.38,3.37,98.69,0.95
2022,322,1.4,26.36,24.88,25.62,26.26,19.59,91.62,15.81,100.85,2.3,101.94,3.28,102.69,0.96
2022,323,1.5,25.73,24.36,25.05,25.66,19.04,92.19,12.33,100.73,1.62,244.81,2.38,244.31,0.96
2022,324,0.91,25.71,24.33,25.02,25.79,19.04,92.19,24.87,100.53,2.58,209.75,3.6,209.56,0.98
2022,325,1.45,25.38,24.18,24.78,25.53,18.86,93.0,20.12,100.51,2.34,285.25,3.3,285.69,0.98
2022,326,1.36,26.19,24.86,25.52,26.26,19.65,92.5,8.34,100.6,1.59,234.12,2.27,234.25,0.98
