-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  21.1833   Longitude 106.05 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,3.57,9.99,0.28,1.44
2020,10,2,3.57,10.22,0.3,1.52
2020,10,3,2.76,8.17,0.23,1.18
2020,10,4,4.73,12.73,0.36,1.85
2020,10,5,4.54,12.16,0.34,1.7
2020,10,6,3.63,9.77,0.27,1.4
2020,10,7,4.36,11.28,0.32,1.62
2020,10,8,4.62,11.9,0.34,1.73
2020,10,9,4.68,11.57,0.31,1.59
2020,10,10,4.92,12.41,0.34,1.71
2020,10,11,4.37,11.3,0.31,1.61
2020,10,12,5.22,13.07,0.35,1.82
2020,10,13,4.24,10.94,0.29,1.49
2020,10,14,1.04,3.56,0.1,0.51
2020,10,15,1.32,4.27,0.12,0.59
2020,10,16,2.94,7.88,0.22,1.11
2020,10,17,2.66,7.65,0.21,1.08
2020,10,18,2.25,6.51,0.17,0.88
2020,10,19,2.0,6.07,0.16,0.84
2020,10,20,3.39,8.98,0.24,1.26
2020,10,21,5.17,12.99,0.34,1.78
2020,10,22,5.88,14.28,0.38,1.93
2020,10,23,5.99,14.24,0.37,1.89
2020,10,24,5.5,13.23,0.34,1.73
2020,10,25,1.87,5.67,0.16,0.79
2020,10,26,1.71,5.15,0.14,0.73
2020,10,27,4.24,10.96,0.28,1.47
2020,10,28,3.69,9.44,0.25,1.3
2020,10,29,1.4,4.12,0.11,0.58
2020,10,30,1.09,3.43,0.09,0.48
2020,10,31,1.97,5.52,0.14,0.74
2020,11,1,2.8,6.92,0.17,0.88
2020,11,2,1.64,4.43,0.11,0.58
2020,11,3,2.05,5.2,0.13,0.69
2020,11,4,2.3,4.64,0.11,0.57
2020,11,5,3.08,7.3,0.18,0.93
2020,11,6,2.36,6.38,0.16,0.84
2020,11,7,4.08,10.11,0.25,1.32
2020,11,8,4.8,11.73,0.29,1.48
2020,11,9,5.12,11.87,0.29,-999.0
2020,11,10,4.96,11.34,0.27,1.43
2020,11,11,4.36,10.82,0.27,1.42
2020,11,12,5.06,12.02,0.3,1.53
2020,11,13,5.37,12.38,0.3,1.54
2020,11,14,4.32,10.45,0.27,1.38
2020,11,15,1.21,3.72,0.09,0.52
2020,11,16,1.25,3.91,0.1,0.55
2020,11,17,1.9,5.71,0.15,0.8
2020,11,18,3.03,8.22,0.2,1.09
2020,11,19,2.6,7.14,0.18,0.95
2020,11,20,2.9,7.82,0.2,1.05
2020,11,21,3.81,9.65,0.23,1.26
2020,11,22,3.13,8.46,0.22,1.16
2020,11,23,2.86,7.44,0.19,1.02
2020,11,24,2.18,5.82,0.15,0.78
2020,11,25,2.69,7.12,0.18,0.98
2020,11,26,3.22,8.04,0.2,1.06
2020,11,27,3.11,7.43,0.18,0.92
2020,11,28,3.57,8.64,0.21,1.09
2020,11,29,3.62,8.74,0.21,1.09
2020,11,30,4.6,10.42,0.24,1.23
2020,12,1,2.06,5.23,0.12,0.67
2020,12,2,2.63,6.31,0.16,0.83
2020,12,3,3.38,8.05,0.19,0.96
2020,12,4,4.05,9.1,0.2,1.03
2020,12,5,4.22,9.59,0.22,1.12
2020,12,6,4.79,10.47,0.23,1.19
2020,12,7,4.25,9.41,0.22,1.1
2020,12,8,4.46,9.87,0.23,1.19
2020,12,9,4.29,9.82,0.22,1.14
2020,12,10,3.86,8.43,0.2,0.98
2020,12,11,2.56,5.96,0.14,0.75
2020,12,12,3.0,7.12,0.17,0.9
2020,12,13,2.42,6.41,0.16,0.84
2020,12,14,1.22,3.46,0.09,0.48
2020,12,15,0.82,2.42,0.06,0.34
2020,12,16,1.66,4.61,0.12,0.62
2020,12,17,1.98,5.55,0.14,0.74
2020,12,18,2.02,5.59,0.14,0.72
2020,12,19,2.07,5.3,0.12,0.67
2020,12,20,2.4,5.52,0.14,0.75
2020,12,21,3.05,6.91,0.17,0.9
2020,12,22,2.87,6.8,0.17,0.92
2020,12,23,1.58,4.16,0.11,0.57
2020,12,24,2.28,4.72,0.12,0.62
2020,12,25,2.7,5.82,0.14,0.73
2020,12,26,1.35,3.6,0.09,0.44
2020,12,27,1.24,3.74,0.09,0.48
2020,12,28,1.19,3.5,0.09,0.48
2020,12,29,2.73,7.06,0.19,1.03
2020,12,30,1.92,5.11,0.14,0.76
2020,12,31,4.29,9.3,0.23,1.19
