-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  21.1833   Longitude 106.05 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.86,15.04,0.41,2.09
2021,10,2,4.75,12.82,0.37,1.91
2021,10,3,5.07,13.41,0.38,1.91
2021,10,4,5.36,14.02,0.38,1.98
2021,10,5,5.36,13.81,0.37,1.88
2021,10,6,5.09,13.27,0.36,1.82
2021,10,7,5.71,14.38,0.38,1.93
2021,10,8,5.06,12.98,0.34,1.73
2021,10,9,1.27,4.12,0.11,0.56
2021,10,10,1.34,4.4,0.12,0.64
2021,10,11,1.57,5.03,0.14,0.73
2021,10,12,3.88,10.59,0.29,1.48
2021,10,13,2.04,6.35,0.17,0.89
2021,10,14,1.5,4.84,0.13,0.69
2021,10,15,1.2,3.99,0.11,0.56
2021,10,16,1.63,5.18,0.14,0.72
2021,10,17,3.22,8.96,0.23,1.21
2021,10,18,1.37,4.34,0.12,0.61
2021,10,19,1.97,6.09,0.16,0.84
2021,10,20,3.56,10.06,0.27,1.38
2021,10,21,1.61,4.91,0.13,0.7
2021,10,22,2.11,6.41,0.18,0.91
2021,10,23,5.21,13.03,0.34,1.71
2021,10,24,4.69,11.98,0.3,1.54
2021,10,25,5.68,13.66,0.33,1.66
2021,10,26,5.31,12.98,0.31,1.61
2021,10,27,4.86,11.94,0.3,1.5
2021,10,28,1.31,4.09,0.11,0.55
2021,10,29,1.06,3.48,0.09,0.47
2021,10,30,1.28,4.06,0.11,0.57
2021,10,31,1.09,3.51,0.09,0.49
2021,11,1,1.29,4.1,0.11,0.57
2021,11,2,1.28,4.2,0.12,0.59
2021,11,3,2.34,6.6,0.17,0.93
2021,11,4,3.66,9.74,0.25,1.34
2021,11,5,2.88,8.05,0.21,1.1
2021,11,6,2.45,6.94,0.18,0.95
2021,11,7,3.35,9.04,0.23,1.21
2021,11,8,1.91,5.65,0.16,0.82
2021,11,9,5.31,12.74,0.32,1.63
2021,11,10,4.18,10.73,0.28,1.51
2021,11,11,4.94,11.84,0.3,1.55
2021,11,12,3.24,8.11,0.21,1.14
2021,11,13,4.89,11.48,0.28,1.43
2021,11,14,3.95,9.85,0.24,1.27
2021,11,15,2.91,7.66,0.2,1.0
2021,11,16,1.35,4.05,0.1,0.55
2021,11,17,0.93,2.87,0.07,0.38
2021,11,18,2.36,6.56,0.16,0.86
2021,11,19,1.56,4.49,0.11,0.59
2021,11,20,2.06,5.8,0.14,0.75
2021,11,21,3.06,8.18,0.2,1.03
2021,11,22,1.71,5.02,0.12,0.65
2021,11,23,3.02,7.73,0.19,0.96
2021,11,24,3.47,8.94,0.21,1.09
2021,11,25,2.62,7.13,0.17,0.88
2021,11,26,3.22,8.34,0.2,1.04
2021,11,27,3.68,8.9,0.2,1.07
2021,11,28,4.8,11.01,0.24,1.23
2021,11,29,4.87,11.24,0.25,1.26
2021,11,30,4.78,10.84,0.24,1.23
2021,12,1,5.06,11.24,0.26,1.3
2021,12,2,5.01,10.98,0.25,-999.0
2021,12,3,4.9,10.64,0.23,1.16
2021,12,4,4.84,10.61,0.22,-999.0
2021,12,5,4.76,10.57,0.21,1.05
2021,12,6,4.91,10.74,0.22,1.08
2021,12,7,4.85,10.81,0.23,1.13
2021,12,8,3.66,8.88,0.2,1.02
2021,12,9,1.91,5.3,0.13,0.7
2021,12,10,2.39,5.85,0.15,0.77
2021,12,11,3.34,8.12,0.2,1.01
2021,12,12,2.86,6.72,0.16,0.83
2021,12,13,2.97,7.32,0.18,0.92
2021,12,14,3.61,8.2,0.19,0.97
2021,12,15,2.16,5.7,0.14,0.72
2021,12,16,2.84,7.05,0.17,0.91
2021,12,17,3.45,8.09,0.2,1.03
2021,12,18,4.18,9.2,0.21,1.09
2021,12,19,4.37,9.7,0.23,1.17
2021,12,20,1.79,5.07,0.13,0.7
2021,12,21,2.79,6.62,0.16,0.85
2021,12,22,3.58,7.88,0.19,0.99
2021,12,23,4.28,9.25,0.2,1.02
2021,12,24,2.62,6.51,0.15,0.79
2021,12,25,1.74,4.51,0.11,0.55
2021,12,26,0.84,2.33,0.05,0.3
2021,12,27,1.03,2.96,0.07,0.4
2021,12,28,2.31,5.89,0.14,0.74
2021,12,29,1.31,3.81,0.1,0.53
2021,12,30,1.93,5.41,0.14,0.77
2021,12,31,1.21,3.46,0.09,0.49
