-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  21.1833   Longitude 106.05 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.44,27.32,25.69,26.51,27.23,20.69,91.0,16.47,100.41,1.55,110.12,2.41,110.56,0.85
2020,276,1.52,27.79,25.62,26.7,27.91,20.57,88.44,12.12,100.49,1.48,108.12,2.36,108.25,0.84
2020,277,1.18,27.27,25.61,26.44,27.19,20.57,90.88,10.02,100.6,1.4,155.5,2.23,155.38,0.84
2020,278,1.85,27.54,25.38,26.46,27.58,20.26,88.5,7.51,100.61,1.12,151.44,1.8,151.38,0.84
2020,279,1.7,27.18,24.8,25.99,27.0,19.59,87.31,10.22,100.74,2.1,69.25,3.16,69.62,0.84
2020,280,1.4,23.51,20.62,22.06,23.74,15.14,84.38,2.7,101.06,3.02,42.69,4.42,42.56,0.83
2020,281,1.62,22.7,19.55,21.12,22.83,14.16,82.94,0.06,101.2,3.34,37.0,4.92,37.0,0.81
2020,282,1.73,22.2,18.84,20.52,22.4,13.49,82.0,0.03,101.26,3.24,35.56,4.78,35.56,0.8
2020,283,1.59,21.73,18.46,20.09,21.88,13.18,82.69,0.0,101.29,3.02,29.12,4.5,29.19,0.8
2020,284,1.71,21.93,18.52,20.23,22.09,13.24,82.06,0.01,101.11,2.35,31.62,3.61,31.56,0.79
2020,285,1.61,22.51,19.23,20.87,22.75,13.92,82.81,0.0,100.84,2.2,21.5,3.35,21.56,0.79
2020,286,1.82,23.89,20.7,22.3,23.8,15.26,83.25,0.06,100.7,2.75,64.06,4.17,64.06,0.78
2020,287,1.49,24.1,21.18,22.64,23.81,15.69,84.19,3.98,100.58,3.37,16.25,5.04,16.31,0.79
2020,288,0.51,23.52,22.23,22.87,23.13,16.85,92.44,66.67,100.25,4.89,37.94,7.26,38.25,0.91
2020,289,0.59,25.08,24.09,24.59,24.77,18.74,94.19,49.62,100.67,2.69,71.81,4.02,71.88,0.92
2020,290,1.11,22.83,20.54,21.69,22.62,15.08,87.19,21.5,101.02,4.64,32.94,6.81,32.88,0.9
2020,291,1.08,20.03,17.19,18.62,19.76,12.15,83.88,8.33,101.24,4.35,22.31,6.44,22.31,0.87
2020,292,0.88,19.77,18.02,18.9,19.49,12.82,89.62,282.56,101.21,3.96,23.25,5.88,23.25,0.97
2020,293,0.84,18.78,16.62,17.69,18.65,11.72,87.38,1.78,101.31,3.74,22.0,5.53,22.0,0.91
2020,294,1.26,20.24,17.6,18.92,20.12,12.45,85.12,1.15,101.39,3.02,25.06,4.51,25.06,0.89
2020,295,1.78,20.28,16.69,18.48,20.1,11.78,80.81,0.0,101.37,2.79,47.19,4.3,47.38,0.88
2020,296,1.93,20.05,16.04,18.05,19.64,11.29,79.06,0.0,101.13,2.95,85.5,4.55,85.56,0.86
2020,297,1.89,19.44,15.33,17.38,19.04,10.8,78.75,0.0,101.16,2.62,81.06,4.18,81.12,0.85
2020,298,1.73,20.39,15.92,18.15,20.16,11.23,77.06,0.0,101.13,2.02,27.94,3.23,27.88,0.84
2020,299,0.79,21.26,18.02,19.64,21.08,12.88,82.19,0.12,101.04,2.3,38.88,3.54,38.88,0.84
2020,300,0.73,22.62,20.61,21.61,22.58,15.14,88.75,2.47,101.01,2.59,34.0,3.88,33.94,0.84
2020,301,1.47,24.21,21.47,22.83,24.17,15.99,85.5,0.23,100.94,1.64,84.19,2.55,84.12,0.84
2020,302,1.3,24.14,21.4,22.77,23.7,15.87,85.12,1.53,100.96,3.79,29.19,5.65,29.19,0.84
2020,303,0.58,22.08,19.63,20.86,21.76,14.16,86.12,18.03,101.2,5.06,44.12,7.44,44.06,0.88
2020,304,0.48,21.3,19.51,20.4,21.27,14.04,89.69,3.41,101.45,2.47,42.5,3.68,42.12,0.85
2020,305,0.74,22.92,20.73,21.83,23.01,15.14,88.0,0.97,101.4,1.66,81.88,2.52,82.69,0.84
2020,306,0.88,23.96,21.47,22.71,24.22,15.87,86.81,0.08,101.24,1.08,146.62,1.7,145.94,0.84
