-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  21.1833   Longitude 106.05 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.09,27.62,24.86,26.24,27.57,19.65,85.44,0.61,100.59,1.27,158.62,2.0,158.44,0.85
2021,275,1.91,27.09,24.24,25.66,27.09,18.92,85.06,2.22,100.69,1.21,153.56,1.91,153.38,0.85
2021,276,1.91,26.82,24.46,25.64,26.69,19.17,87.38,3.09,100.72,1.23,160.19,1.95,160.25,0.85
2021,277,1.98,27.62,24.76,26.19,27.58,19.47,85.12,6.02,100.8,1.26,100.62,2.0,100.88,0.86
2021,278,1.88,26.7,25.14,25.92,26.41,19.96,91.25,8.03,100.76,1.86,57.94,2.95,57.88,0.86
2021,279,1.82,27.73,24.86,26.3,27.46,19.65,84.88,2.27,100.53,1.18,84.38,1.85,83.25,0.85
2021,280,1.93,28.11,24.33,26.22,27.74,19.1,80.75,0.25,100.25,1.98,142.69,3.13,142.19,0.84
2021,281,1.73,25.78,21.92,23.85,25.44,16.54,79.75,0.2,100.18,3.71,15.0,5.56,15.0,0.84
2021,282,0.56,23.98,21.79,22.88,23.56,16.36,87.62,23.29,100.17,4.31,321.62,6.41,321.69,0.88
2021,283,0.64,24.89,23.23,24.06,24.55,18.07,90.44,80.01,99.9,4.95,170.44,7.29,170.5,0.93
2021,284,0.73,23.74,21.65,22.69,23.4,16.3,88.38,20.39,100.49,4.38,45.06,6.48,45.0,0.92
2021,285,1.48,20.95,17.41,19.19,20.73,12.39,80.75,0.0,100.73,3.49,11.31,5.24,11.38,0.88
2021,286,0.89,20.8,18.19,19.5,20.26,13.06,85.12,10.46,100.31,4.95,261.62,7.34,261.69,0.89
2021,287,0.69,22.18,20.08,21.13,21.8,14.89,88.12,14.79,100.25,6.22,35.44,9.19,35.56,0.9
2021,288,0.56,22.78,20.9,21.84,22.64,15.44,89.44,17.19,100.76,3.79,30.56,5.59,30.5,0.91
2021,289,0.72,20.01,17.46,18.73,19.74,12.39,85.44,6.59,101.35,4.73,23.62,6.98,23.62,0.89
2021,290,1.21,18.98,15.87,17.42,18.77,11.17,82.44,0.75,101.66,4.54,24.38,6.71,24.38,0.88
2021,291,0.61,19.04,16.99,18.01,19.08,12.02,88.06,4.53,101.53,2.63,24.0,3.94,24.25,0.88
2021,292,0.84,22.87,21.33,22.11,23.22,15.87,91.31,4.27,101.38,1.58,70.44,2.41,70.88,0.88
2021,293,1.38,25.79,24.12,24.95,25.81,18.74,91.0,0.43,101.06,2.04,152.88,3.16,152.81,0.87
2021,294,0.7,20.88,19.08,19.98,20.82,13.92,89.75,4.5,101.28,3.41,55.31,5.14,55.62,0.88
2021,295,0.91,18.08,14.82,16.45,18.15,10.38,81.75,0.87,101.8,3.26,27.19,4.8,27.25,0.87
2021,296,1.71,18.57,15.09,16.83,18.8,10.56,80.88,0.0,101.84,2.38,27.38,3.62,27.31,0.86
2021,297,1.54,19.48,15.97,17.73,19.52,11.17,81.12,0.0,101.71,2.17,25.31,3.41,25.25,0.85
2021,298,1.66,20.81,16.1,18.45,20.36,11.29,75.69,0.0,101.41,1.55,49.44,2.37,48.88,0.84
2021,299,1.61,22.19,17.46,19.83,21.76,12.39,75.69,0.0,101.28,1.09,57.94,1.77,58.06,0.84
2021,300,1.5,22.49,19.05,20.76,22.34,13.67,82.0,0.05,101.35,2.12,39.25,3.34,39.0,0.84
2021,301,0.55,22.07,20.17,21.12,22.05,14.65,89.25,15.33,101.36,2.1,36.94,3.16,36.88,0.87
2021,302,0.47,23.69,22.33,23.01,23.61,16.78,92.25,17.81,101.35,2.53,66.0,3.73,66.0,0.88
2021,303,0.57,21.3,19.72,20.51,21.32,14.22,90.88,11.35,101.5,2.7,38.94,3.95,38.81,0.88
