-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.131   Longitude 106.4628 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.91,13.27,0.41,2.1
2021,10,2,3.68,10.49,0.33,1.7
2021,10,3,3.53,10.11,0.3,1.55
2021,10,4,3.97,11.27,0.34,1.75
2021,10,5,5.03,13.47,0.41,2.07
2021,10,6,2.88,8.69,0.27,1.37
2021,10,7,4.23,11.62,0.35,1.79
2021,10,8,5.05,13.74,0.41,2.11
2021,10,9,4.31,12.16,0.37,1.88
2021,10,10,4.35,12.36,0.36,1.85
2021,10,11,3.72,10.83,0.32,1.6
2021,10,12,4.65,12.55,0.37,1.85
2021,10,13,4.54,12.52,0.38,1.91
2021,10,14,4.3,11.95,0.35,1.81
2021,10,15,4.25,11.75,0.36,1.87
2021,10,16,3.51,10.13,0.3,1.55
2021,10,17,4.15,11.71,0.36,1.83
2021,10,18,4.78,12.97,0.39,2.01
2021,10,19,5.12,13.73,0.41,2.17
2021,10,20,3.41,9.55,0.3,1.51
2021,10,21,5.33,14.21,0.42,2.18
2021,10,22,4.34,11.96,0.35,1.8
2021,10,23,5.35,14.03,0.41,2.12
2021,10,24,4.95,13.25,0.38,2.0
2021,10,25,4.25,11.91,0.35,1.77
2021,10,26,4.05,11.25,0.34,1.7
2021,10,27,3.58,10.38,0.31,1.62
2021,10,28,5.31,14.0,0.4,2.09
2021,10,29,5.01,13.27,0.38,1.96
2021,10,30,5.11,13.7,0.39,1.99
2021,10,31,5.14,13.62,0.39,1.98
2021,11,1,5.39,14.21,0.4,2.02
2021,11,2,5.46,14.27,0.4,2.05
2021,11,3,5.29,13.94,0.41,2.09
2021,11,4,5.12,13.54,0.39,1.98
2021,11,5,4.88,13.01,0.38,1.91
2021,11,6,5.18,13.64,0.39,2.02
2021,11,7,4.69,12.6,0.38,1.92
2021,11,8,5.19,13.77,0.39,2.03
2021,11,9,3.81,10.56,0.31,1.61
2021,11,10,4.26,11.77,0.34,1.78
2021,11,11,2.61,7.77,0.23,1.18
2021,11,12,4.92,13.02,0.38,1.95
2021,11,13,4.87,12.95,0.38,1.95
2021,11,14,2.41,7.27,0.2,1.07
2021,11,15,4.13,11.46,0.33,1.7
2021,11,16,3.04,8.8,0.26,1.3
2021,11,17,4.74,12.67,0.36,1.87
2021,11,18,4.14,11.28,0.32,1.65
2021,11,19,4.58,12.37,0.34,1.76
2021,11,20,3.56,9.96,0.29,1.48
2021,11,21,4.51,11.95,0.34,1.73
2021,11,22,4.34,11.62,0.32,1.67
2021,11,23,4.53,12.01,0.34,1.73
2021,11,24,5.02,12.91,0.37,1.91
2021,11,25,3.64,10.16,0.3,1.55
2021,11,26,4.51,12.09,0.34,1.78
2021,11,27,2.83,8.21,0.24,1.25
2021,11,28,3.98,10.72,0.3,1.57
2021,11,29,2.94,8.53,0.25,1.29
2021,11,30,1.63,5.09,0.14,0.72
2021,12,1,3.73,10.27,0.3,1.59
2021,12,2,4.82,12.18,0.34,1.77
2021,12,3,5.32,13.29,0.36,1.88
2021,12,4,3.89,10.39,0.29,1.54
2021,12,5,5.59,13.74,0.38,2.01
2021,12,6,5.57,13.83,0.37,1.92
2021,12,7,5.08,12.91,0.34,1.81
2021,12,8,5.78,14.25,0.37,1.91
2021,12,9,3.12,8.73,0.24,1.28
2021,12,10,5.69,14.07,0.39,2.07
2021,12,11,4.74,12.12,0.34,1.77
2021,12,12,4.91,12.66,0.35,1.86
2021,12,13,4.96,12.78,0.36,1.93
2021,12,14,4.86,12.55,0.34,1.81
2021,12,15,4.68,12.38,0.34,1.83
2021,12,16,3.77,10.2,0.29,1.54
2021,12,17,4.17,11.18,0.33,1.78
2021,12,18,5.04,12.61,0.34,1.82
2021,12,19,4.01,10.49,0.3,1.57
2021,12,20,4.91,12.26,0.34,1.82
2021,12,21,5.07,12.75,0.35,1.85
2021,12,22,3.92,10.55,0.31,1.68
2021,12,23,4.32,11.38,0.33,1.76
2021,12,24,4.65,12.1,0.35,1.88
2021,12,25,5.28,13.22,0.37,1.93
2021,12,26,5.22,12.95,0.35,1.84
2021,12,27,4.69,11.84,0.33,1.72
2021,12,28,4.55,11.68,0.32,1.69
2021,12,29,4.33,11.43,0.32,1.67
2021,12,30,5.02,12.94,0.36,1.93
2021,12,31,5.67,14.12,0.39,2.08
