-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  10.131   Longitude 106.4628 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,4.86,13.09,0.39,2.01
2020,10,2,4.49,12.44,0.38,1.95
2020,10,3,4.96,13.45,0.4,2.08
2020,10,4,5.03,13.63,0.41,2.11
2020,10,5,3.75,10.52,0.32,1.62
2020,10,6,4.08,11.71,0.35,1.77
2020,10,7,2.77,8.25,0.23,1.2
2020,10,8,4.56,12.65,0.38,1.94
2020,10,9,2.49,7.58,0.23,1.19
2020,10,10,3.87,10.98,0.34,1.69
2020,10,11,3.29,9.52,0.29,1.46
2020,10,12,4.37,12.23,0.38,1.91
2020,10,13,3.7,10.76,0.33,1.67
2020,10,14,2.1,6.59,0.2,1.01
2020,10,15,4.1,11.72,0.36,1.83
2020,10,16,2.91,8.73,0.27,1.36
2020,10,17,3.43,9.87,0.3,1.52
2020,10,18,2.3,6.98,0.2,1.04
2020,10,19,4.67,12.66,0.37,1.88
2020,10,20,4.87,12.95,0.38,1.9
2020,10,21,3.79,10.81,0.32,1.63
2020,10,22,5.41,14.05,0.41,2.1
2020,10,23,4.52,12.2,0.37,1.88
2020,10,24,5.02,13.13,0.38,1.97
2020,10,25,3.45,9.61,0.28,1.43
2020,10,26,5.3,13.62,0.39,2.02
2020,10,27,4.65,12.24,0.35,1.8
2020,10,28,3.15,8.96,0.26,1.32
2020,10,29,4.04,11.3,0.34,1.7
2020,10,30,5.48,14.31,0.4,2.05
2020,10,31,4.84,13.14,0.38,1.92
2020,11,1,5.0,13.34,0.38,1.96
2020,11,2,4.46,12.03,0.34,1.76
2020,11,3,5.21,13.37,0.38,1.98
2020,11,4,4.25,11.09,0.31,1.59
2020,11,5,5.25,13.2,0.37,1.9
2020,11,6,2.65,7.63,0.23,1.15
2020,11,7,5.28,13.72,0.38,1.96
2020,11,8,4.52,11.98,0.35,1.79
2020,11,9,4.02,10.77,0.31,1.6
2020,11,10,4.42,11.91,0.35,1.82
2020,11,11,3.29,9.42,0.28,1.44
2020,11,12,5.46,14.0,0.4,2.06
2020,11,13,5.1,13.34,0.37,1.91
2020,11,14,5.83,14.65,0.41,2.09
2020,11,15,5.13,12.99,0.36,1.84
2020,11,16,5.67,14.45,0.4,2.05
2020,11,17,5.79,14.68,0.41,2.12
2020,11,18,5.49,14.12,0.4,2.08
2020,11,19,4.68,12.47,0.36,1.89
2020,11,20,5.0,12.94,0.36,1.85
2020,11,21,5.11,13.38,0.38,1.95
2020,11,22,5.38,13.73,0.38,2.0
2020,11,23,5.44,13.91,0.38,1.96
2020,11,24,4.78,12.33,0.34,1.77
2020,11,25,4.69,12.34,0.35,1.87
2020,11,26,3.82,10.56,0.3,1.59
2020,11,27,4.67,12.25,0.34,1.82
2020,11,28,4.84,12.55,0.35,1.84
2020,11,29,2.94,8.4,0.24,1.29
2020,11,30,3.73,10.42,0.3,1.56
2020,12,1,3.64,10.2,0.29,1.52
2020,12,2,4.94,12.77,0.37,1.93
2020,12,3,6.0,14.7,0.4,2.05
2020,12,4,5.98,14.53,0.39,2.02
2020,12,5,5.62,13.91,0.38,2.02
2020,12,6,5.46,13.73,0.38,2.04
2020,12,7,3.74,10.2,0.3,1.58
2020,12,8,4.41,11.6,0.34,1.84
2020,12,9,3.78,10.29,0.3,1.61
2020,12,10,3.8,10.22,0.3,1.56
2020,12,11,3.29,9.4,0.27,1.47
2020,12,12,4.14,11.19,0.31,1.67
2020,12,13,3.73,10.28,0.3,1.63
2020,12,14,4.99,12.94,0.37,1.97
2020,12,15,4.4,11.5,0.33,1.78
2020,12,16,4.72,12.27,0.35,1.86
2020,12,17,4.58,11.95,0.35,1.89
2020,12,18,4.28,11.4,0.34,1.8
2020,12,19,3.99,10.55,0.29,1.54
2020,12,20,3.86,10.27,0.3,1.59
2020,12,21,5.32,13.07,0.36,1.91
2020,12,22,3.25,8.96,0.27,1.48
2020,12,23,3.07,8.71,0.26,1.39
2020,12,24,3.7,10.08,0.3,1.63
2020,12,25,4.76,12.48,0.38,2.04
2020,12,26,4.69,12.03,0.36,1.95
2020,12,27,5.05,12.61,0.37,2.02
2020,12,28,5.01,12.55,0.37,2.01
2020,12,29,4.66,12.01,0.37,2.05
2020,12,30,3.3,9.23,0.29,1.61
2020,12,31,3.94,10.31,0.31,1.72
