-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  10.131   Longitude 106.4628 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,2.01,26.62,25.19,25.9,26.81,20.02,92.0,14.08,100.66,2.51,278.44,3.45,278.06,0.97
2020,276,1.95,26.73,25.65,26.19,26.86,20.57,93.75,24.81,100.68,1.91,247.19,2.69,247.38,0.98
2020,277,2.08,27.02,25.52,26.27,27.18,20.39,91.56,10.47,100.82,2.52,231.25,3.45,231.31,0.98
2020,278,2.11,26.79,25.32,26.05,26.96,20.14,91.75,9.42,100.89,2.46,251.06,3.41,250.94,0.97
2020,279,1.62,26.33,24.74,25.54,26.6,19.47,91.06,13.29,100.82,2.33,255.5,3.21,255.25,0.98
2020,280,1.77,26.26,24.79,25.52,26.51,19.53,91.69,7.54,100.77,2.34,248.69,3.22,248.5,0.97
2020,281,1.2,26.58,24.98,25.78,26.77,19.78,91.06,7.83,100.56,2.65,259.44,3.65,259.56,0.97
2020,282,1.94,26.95,25.57,26.26,27.05,20.51,92.12,12.37,100.54,2.34,216.44,3.2,216.12,0.97
2020,283,1.19,26.36,25.19,25.78,26.51,20.02,93.31,45.86,100.68,2.48,210.06,3.44,209.75,0.98
2020,284,1.69,26.36,25.22,25.79,26.55,20.08,93.44,48.97,100.63,2.27,236.12,3.14,235.94,0.99
2020,285,1.46,26.25,25.19,25.72,26.31,20.08,93.81,13.94,100.52,3.16,235.62,4.38,235.5,0.98
2020,286,1.91,26.3,25.16,25.73,26.4,20.02,93.38,28.88,100.46,3.38,257.44,4.63,257.44,0.99
