-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.131   Longitude 106.4628 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.1,27.26,25.26,26.26,27.66,20.08,89.06,9.13,100.92,1.7,219.0,2.39,219.0,0.94
2021,275,1.7,26.54,24.95,25.75,26.85,19.65,91.06,25.38,100.98,2.47,237.25,3.41,237.0,0.97
2021,276,1.55,26.94,24.24,25.59,27.11,18.86,85.44,6.4,100.84,1.3,283.0,1.77,282.5,0.95
2021,277,1.75,26.52,24.47,25.5,26.92,19.17,88.62,14.78,100.71,1.07,254.25,1.59,253.88,0.96
2021,278,2.07,26.42,24.75,25.58,26.76,19.53,90.62,18.4,100.63,1.41,243.38,1.99,242.88,0.97
2021,279,1.37,26.25,24.98,25.62,26.59,19.84,92.69,23.27,100.46,2.32,263.31,3.19,263.0,0.98
2021,280,1.79,26.4,25.06,25.73,26.59,19.96,92.38,6.26,100.46,3.12,248.19,4.29,247.94,0.97
2021,281,2.11,26.85,25.5,26.17,26.87,20.45,92.31,24.16,100.5,4.09,241.5,5.64,241.25,0.98
2021,282,1.88,26.97,25.57,26.27,27.04,20.51,92.06,12.55,100.65,3.76,246.75,5.18,246.56,0.98
2021,283,1.85,27.28,25.6,26.44,27.26,20.57,90.69,3.21,100.61,3.48,251.5,4.82,251.38,0.96
2021,284,1.6,26.97,25.64,26.3,27.01,20.57,92.44,42.05,100.56,3.08,246.81,4.27,246.62,0.98
2021,285,1.85,25.77,24.42,25.1,25.83,19.17,92.19,23.74,100.61,3.79,249.44,5.27,249.25,0.98
2021,286,1.91,26.26,24.86,25.56,26.29,19.71,92.0,7.42,100.44,3.91,244.06,5.39,243.94,0.98
2021,287,1.81,27.21,25.46,26.33,27.18,20.39,90.31,11.39,100.55,3.23,234.06,4.51,233.88,0.97
2021,288,1.87,27.29,25.28,26.28,27.32,20.14,89.0,8.59,100.62,1.75,230.5,2.52,231.12,0.97
2021,289,1.55,26.55,24.2,25.37,26.87,18.86,87.25,9.31,100.8,1.46,253.12,2.13,253.38,0.96
2021,290,1.83,25.87,23.73,24.8,26.15,18.31,88.12,4.3,100.85,2.08,274.44,2.95,273.81,0.96
2021,291,2.01,26.65,24.05,25.34,27.05,18.62,86.12,0.58,100.97,1.21,174.69,1.84,175.31,0.95
2021,292,2.17,27.46,25.05,26.26,27.57,19.78,87.0,1.77,101.2,1.55,107.06,2.3,107.69,0.94
2021,293,1.51,27.21,25.56,26.38,27.32,20.39,90.81,15.75,101.23,1.42,151.81,2.06,152.31,0.95
2021,294,2.18,26.28,24.45,25.37,26.51,19.04,89.75,3.33,101.14,1.45,154.06,2.05,154.81,0.95
2021,295,1.8,26.72,24.52,25.62,26.87,19.17,87.94,2.56,101.15,1.93,116.94,2.78,117.38,0.95
2021,296,2.12,26.65,24.76,25.7,26.84,19.41,89.56,4.76,101.18,1.94,117.88,2.78,118.5,0.94
2021,297,2.0,27.21,24.18,25.69,27.48,18.74,84.0,1.43,101.06,1.45,131.56,2.05,146.75,0.93
2021,298,1.77,27.33,24.19,25.76,27.58,18.8,83.44,2.89,100.95,1.43,91.88,1.99,91.81,0.93
2021,299,1.7,27.48,24.87,26.18,27.8,19.59,86.12,2.97,100.82,1.9,294.38,2.73,294.44,0.92
2021,300,1.62,27.23,24.93,26.08,27.55,19.65,87.56,1.68,100.81,2.08,266.75,2.92,267.38,0.91
2021,301,2.09,26.98,25.06,26.02,27.19,19.78,89.31,2.74,100.99,2.41,121.69,3.4,122.19,0.91
2021,302,1.96,27.18,25.05,26.11,27.25,19.78,88.31,1.22,101.12,2.72,99.06,3.83,99.31,0.91
2021,303,1.99,26.92,25.17,26.05,26.92,19.9,90.19,3.89,101.14,2.77,83.56,3.91,83.62,0.91
2021,304,1.98,27.08,25.14,26.11,27.18,19.84,89.31,1.52,101.12,2.59,89.44,3.66,89.81,0.91
2021,305,2.02,27.1,25.33,26.22,27.05,20.14,90.19,5.08,101.05,2.8,79.88,3.95,80.44,0.91
2021,306,2.05,27.46,24.99,26.23,27.65,19.71,86.88,3.66,101.05,3.03,83.38,4.22,83.94,0.91
2021,307,2.09,27.1,25.05,26.08,27.08,19.78,88.75,11.45,101.0,2.46,79.0,3.47,79.75,0.92
2021,308,1.98,26.66,24.92,25.79,26.67,19.65,90.19,1.43,100.96,2.51,81.12,3.55,81.31,0.91
2021,309,1.91,26.45,24.71,25.58,26.54,19.41,90.19,8.17,100.88,2.39,82.56,3.38,82.5,0.91
2021,310,2.02,27.04,25.02,26.03,27.21,19.84,89.0,11.73,100.7,2.48,108.19,3.55,108.5,0.92
2021,311,1.92,27.05,25.26,26.15,27.13,20.08,90.06,1.77,100.7,2.63,101.19,3.75,101.75,0.91
2021,312,2.03,27.25,25.39,26.32,27.23,20.26,89.69,4.76,100.78,3.14,91.44,4.41,92.0,0.91
2021,313,1.61,26.65,24.47,25.55,26.47,19.17,87.94,4.22,100.92,3.25,70.0,4.58,70.25,0.91
2021,314,1.78,26.44,24.29,25.37,26.37,18.92,88.12,7.74,100.95,2.85,64.31,4.02,64.19,0.91
2021,315,1.18,26.21,24.44,25.33,26.41,19.1,90.12,16.25,100.86,3.2,48.81,4.41,48.75,0.93
2021,316,1.95,26.63,24.83,25.73,26.63,19.53,89.94,11.06,100.9,3.95,70.12,5.48,70.0,0.93
2021,317,1.95,26.81,24.86,25.83,26.87,19.59,89.19,10.41,100.93,3.27,86.25,4.57,86.5,0.93
2021,318,1.07,26.12,24.5,25.31,26.33,19.17,90.81,10.87,100.96,2.52,86.12,3.55,86.5,0.94
2021,319,1.7,26.44,24.56,25.5,26.55,19.23,89.56,10.89,100.83,2.91,84.25,4.1,84.75,0.94
2021,320,1.3,26.33,24.9,25.62,26.32,19.65,91.81,11.74,100.81,3.49,70.75,4.89,70.62,0.94
2021,321,1.87,26.39,24.94,25.66,26.42,19.65,91.75,2.43,100.91,2.5,75.62,3.53,75.75,0.93
2021,322,1.65,26.27,24.55,25.41,26.33,19.23,90.38,2.19,100.8,2.5,93.81,3.56,94.69,0.93
2021,323,1.76,26.68,24.65,25.67,26.69,19.41,88.94,0.38,100.69,1.7,83.19,2.44,84.31,0.92
2021,324,1.48,27.18,25.03,26.11,27.31,19.84,88.38,5.84,100.68,1.17,104.31,1.65,106.0,0.92
2021,325,1.73,27.19,25.26,26.23,27.32,20.08,89.5,1.59,100.79,2.8,74.62,3.87,75.19,0.91
2021,326,1.67,26.9,25.43,26.16,26.86,20.26,91.62,8.71,100.87,3.13,97.5,4.4,97.75,0.93
2021,327,1.73,26.6,24.76,25.69,26.65,19.47,89.75,8.7,100.9,2.39,63.38,3.31,63.88,0.93
2021,328,1.91,26.08,24.6,25.34,26.11,19.23,91.5,12.43,101.0,2.64,69.56,3.67,69.94,0.94
2021,329,1.55,25.9,23.88,24.89,26.14,18.43,88.88,6.89,100.97,2.09,78.44,2.91,78.12,0.94
2021,330,1.78,25.83,23.9,24.87,26.03,18.49,89.31,1.84,100.92,1.88,47.69,2.62,47.38,0.93
2021,331,1.25,24.73,23.49,24.11,25.05,18.07,92.81,7.85,100.88,2.68,116.56,3.72,115.88,0.94
2021,332,1.57,25.66,24.27,24.97,25.73,18.92,92.06,7.86,100.82,2.88,52.56,4.02,52.25,0.94
2021,333,1.29,25.62,24.53,25.08,25.73,19.23,93.62,20.82,100.73,2.56,118.56,3.6,118.31,0.95
2021,334,0.72,25.68,24.3,24.98,25.76,18.92,92.06,9.28,100.89,2.55,99.12,3.59,99.19,0.95
2021,335,1.59,25.58,23.49,24.54,25.63,18.01,88.44,1.27,101.05,3.01,65.81,4.16,65.38,0.95
2021,336,1.77,25.48,22.43,23.95,25.62,16.85,83.56,0.06,101.17,2.16,62.06,2.92,62.12,0.93
2021,337,1.88,25.61,22.45,24.03,26.1,16.85,83.12,0.42,101.25,1.4,52.06,1.9,49.75,0.92
2021,338,1.54,24.15,21.28,22.71,24.82,15.69,84.38,0.0,101.24,1.8,74.69,2.48,88.19,0.92
