-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  14.1578   Longitude 108.9402 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 432.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.65,14.77,0.43,2.23
2021,10,2,5.97,15.06,0.45,2.29
2021,10,3,5.61,14.59,0.42,2.16
2021,10,4,4.11,11.28,0.34,1.73
2021,10,5,5.05,13.6,0.41,2.05
2021,10,6,1.97,6.12,0.2,0.98
2021,10,7,0.8,2.73,0.08,0.41
2021,10,8,1.57,5.09,0.16,0.79
2021,10,9,4.92,13.03,0.38,1.96
2021,10,10,4.32,11.52,0.34,1.7
2021,10,11,5.11,13.27,0.38,1.95
2021,10,12,4.8,12.68,0.37,1.85
2021,10,13,1.89,5.92,0.18,0.91
2021,10,14,3.12,9.07,0.27,1.38
2021,10,15,3.26,9.41,0.29,1.46
2021,10,16,3.93,11.1,0.32,1.64
2021,10,17,1.91,5.87,0.18,0.91
2021,10,18,3.94,11.09,0.33,1.69
2021,10,19,3.38,9.74,0.3,1.5
2021,10,20,4.54,12.19,0.35,1.8
2021,10,21,5.36,13.78,0.38,1.95
2021,10,22,4.32,11.67,0.34,1.7
2021,10,23,1.14,3.66,0.11,0.55
2021,10,24,0.93,3.07,0.09,0.42
2021,10,25,3.6,9.8,0.28,1.41
2021,10,26,2.22,6.69,0.2,0.98
2021,10,27,0.72,2.43,0.07,0.34
2021,10,28,3.4,9.73,0.29,1.5
2021,10,29,3.39,9.63,0.28,1.46
2021,10,30,3.54,10.0,0.29,1.47
2021,10,31,4.34,11.59,0.32,1.65
2021,11,1,4.47,11.77,0.32,1.62
2021,11,2,5.28,13.38,0.37,1.91
2021,11,3,4.58,11.86,0.33,1.67
2021,11,4,4.72,12.31,0.34,1.77
2021,11,5,5.58,14.16,0.39,2.01
2021,11,6,6.05,14.95,0.41,2.12
2021,11,7,4.99,12.69,0.36,1.85
2021,11,8,2.94,8.41,0.25,1.3
2021,11,9,1.87,5.76,0.17,0.91
2021,11,10,2.53,7.27,0.21,1.1
2021,11,11,1.43,4.62,0.14,0.73
2021,11,12,2.81,7.96,0.23,1.19
2021,11,13,1.26,4.05,0.12,0.6
2021,11,14,0.97,3.16,0.09,0.45
2021,11,15,1.85,5.68,0.16,0.81
2021,11,16,1.23,3.95,0.11,0.55
2021,11,17,2.54,7.51,0.22,1.16
2021,11,18,2.43,6.98,0.2,1.05
2021,11,19,3.91,10.15,0.27,1.41
2021,11,20,5.03,12.62,0.32,1.65
2021,11,21,4.36,11.25,0.3,1.54
2021,11,22,2.91,8.05,0.22,1.12
2021,11,23,2.43,6.75,0.19,0.97
2021,11,24,1.73,5.3,0.15,0.77
2021,11,25,2.57,7.16,0.2,1.02
2021,11,26,3.04,7.95,0.21,1.13
2021,11,27,1.35,4.21,0.12,0.62
2021,11,28,1.39,4.39,0.12,0.66
2021,11,29,0.98,3.12,0.08,0.42
2021,11,30,1.43,4.41,0.12,0.65
2021,12,1,3.24,7.95,0.21,1.14
2021,12,2,2.79,7.4,0.2,1.06
2021,12,3,3.04,8.02,0.22,1.14
2021,12,4,4.92,11.51,0.3,1.59
2021,12,5,2.65,7.21,0.2,1.03
2021,12,6,2.32,6.34,0.17,0.93
2021,12,7,3.21,8.38,0.22,1.13
2021,12,8,2.52,7.12,0.2,1.02
2021,12,9,3.71,9.3,0.24,1.29
2021,12,10,4.55,11.24,0.3,1.58
2021,12,11,4.06,10.28,0.28,1.48
2021,12,12,2.59,7.24,0.2,1.05
2021,12,13,2.68,7.1,0.19,0.96
2021,12,14,2.73,7.16,0.2,1.09
2021,12,15,3.09,8.33,0.23,1.2
2021,12,16,3.45,9.19,0.25,1.34
2021,12,17,2.79,7.65,0.22,1.2
2021,12,18,2.07,5.43,0.15,0.79
2021,12,19,0.9,2.79,0.08,0.41
2021,12,20,4.28,10.86,0.31,1.71
2021,12,21,2.22,6.24,0.19,1.01
2021,12,22,2.9,7.59,0.21,1.12
2021,12,23,2.78,7.88,0.23,1.24
2021,12,24,3.77,9.95,0.28,1.52
2021,12,25,2.48,6.98,0.2,1.05
2021,12,26,2.52,6.94,0.2,1.03
2021,12,27,2.23,6.37,0.19,0.99
2021,12,28,2.5,7.09,0.2,1.09
2021,12,29,2.63,7.13,0.2,1.05
2021,12,30,2.88,7.82,0.22,1.16
2021,12,31,4.05,10.2,0.27,1.46
