-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  14.1578   Longitude 108.9402 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 432.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,5.05,13.73,0.41,2.12
2020,10,2,4.75,13.15,0.38,1.96
2020,10,3,5.03,13.59,0.41,2.06
2020,10,4,4.11,11.8,0.38,1.89
2020,10,5,4.46,12.33,0.37,1.88
2020,10,6,4.2,11.82,0.37,1.87
2020,10,7,0.57,1.93,0.05,0.28
2020,10,8,0.75,2.51,0.07,0.37
2020,10,9,2.42,7.45,0.22,1.12
2020,10,10,2.67,7.98,0.25,1.27
2020,10,11,1.76,5.38,0.16,0.79
2020,10,12,3.9,11.14,0.33,1.67
2020,10,13,2.43,7.45,0.22,1.12
2020,10,14,3.36,9.84,0.3,1.49
2020,10,15,4.21,11.86,0.36,1.82
2020,10,16,2.93,8.66,0.25,1.27
2020,10,17,2.26,7.0,0.21,1.07
2020,10,18,3.27,9.44,0.28,1.42
2020,10,19,4.29,11.91,0.35,1.8
2020,10,20,2.26,6.84,0.19,0.94
2020,10,21,2.34,6.78,0.2,1.02
2020,10,22,5.13,13.12,0.38,1.97
2020,10,23,4.62,12.03,0.35,1.8
2020,10,24,4.84,12.29,0.35,1.8
2020,10,25,3.71,9.95,0.29,1.47
2020,10,26,4.79,12.37,0.34,1.77
2020,10,27,3.56,9.7,0.28,1.45
2020,10,28,0.78,2.52,0.06,0.34
2020,10,29,3.41,9.41,0.27,1.38
2020,10,30,3.41,9.52,0.27,1.34
2020,10,31,2.21,6.59,0.19,0.95
2020,11,1,2.8,8.12,0.23,1.21
2020,11,2,5.03,12.64,0.34,1.78
2020,11,3,2.63,7.26,0.21,1.06
2020,11,4,3.1,8.24,0.23,1.16
2020,11,5,1.19,3.7,0.09,0.48
2020,11,6,1.72,5.2,0.15,0.75
2020,11,7,2.79,7.66,0.22,1.13
2020,11,8,3.12,7.77,0.21,1.08
2020,11,9,1.67,4.69,0.12,0.66
2020,11,10,1.51,4.7,0.14,0.73
2020,11,11,2.49,7.18,0.21,1.1
2020,11,12,2.23,6.45,0.2,1.01
2020,11,13,3.54,9.21,0.26,1.34
2020,11,14,1.99,6.09,0.18,0.94
2020,11,15,3.64,9.95,0.28,1.5
2020,11,16,3.21,8.98,0.25,1.31
2020,11,17,3.46,9.28,0.26,1.32
2020,11,18,4.07,10.74,0.29,1.49
2020,11,19,4.75,12.34,0.34,1.73
2020,11,20,4.46,11.66,0.31,1.65
2020,11,21,4.55,11.76,0.32,1.66
2020,11,22,4.6,11.68,0.32,1.66
2020,11,23,4.16,10.77,0.3,1.55
2020,11,24,2.77,7.73,0.23,1.19
2020,11,25,4.0,10.41,0.28,1.5
2020,11,26,3.4,9.09,0.24,1.27
2020,11,27,3.68,9.42,0.26,1.37
2020,11,28,1.69,5.18,0.15,0.8
2020,11,29,1.4,4.34,0.12,0.63
2020,11,30,1.48,4.6,0.12,0.67
2020,12,1,2.49,7.31,0.21,1.12
2020,12,2,2.61,7.29,0.21,1.12
2020,12,3,2.7,7.34,0.2,1.09
2020,12,4,2.68,7.05,0.19,1.0
2020,12,5,2.25,5.88,0.16,0.84
2020,12,6,3.08,8.12,0.23,1.23
2020,12,7,2.66,7.33,0.21,1.14
2020,12,8,2.57,6.58,0.19,1.02
2020,12,9,2.62,6.98,0.2,1.04
2020,12,10,2.54,7.02,0.2,1.1
2020,12,11,2.59,7.32,0.2,1.07
2020,12,12,3.19,8.57,0.23,1.23
2020,12,13,3.51,9.26,0.26,1.39
2020,12,14,3.12,8.46,0.24,1.29
2020,12,15,2.18,6.27,0.18,0.98
2020,12,16,2.93,7.92,0.22,1.19
2020,12,17,2.71,7.29,0.21,1.11
2020,12,18,2.9,7.8,0.23,1.2
2020,12,19,2.02,5.55,0.16,0.88
2020,12,20,1.89,5.17,0.15,0.84
2020,12,21,2.82,7.38,0.21,1.18
2020,12,22,2.88,7.92,0.23,1.3
2020,12,23,2.47,7.02,0.2,1.12
2020,12,24,2.54,6.94,0.2,1.1
2020,12,25,2.9,7.98,0.23,1.29
2020,12,26,3.47,9.06,0.27,1.44
2020,12,27,3.39,9.09,0.27,1.48
2020,12,28,5.22,12.71,0.38,2.06
2020,12,29,5.57,13.25,0.39,2.12
2020,12,30,2.68,7.29,0.23,1.31
2020,12,31,1.83,5.2,0.16,0.88
