-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  14.1578   Longitude 108.9402 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 432.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.23,26.15,22.73,24.44,26.06,18.13,84.06,9.68,96.08,0.1,98.25,1.1,97.5,0.87
2021,275,2.29,26.33,22.43,24.38,25.89,17.88,82.25,2.51,96.15,0.13,104.62,1.0,117.0,0.86
2021,276,2.16,25.16,22.22,23.69,25.08,17.58,85.69,4.43,96.1,0.09,69.62,1.26,73.88,0.86
2021,277,1.73,24.27,22.76,23.51,24.29,18.19,92.06,12.68,96.0,0.04,172.88,1.74,21.0,0.88
2021,278,2.05,24.05,22.79,23.42,24.07,18.19,93.25,19.09,95.91,0.04,141.44,1.81,48.81,0.91
2021,279,0.98,23.4,22.62,23.01,23.43,18.13,95.62,70.95,95.55,0.05,321.25,1.66,338.81,0.98
2021,280,0.41,23.53,22.64,23.08,23.53,18.13,95.0,31.9,95.39,0.05,256.38,1.92,256.0,0.95
2021,281,0.79,25.08,23.26,24.17,25.09,18.86,90.5,11.21,95.31,0.05,245.06,2.7,246.44,0.92
2021,282,1.96,25.14,23.33,24.23,25.15,18.86,90.31,5.35,95.55,0.05,244.75,2.57,247.12,0.91
2021,283,1.7,24.98,23.07,24.03,24.85,18.55,89.88,2.75,95.64,0.11,242.19,1.62,241.31,0.9
2021,284,1.95,25.32,23.28,24.3,25.33,18.86,89.88,3.03,95.64,0.03,151.38,1.16,152.06,0.9
2021,285,1.85,25.06,22.35,23.71,25.05,17.82,87.0,4.57,95.57,0.05,198.38,1.07,196.81,0.9
2021,286,0.91,22.99,21.28,22.13,23.01,16.72,91.25,11.73,95.38,0.04,268.62,1.49,269.44,0.92
2021,287,1.38,24.5,22.03,23.26,24.52,17.46,87.69,6.49,95.63,0.04,225.5,1.7,229.19,0.91
2021,288,1.46,24.08,22.95,23.52,24.09,18.43,93.81,20.59,95.78,0.04,179.81,1.24,182.5,0.92
2021,289,1.64,24.2,22.9,23.55,24.19,18.37,93.12,52.29,95.9,0.05,98.31,1.08,103.31,0.96
2021,290,0.91,23.51,22.63,23.07,23.51,18.01,95.06,79.81,96.02,0.06,118.56,1.5,114.5,0.98
2021,291,1.69,24.19,22.94,23.57,24.13,18.31,93.31,7.58,96.33,0.09,77.94,1.53,78.5,0.95
2021,292,1.5,24.37,22.8,23.58,24.37,18.13,91.81,3.57,96.53,0.03,111.19,1.18,36.94,0.94
2021,293,1.8,24.47,22.51,23.49,24.47,17.82,90.06,2.77,96.49,0.04,48.06,1.2,57.06,0.93
2021,294,1.95,24.87,22.12,23.5,24.63,17.46,86.62,2.57,96.38,0.12,121.31,1.11,129.44,0.93
2021,295,1.7,24.2,22.51,23.35,24.22,17.76,91.19,13.2,96.45,0.05,107.94,1.74,29.62,0.94
2021,296,0.55,22.97,22.05,22.51,22.97,17.33,94.88,70.56,96.55,0.06,84.31,2.34,78.56,0.99
2021,297,0.42,22.19,21.04,21.62,22.23,16.36,93.69,88.64,96.43,0.06,148.5,2.4,68.0,0.99
2021,298,1.41,23.29,21.65,22.47,23.3,16.91,91.12,25.86,96.3,0.08,22.62,3.34,28.5,0.98
2021,299,0.98,23.24,22.03,22.64,23.27,17.33,93.25,26.48,96.14,0.08,12.94,3.12,18.62,0.98
2021,300,0.34,24.26,23.87,24.07,24.26,19.41,97.75,53.62,96.1,0.08,67.38,3.4,67.12,0.99
2021,301,1.5,24.09,23.12,23.61,24.1,18.49,94.56,6.53,96.36,0.05,81.5,1.8,83.88,0.98
2021,302,1.46,23.8,22.61,23.21,23.81,17.88,93.5,3.76,96.48,0.05,28.69,1.71,37.94,0.98
2021,303,1.47,23.77,22.22,22.99,23.77,17.46,91.81,5.57,96.53,0.05,45.81,1.61,52.0,0.97
2021,304,1.65,23.89,22.04,22.97,23.9,17.27,90.38,5.32,96.5,0.05,49.38,1.73,54.81,0.97
2021,305,1.62,23.56,21.64,22.6,23.58,16.85,90.0,1.31,96.49,0.05,44.56,2.04,50.0,0.96
2021,306,1.91,23.73,21.75,22.74,23.76,16.97,89.75,2.52,96.46,0.05,29.19,2.07,38.38,0.95
2021,307,1.67,23.96,22.03,22.99,23.98,17.27,90.12,3.2,96.39,0.05,23.69,2.16,32.06,0.95
2021,308,1.77,23.89,21.85,22.87,23.91,17.09,89.44,0.51,96.33,0.05,33.88,1.8,41.62,0.95
2021,309,2.01,24.03,21.87,22.95,24.02,17.15,88.81,0.19,96.2,0.05,35.81,1.43,44.75,0.94
2021,310,2.12,24.83,21.6,23.22,24.84,16.91,84.69,0.05,96.01,0.05,42.56,1.36,48.44,0.94
2021,311,1.85,24.01,21.12,22.57,24.04,16.42,85.94,5.49,96.1,0.05,29.31,1.74,37.69,0.93
2021,312,1.3,24.18,23.4,23.79,24.2,18.86,95.62,46.81,96.23,0.07,38.81,2.77,44.0,0.98
2021,313,0.91,22.57,21.58,22.08,22.58,16.85,94.38,20.2,96.44,0.07,23.25,2.89,30.88,0.97
2021,314,1.1,21.63,20.8,21.21,21.66,16.05,95.31,31.38,96.44,0.07,12.0,2.9,19.81,0.98
2021,315,0.73,22.41,21.31,21.87,22.44,16.54,93.81,22.28,96.35,0.07,26.75,2.99,33.44,0.98
2021,316,1.19,22.9,21.98,22.44,22.93,17.27,94.75,26.56,96.39,0.06,27.5,2.66,34.06,0.98
2021,317,0.6,23.49,22.88,23.19,23.5,18.25,96.56,49.56,96.31,0.07,39.94,2.84,44.06,0.99
2021,318,0.45,23.14,22.59,22.87,23.15,17.88,96.88,63.79,96.34,0.06,33.0,2.62,38.5,1.0
2021,319,0.81,23.43,22.52,22.98,23.44,17.82,94.88,23.75,96.24,0.06,44.88,2.72,49.94,0.99
2021,320,0.55,23.13,22.52,22.83,23.14,17.82,96.5,17.0,96.27,0.06,42.38,2.49,48.31,0.99
2021,321,1.16,23.81,23.04,23.42,23.83,18.43,95.69,6.99,96.3,0.05,40.81,2.32,47.75,0.98
2021,322,1.05,23.82,22.9,23.36,23.82,18.25,94.81,7.63,96.17,0.06,41.0,2.59,47.38,0.98
2021,323,1.41,23.39,21.5,22.44,23.4,16.78,90.06,1.17,96.07,0.05,36.44,2.05,43.75,0.98
2021,324,1.65,23.01,20.9,21.96,23.04,16.17,89.0,0.6,96.09,0.04,34.81,1.62,43.31,0.97
2021,325,1.54,23.44,21.92,22.68,23.46,17.21,92.0,9.34,96.22,0.05,40.19,2.03,46.88,0.97
2021,326,1.12,23.16,21.52,22.34,23.18,16.72,91.25,6.84,96.34,0.06,30.25,2.51,37.88,0.96
2021,327,0.97,22.65,21.19,21.92,22.67,16.42,92.0,10.21,96.44,0.08,36.56,3.49,42.12,0.96
2021,328,0.77,22.31,21.22,21.76,22.33,16.42,93.81,16.67,96.42,0.09,31.25,3.53,36.94,0.97
2021,329,1.02,21.8,19.99,20.9,21.83,15.2,90.12,2.46,96.43,0.08,22.25,3.3,29.5,0.95
2021,330,1.13,21.24,19.49,20.37,21.26,14.77,90.38,3.86,96.4,0.08,11.25,3.36,19.12,0.95
2021,331,0.62,21.67,20.69,21.18,21.71,15.93,94.44,41.42,96.38,0.09,21.69,3.7,27.56,0.98
2021,332,0.66,22.8,22.37,22.58,22.82,17.64,97.38,72.01,96.25,0.07,43.62,3.17,48.19,0.99
2021,333,0.42,23.11,22.16,22.64,23.12,17.46,94.62,46.33,96.25,0.07,50.81,3.2,55.0,0.99
2021,334,0.65,21.65,20.83,21.24,21.65,16.05,95.19,50.4,96.42,0.09,27.38,3.72,33.44,0.99
2021,335,1.14,20.01,18.13,19.07,20.03,13.55,89.56,1.08,96.61,0.08,21.5,3.51,29.62,0.98
2021,336,1.06,19.69,17.77,18.73,19.72,13.18,89.25,0.49,96.65,0.08,24.31,3.23,31.81,0.97
2021,337,1.14,18.22,15.81,17.01,18.25,11.66,86.62,0.79,96.74,0.07,16.94,2.97,24.38,0.96
2021,338,1.59,17.67,15.01,16.34,17.71,11.11,85.56,0.13,96.67,0.07,96.31,2.91,14.62,0.95
2021,339,1.03,20.68,18.98,19.83,20.71,14.28,90.69,0.93,96.51,0.08,26.94,3.22,32.56,0.95
2021,340,0.93,20.08,18.32,19.2,20.1,13.67,90.19,0.77,96.56,0.07,24.88,3.14,31.5,0.95
2021,341,1.13,19.08,16.4,17.74,19.11,12.08,85.75,0.06,96.61,0.06,85.56,2.65,19.31,0.94
2021,342,1.02,21.15,19.35,20.26,21.19,14.65,90.31,0.93,96.56,0.06,82.81,2.78,29.44,0.94
2021,343,1.29,21.08,19.06,20.07,21.08,14.34,89.0,1.23,96.7,0.08,33.69,3.43,40.0,0.93
2021,344,1.58,20.17,17.7,18.94,20.19,13.12,86.75,0.14,96.66,0.07,22.12,2.99,31.0,0.92
2021,345,1.48,20.77,18.6,19.69,20.8,13.92,88.31,0.34,96.61,0.06,23.62,2.75,32.31,0.92
2021,346,1.05,21.4,19.69,20.55,21.43,14.89,90.62,1.89,96.61,0.07,30.38,3.27,37.56,0.92
2021,347,0.96,20.69,18.82,19.76,20.72,14.1,89.75,1.41,96.57,0.08,22.75,3.53,30.25,0.91
2021,348,1.09,21.33,19.73,20.54,21.36,14.95,91.25,1.94,96.4,0.06,29.69,2.96,37.06,0.91
2021,349,1.2,22.44,20.63,21.54,22.45,15.87,90.5,0.91,96.31,0.05,35.31,2.15,44.12,0.91
