-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  14.1578   Longitude 108.9402 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 432.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,2.12,26.18,23.51,24.84,25.9,19.17,87.38,10.7,95.79,0.08,187.94,0.69,169.44,0.84
2020,276,1.96,25.3,23.49,24.39,25.15,19.04,90.56,8.98,95.91,0.09,101.56,1.06,93.19,0.84
2020,277,2.06,25.49,23.21,24.35,25.36,18.74,88.69,5.62,96.03,0.12,117.88,0.95,112.62,0.82
2020,278,1.89,25.12,23.48,24.3,24.81,19.04,91.62,22.87,96.05,0.13,120.19,0.86,120.75,0.88
2020,279,1.88,24.23,22.86,23.54,24.17,18.25,92.62,10.53,95.98,0.09,109.44,1.43,115.75,0.85
2020,280,1.87,24.41,23.83,24.12,24.43,19.41,96.69,29.31,95.88,0.05,116.94,2.31,105.12,0.91
2020,281,0.28,24.4,23.26,23.83,24.42,18.8,93.75,84.15,95.73,0.05,78.44,1.98,75.62,0.97
2020,282,0.37,24.48,23.97,24.23,24.5,19.53,97.0,26.01,95.89,0.04,86.12,1.91,84.5,0.93
2020,283,1.12,23.73,22.51,23.12,23.65,17.88,93.25,33.68,95.98,0.05,117.75,1.17,65.06,0.93
2020,284,1.27,23.73,23.23,23.48,23.73,18.74,97.12,33.91,95.85,0.05,125.94,1.45,89.12,0.95
2020,285,0.79,23.85,22.55,23.19,23.78,18.01,93.0,26.86,95.52,0.07,213.81,1.59,208.25,0.95
2020,286,1.67,24.23,23.17,23.69,23.9,18.86,94.56,28.98,95.57,0.1,131.0,0.76,71.31,0.95
2020,287,1.12,24.6,22.66,23.63,24.42,18.19,90.0,104.68,95.6,0.12,212.5,0.95,217.0,0.99
2020,288,1.49,24.56,22.47,23.51,24.55,17.94,89.44,54.05,95.74,0.05,166.88,0.93,177.0,0.97
2020,289,1.82,24.19,23.08,23.63,24.17,18.55,94.0,24.78,95.79,0.08,54.69,1.42,60.0,0.96
