-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  14.1578   Longitude 108.9402 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 432.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.38,25.18,23.29,24.23,25.09,18.86,90.81,6.14,96.06,0.05,168.5,0.88,173.56,0.95
2022,275,2.03,24.64,23.06,23.85,24.65,18.49,91.75,5.5,96.06,0.04,113.12,1.27,112.69,0.95
2022,276,1.63,24.37,22.68,23.52,24.39,18.01,91.12,3.0,96.12,0.03,46.94,1.66,55.44,0.95
2022,277,1.05,23.34,21.86,22.6,23.35,17.15,92.06,19.42,96.3,0.03,52.06,1.38,47.88,0.96
2022,278,1.91,23.16,21.78,22.47,23.19,17.09,92.62,6.97,96.31,0.03,123.19,1.5,83.69,0.95
2022,279,2.09,24.08,21.44,22.76,24.01,16.72,86.81,8.41,96.31,0.08,143.62,1.26,63.0,0.95
2022,280,1.99,24.05,21.87,22.96,24.08,17.15,88.88,10.73,96.27,0.04,130.75,1.75,81.94,0.95
2022,281,1.91,24.7,22.31,23.51,24.73,17.64,88.25,10.63,96.3,0.04,57.31,1.57,41.12,0.95
2022,282,1.91,23.86,22.89,23.37,23.87,18.25,94.69,20.11,96.38,0.05,97.81,1.6,20.44,0.96
2022,283,0.27,23.61,23.15,23.38,23.63,18.55,97.38,68.6,96.43,0.05,70.5,2.05,34.56,0.99
2022,284,0.52,23.88,22.81,23.34,23.9,18.13,94.0,76.9,96.33,0.07,33.19,2.88,38.69,1.0
2022,285,1.38,23.27,21.39,22.33,23.3,16.66,90.0,15.15,96.27,0.07,15.69,2.85,22.31,0.98
