-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.2106   Longitude 106.677 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.49,12.46,0.39,1.99
2021,10,2,3.04,8.95,0.28,1.41
2021,10,3,4.17,11.46,0.35,1.77
2021,10,4,5.44,14.4,0.43,2.18
2021,10,5,5.14,13.91,0.42,2.17
2021,10,6,3.0,9.17,0.29,1.45
2021,10,7,3.74,10.95,0.33,1.68
2021,10,8,4.16,11.66,0.34,1.77
2021,10,9,4.33,12.24,0.37,1.88
2021,10,10,4.84,13.05,0.37,1.88
2021,10,11,3.88,10.81,0.33,1.66
2021,10,12,3.58,10.22,0.3,1.54
2021,10,13,4.45,12.52,0.37,1.87
2021,10,14,4.65,12.84,0.39,1.98
2021,10,15,5.16,13.78,0.41,2.13
2021,10,16,3.13,9.18,0.27,1.39
2021,10,17,2.8,8.54,0.26,1.31
2021,10,18,4.86,13.29,0.4,2.05
2021,10,19,4.82,13.09,0.4,2.04
2021,10,20,4.64,12.62,0.38,1.94
2021,10,21,5.26,13.88,0.41,2.1
2021,10,22,4.88,13.17,0.39,2.02
2021,10,23,5.44,14.26,0.42,2.15
2021,10,24,5.61,14.57,0.41,2.12
2021,10,25,3.97,11.14,0.32,1.65
2021,10,26,5.06,13.51,0.4,2.04
2021,10,27,2.22,7.0,0.21,1.07
2021,10,28,5.55,14.45,0.41,2.14
2021,10,29,5.47,14.21,0.41,2.09
2021,10,30,5.81,15.2,0.43,2.24
2021,10,31,4.58,12.45,0.36,1.82
2021,11,1,5.97,15.4,0.42,2.16
2021,11,2,6.11,15.48,0.42,2.16
2021,11,3,5.9,15.2,0.44,2.26
2021,11,4,5.15,13.52,0.38,1.97
2021,11,5,5.61,14.55,0.41,2.12
2021,11,6,5.35,13.97,0.4,2.04
2021,11,7,5.49,14.2,0.41,2.08
2021,11,8,5.65,14.58,0.41,2.12
2021,11,9,4.73,12.66,0.37,1.91
2021,11,10,4.41,12.02,0.35,1.83
2021,11,11,3.38,9.54,0.28,1.44
2021,11,12,5.36,14.05,0.4,2.1
2021,11,13,5.04,13.24,0.38,2.0
2021,11,14,3.88,10.74,0.32,1.64
2021,11,15,4.57,12.28,0.34,1.77
2021,11,16,3.47,9.93,0.28,1.45
2021,11,17,5.06,13.29,0.38,1.97
2021,11,18,4.15,11.2,0.31,1.62
2021,11,19,5.39,13.88,0.38,1.91
2021,11,20,4.53,12.37,0.34,1.77
2021,11,21,5.29,13.72,0.38,1.97
2021,11,22,3.95,10.9,0.32,1.67
2021,11,23,4.81,12.45,0.34,1.77
2021,11,24,4.93,12.66,0.35,1.83
2021,11,25,4.1,11.16,0.31,1.66
2021,11,26,5.21,13.38,0.36,1.89
2021,11,27,2.77,8.09,0.23,1.2
2021,11,28,4.02,10.84,0.31,1.64
2021,11,29,2.59,7.77,0.21,1.12
2021,11,30,2.62,7.52,0.22,1.16
2021,12,1,4.82,12.45,0.35,1.89
2021,12,2,5.04,12.57,0.34,1.77
2021,12,3,5.74,14.12,0.38,1.94
2021,12,4,4.96,12.31,0.34,1.77
2021,12,5,5.21,13.03,0.36,1.88
2021,12,6,5.62,13.8,0.36,1.87
2021,12,7,5.37,13.45,0.35,1.85
2021,12,8,5.47,13.73,0.36,1.86
2021,12,9,4.02,10.73,0.29,1.53
2021,12,10,5.89,14.37,0.39,2.04
2021,12,11,5.28,13.15,0.36,1.91
2021,12,12,5.49,13.98,0.38,1.96
2021,12,13,5.3,13.35,0.37,1.92
2021,12,14,5.29,13.51,0.36,1.86
2021,12,15,5.39,13.84,0.37,1.91
2021,12,16,4.45,11.88,0.34,1.84
2021,12,17,4.55,11.94,0.34,1.9
2021,12,18,5.2,12.69,0.34,1.81
2021,12,19,3.81,10.08,0.29,1.55
2021,12,20,4.73,12.02,0.34,1.81
2021,12,21,4.66,11.98,0.34,1.78
2021,12,22,3.38,9.28,0.27,1.47
2021,12,23,3.55,9.66,0.28,1.48
2021,12,24,4.0,10.86,0.32,1.73
2021,12,25,4.53,11.77,0.33,1.73
2021,12,26,4.84,12.33,0.34,1.77
2021,12,27,4.6,11.63,0.32,1.68
2021,12,28,4.7,12.13,0.34,1.76
2021,12,29,4.52,11.77,0.33,1.73
2021,12,30,5.07,12.91,0.35,1.88
2021,12,31,5.84,14.39,0.39,2.06
