-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.2106   Longitude 106.677 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,1.99,26.51,24.7,25.61,26.47,19.47,90.0,6.07,100.4,1.02,228.44,1.64,228.19,0.89
2021,275,1.41,26.12,24.54,25.33,26.12,19.29,91.19,24.6,100.46,1.62,241.56,2.48,241.44,0.92
2021,276,1.77,26.52,23.88,25.2,26.45,18.55,85.88,2.19,100.32,0.98,241.12,1.49,241.25,0.89
2021,277,2.18,27.1,24.51,25.81,27.26,19.35,86.31,19.34,100.17,0.9,239.19,1.42,238.88,0.91
2021,278,2.17,26.14,24.41,25.28,26.23,19.23,90.5,29.86,100.08,1.08,251.06,1.66,251.0,0.93
2021,279,1.45,25.78,24.3,25.04,25.72,19.1,91.62,20.32,99.92,1.37,246.94,2.12,246.69,0.94
2021,280,1.68,26.19,24.81,25.5,26.2,19.78,92.31,6.85,99.91,2.38,253.81,3.55,253.81,0.91
2021,281,1.77,26.4,25.37,25.88,26.28,20.39,94.06,14.47,99.93,2.95,237.81,4.38,237.75,0.92
2021,282,1.88,26.35,25.2,25.78,26.24,20.14,93.44,4.94,100.11,2.54,244.69,3.81,244.56,0.91
2021,283,1.88,26.85,25.31,26.08,26.79,20.32,91.56,5.1,100.06,2.7,250.0,4.03,249.88,0.91
2021,284,1.66,26.3,25.4,25.86,26.11,20.45,94.75,21.15,100.02,2.55,241.12,3.81,241.0,0.94
2021,285,1.54,25.28,24.2,24.74,25.09,18.98,93.69,15.42,100.04,3.13,247.56,4.65,247.44,0.93
2021,286,1.87,25.51,24.45,24.98,25.42,19.35,93.88,14.28,99.87,3.2,240.25,4.74,240.19,0.93
2021,287,1.98,26.51,25.28,25.9,26.39,20.32,93.06,33.99,100.02,2.27,234.06,3.46,234.0,0.95
2021,288,2.13,26.57,24.94,25.75,26.51,19.84,91.06,5.92,100.11,1.34,235.31,2.16,235.38,0.94
2021,289,1.39,25.37,23.93,24.65,25.19,18.62,91.81,15.34,100.27,1.41,267.62,2.3,267.31,0.95
