-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.2106   Longitude 106.677 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.97,26.38,24.93,25.65,26.32,19.84,91.94,5.86,100.11,1.59,274.69,2.48,274.69,0.89
2020,276,1.8,26.53,25.23,25.88,26.48,20.2,92.75,34.07,100.15,1.27,220.75,2.0,220.69,0.93
2020,277,1.96,26.51,25.21,25.86,26.39,20.14,92.62,8.74,100.3,1.68,226.88,2.63,226.75,0.91
2020,278,1.98,26.13,24.73,25.43,26.01,19.53,92.06,10.75,100.37,1.3,248.31,2.09,248.0,0.91
2020,279,1.79,26.01,24.41,25.21,26.05,19.17,91.12,10.95,100.27,1.71,265.44,2.57,265.44,0.92
2020,280,1.75,25.86,24.59,25.23,25.8,19.41,92.81,7.92,100.21,2.01,259.44,3.02,259.44,0.91
2020,281,1.2,26.11,24.76,25.43,26.06,19.65,92.38,6.3,99.99,2.09,269.5,3.12,269.62,0.91
2020,282,1.91,26.37,25.07,25.72,26.27,20.02,92.75,11.02,100.05,1.84,160.38,2.8,160.12,0.92
2020,283,1.46,25.95,24.8,25.37,25.84,19.65,93.38,35.98,100.17,1.43,195.94,2.23,194.94,0.95
2020,284,1.9,26.16,24.93,25.55,26.15,19.84,93.06,28.91,100.1,1.38,225.12,2.13,225.25,0.95
2020,285,1.63,25.86,24.68,25.27,25.82,19.59,93.31,9.18,100.0,2.16,227.44,3.26,227.12,0.94
2020,286,2.0,25.26,24.17,24.71,25.23,18.98,93.75,34.41,99.92,2.52,249.75,3.76,249.69,0.96
2020,287,1.89,25.89,24.87,25.38,25.8,19.84,94.06,21.37,99.95,1.79,233.81,2.72,233.94,0.96
2020,288,1.55,25.87,24.88,25.37,25.72,19.78,94.31,25.01,100.07,2.57,214.38,3.84,214.12,0.97
2020,289,1.59,26.26,25.05,25.65,26.18,20.02,93.12,23.28,100.05,2.39,219.19,3.55,218.94,0.97
2020,290,0.96,25.43,24.59,25.01,25.21,19.47,95.0,19.97,100.0,2.78,215.0,4.16,214.81,0.97
2020,291,1.69,25.57,24.66,25.12,25.33,19.53,94.69,15.46,100.07,2.7,214.0,4.07,213.88,0.97
2020,292,1.59,25.66,24.68,25.17,25.46,19.47,94.31,21.87,100.29,2.04,195.88,3.18,195.62,0.98
2020,293,1.8,25.99,24.33,25.16,25.95,19.1,90.75,7.16,100.3,1.12,215.69,1.8,215.12,0.97
2020,294,2.05,26.44,24.55,25.49,26.48,19.35,89.69,3.05,100.25,1.0,278.81,1.61,278.56,0.96
2020,295,1.52,26.28,24.86,25.57,26.12,19.71,92.0,11.4,100.23,1.61,196.0,2.44,196.38,0.96
2020,296,2.27,26.08,24.27,25.18,26.12,19.04,90.06,3.28,100.25,1.19,250.06,1.91,250.31,0.96
2020,297,2.15,26.38,24.33,25.36,26.4,19.1,89.06,3.94,100.33,1.23,250.81,1.91,250.88,0.95
2020,298,2.01,26.16,24.62,25.39,26.19,19.41,91.44,1.05,100.37,2.21,173.44,3.29,173.31,0.95
2020,299,1.87,26.07,24.5,25.29,26.0,19.29,91.31,9.62,100.4,1.82,240.56,2.8,240.88,0.95
2020,300,2.09,26.06,24.33,25.19,26.02,19.04,90.38,16.35,100.33,1.3,299.69,2.11,299.94,0.95
2020,301,1.58,25.13,23.7,24.42,24.98,18.37,91.88,3.08,100.19,1.99,307.81,3.05,308.0,0.95
2020,302,1.12,25.08,24.07,24.58,24.94,18.86,94.12,5.26,100.08,2.89,265.0,4.34,265.25,0.95
2020,303,1.66,25.26,24.34,24.8,25.15,19.1,94.62,32.98,100.37,1.76,209.25,2.7,209.12,0.96
2020,304,2.05,26.9,24.22,25.56,26.95,18.92,85.88,3.02,100.48,1.0,205.5,1.59,205.44,0.95
2020,305,1.84,27.62,24.73,26.18,27.8,19.53,85.31,8.28,100.44,1.09,132.5,1.69,133.56,0.95
2020,306,2.01,27.3,25.12,26.2,27.47,20.02,88.44,3.44,100.38,1.19,200.81,1.8,215.75,0.94
2020,307,2.04,26.85,23.71,25.28,26.86,18.37,83.75,0.05,100.47,0.8,105.56,1.23,106.38,0.93
2020,308,2.11,26.72,23.39,25.05,27.12,18.01,83.12,0.1,100.56,0.84,153.12,1.39,153.31,0.92
2020,309,1.87,26.73,24.12,25.42,26.96,18.8,86.31,0.24,100.52,1.02,230.31,1.62,231.25,0.91
2020,310,2.0,26.97,24.04,25.5,27.22,18.74,85.06,0.25,100.46,1.03,173.44,1.63,173.88,0.91
2020,311,1.45,26.69,24.82,25.76,26.78,19.65,89.94,5.43,100.47,1.22,233.56,1.91,233.56,0.91
2020,312,2.04,26.61,24.77,25.69,26.64,19.53,89.94,11.48,100.56,2.23,134.75,3.31,135.12,0.92
2020,313,1.93,26.67,23.48,25.08,26.76,18.13,83.56,0.56,100.5,0.87,190.12,1.44,204.88,0.91
2020,314,1.41,25.62,23.05,24.33,25.9,17.7,86.31,4.26,100.34,1.73,302.5,2.6,287.75,0.91
2020,315,1.08,24.4,22.82,23.61,24.39,17.46,91.06,5.49,100.15,3.32,302.12,4.89,302.19,0.91
2020,316,1.48,25.13,23.37,24.25,25.19,18.01,90.25,2.52,100.38,2.43,156.44,3.61,156.19,0.9
2020,317,1.79,26.45,24.18,25.31,26.6,18.92,88.12,0.84,100.47,1.49,128.38,2.3,129.81,0.89
2020,318,2.09,26.47,23.66,25.07,26.83,18.31,85.44,0.0,100.39,1.02,265.0,1.68,265.12,0.88
2020,319,2.03,26.43,23.23,24.83,26.58,17.88,83.81,0.0,100.34,0.91,230.19,1.52,231.38,0.88
