-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.2106   Longitude 106.677 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.7,26.78,24.98,25.88,26.89,19.84,90.25,4.15,100.31,1.48,205.19,2.28,205.0,0.86
2022,275,1.75,26.67,24.46,25.56,26.87,19.23,88.25,4.61,100.25,1.2,180.25,1.88,180.19,0.87
2022,276,1.84,26.2,24.3,25.25,26.08,19.04,89.69,15.48,100.24,1.93,92.62,3.04,92.62,0.89
2022,277,2.19,25.84,23.75,24.8,25.7,18.43,88.69,9.15,100.42,1.57,83.5,2.5,83.94,0.88
2022,278,2.19,26.08,23.74,24.9,26.0,18.43,87.56,5.59,100.43,2.34,110.12,3.58,110.69,0.87
2022,279,1.89,25.84,23.98,24.91,25.72,18.62,89.69,9.32,100.51,1.41,127.31,2.2,127.62,0.88
2022,280,2.27,26.85,24.03,25.44,26.9,18.74,85.62,12.12,100.42,1.29,168.88,1.99,168.5,0.88
2022,281,1.52,26.62,24.48,25.55,26.62,19.23,88.44,7.89,100.44,1.19,195.81,1.95,196.06,0.88
2022,282,1.98,26.31,23.94,25.13,26.3,18.62,87.31,3.48,100.55,1.26,102.12,1.88,102.81,0.87
2022,283,1.83,26.9,22.88,24.89,26.99,17.46,80.56,16.89,100.59,1.27,122.88,2.05,123.69,0.9
2022,284,1.61,26.17,24.29,25.23,26.23,18.98,89.69,7.24,100.51,1.12,257.88,1.77,258.06,0.88
2022,285,2.07,26.82,24.46,25.64,26.87,19.23,87.62,7.08,100.38,0.9,223.25,1.49,223.75,0.88
