-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.7543   Longitude 106.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 187.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,4.6,12.64,0.38,1.97
2020,10,2,4.2,11.87,0.35,1.8
2020,10,3,4.78,12.88,0.38,1.96
2020,10,4,4.64,12.74,0.39,1.98
2020,10,5,4.16,11.9,0.35,1.79
2020,10,6,3.92,11.41,0.34,1.75
2020,10,7,2.47,7.67,0.23,1.2
2020,10,8,4.35,12.36,0.38,1.91
2020,10,9,3.19,9.45,0.29,1.46
2020,10,10,4.46,12.64,0.38,1.9
2020,10,11,3.52,10.36,0.32,1.63
2020,10,12,4.71,13.08,0.39,2.0
2020,10,13,4.23,12.08,0.38,1.89
2020,10,14,3.36,9.99,0.3,1.55
2020,10,15,3.42,10.22,0.31,1.59
2020,10,16,1.95,6.19,0.19,0.96
2020,10,17,3.8,10.98,0.34,1.69
2020,10,18,3.73,10.67,0.31,1.59
2020,10,19,4.37,12.04,0.35,1.8
2020,10,20,5.18,13.94,0.4,2.05
2020,10,21,3.64,10.48,0.3,1.52
2020,10,22,5.92,15.26,0.45,2.27
2020,10,23,5.42,14.12,0.42,2.15
2020,10,24,5.16,13.55,0.39,2.01
2020,10,25,4.83,12.76,0.37,1.87
2020,10,26,5.57,14.3,0.41,2.09
2020,10,27,3.91,10.86,0.31,1.58
2020,10,28,2.39,7.3,0.22,1.12
2020,10,29,3.98,11.16,0.33,1.66
2020,10,30,5.63,14.52,0.4,2.05
2020,10,31,4.73,12.79,0.36,1.84
2020,11,1,5.33,14.06,0.39,2.01
2020,11,2,5.54,14.27,0.4,2.04
2020,11,3,5.85,14.52,0.41,2.11
2020,11,4,5.18,13.08,0.36,1.87
2020,11,5,5.49,13.91,0.39,2.0
2020,11,6,3.26,9.45,0.28,1.45
2020,11,7,5.51,14.28,0.4,2.04
2020,11,8,5.33,13.42,0.38,1.93
2020,11,9,3.62,9.66,0.27,1.41
2020,11,10,2.31,7.02,0.21,1.08
2020,11,11,3.32,9.63,0.29,1.48
2020,11,12,4.65,12.23,0.34,1.79
2020,11,13,5.84,14.84,0.41,2.09
2020,11,14,5.7,14.18,0.39,2.03
2020,11,15,5.22,13.23,0.37,1.9
2020,11,16,5.66,14.45,0.4,2.05
2020,11,17,5.92,14.88,0.41,2.12
2020,11,18,5.78,14.73,0.41,2.16
2020,11,19,5.51,14.2,0.4,2.09
2020,11,20,4.46,11.92,0.34,1.77
2020,11,21,5.36,13.97,0.4,2.07
2020,11,22,5.44,13.92,0.39,2.04
2020,11,23,5.78,14.56,0.4,2.05
2020,11,24,5.5,13.9,0.38,1.98
2020,11,25,5.42,13.84,0.39,2.05
2020,11,26,4.92,12.73,0.35,1.84
2020,11,27,4.81,12.55,0.34,1.82
2020,11,28,4.63,12.07,0.34,1.76
2020,11,29,2.59,7.78,0.23,1.18
2020,11,30,3.92,10.78,0.3,1.6
2020,12,1,3.77,10.52,0.3,1.59
2020,12,2,4.55,11.93,0.34,1.8
2020,12,3,5.98,14.6,0.39,2.0
2020,12,4,5.88,14.3,0.38,1.94
2020,12,5,5.64,13.85,0.38,1.98
2020,12,6,5.69,14.04,0.39,2.05
2020,12,7,3.96,10.82,0.31,1.68
2020,12,8,4.93,12.51,0.36,1.9
2020,12,9,4.52,11.98,0.34,1.88
2020,12,10,4.26,11.23,0.33,1.73
2020,12,11,4.02,10.98,0.32,1.7
2020,12,12,4.14,11.12,0.3,1.63
2020,12,13,4.4,11.74,0.33,1.77
2020,12,14,4.85,12.59,0.35,1.9
2020,12,15,4.75,12.27,0.34,1.81
2020,12,16,5.11,13.05,0.36,1.91
2020,12,17,4.59,11.87,0.34,1.84
2020,12,18,4.5,11.8,0.34,1.84
2020,12,19,4.06,10.49,0.28,1.5
2020,12,20,4.54,11.31,0.31,1.72
2020,12,21,4.73,11.98,0.33,1.77
2020,12,22,3.44,9.23,0.27,1.5
2020,12,23,3.48,9.71,0.28,1.54
2020,12,24,4.27,11.24,0.33,1.74
2020,12,25,3.92,10.54,0.32,1.77
2020,12,26,5.27,13.34,0.39,2.11
2020,12,27,5.45,13.66,0.4,2.13
2020,12,28,5.63,14.02,0.41,2.2
2020,12,29,5.46,13.73,0.41,2.24
2020,12,30,3.48,9.62,0.3,1.65
2020,12,31,3.97,10.29,0.31,1.73
