-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.7543   Longitude 106.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 187.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,1.99,25.94,23.97,24.96,25.95,18.98,89.69,2.54,98.79,0.12,204.19,1.06,197.12,0.95
2021,275,1.41,25.17,23.71,24.44,25.17,18.68,92.0,14.4,98.85,0.14,222.19,1.16,214.12,0.96
2021,276,1.77,25.19,23.44,24.31,25.15,18.37,90.56,2.83,98.74,0.1,179.0,0.7,159.19,0.95
2021,277,2.18,26.53,23.63,25.08,26.55,18.68,86.0,6.9,98.57,0.05,242.62,0.7,46.12,0.95
2021,278,2.17,25.77,23.94,24.86,25.76,18.98,90.31,30.91,98.49,0.07,212.38,0.84,43.81,0.96
2021,279,1.45,24.98,23.57,24.27,24.86,18.62,92.19,27.97,98.33,0.16,231.44,0.8,192.38,0.98
2021,280,1.68,24.72,23.71,24.22,24.73,18.74,94.38,6.98,98.3,0.16,250.56,1.22,241.75,0.97
2021,281,1.77,25.66,24.44,25.05,25.66,19.59,93.31,6.28,98.31,0.15,236.62,1.2,234.19,0.96
2021,282,1.88,25.69,24.39,25.04,25.68,19.53,92.81,3.0,98.48,0.18,229.19,1.49,220.5,0.96
2021,283,1.88,26.29,24.4,25.34,26.3,19.53,90.19,11.38,98.43,0.19,240.81,1.3,231.38,0.96
2021,284,1.66,25.74,24.75,25.25,25.73,19.96,94.44,10.48,98.39,0.2,233.69,1.49,229.0,0.96
2021,285,1.54,24.8,24.01,24.4,24.79,19.1,95.31,8.42,98.39,0.23,236.75,1.58,230.06,0.96
2021,286,1.87,25.22,24.15,24.69,25.22,19.35,94.06,25.82,98.22,0.23,237.19,1.62,252.56,0.97
2021,287,1.98,25.39,24.3,24.84,25.37,19.47,93.94,19.73,98.4,0.2,224.0,1.34,223.94,0.98
2021,288,2.13,25.61,24.44,25.02,25.6,19.53,93.56,7.98,98.51,0.11,219.44,1.02,209.25,0.97
2021,289,1.39,24.3,23.24,23.77,24.28,18.19,93.94,38.82,98.66,0.12,242.69,1.2,233.75,0.99
2021,290,1.31,24.22,22.96,23.59,24.23,17.88,93.06,27.65,98.68,0.14,236.5,1.26,211.44,0.98
2021,291,2.05,25.78,23.6,24.69,25.54,18.55,88.62,0.21,98.87,0.21,140.25,0.9,143.25,0.97
2021,292,2.04,26.73,23.65,25.19,26.05,18.55,84.31,0.65,99.11,0.24,86.62,0.72,70.44,0.96
2021,293,1.94,25.94,24.02,24.98,25.69,19.04,89.88,3.1,99.09,0.13,177.06,0.73,139.25,0.96
2021,294,2.1,26.14,24.19,25.16,26.05,19.17,89.88,9.8,99.01,0.16,168.12,0.71,174.19,0.96
2021,295,2.02,26.27,24.19,25.23,26.03,19.17,89.0,2.59,99.04,0.2,156.06,0.66,165.5,0.95
2021,296,2.15,25.73,23.52,24.62,25.62,18.43,88.44,3.65,99.08,0.12,57.5,1.16,50.5,0.95
2021,297,2.12,25.24,22.01,23.62,25.23,16.85,83.69,2.31,98.96,0.07,135.94,1.16,61.88,0.94
2021,298,1.65,25.44,23.44,24.44,25.44,18.37,89.38,3.07,98.84,0.08,174.69,1.05,138.25,0.94
2021,299,2.04,25.4,23.14,24.26,25.4,18.07,88.0,1.57,98.72,0.16,291.88,1.37,70.44,0.93
2021,300,1.07,24.4,23.87,24.14,24.4,18.86,96.69,25.47,98.6,0.18,252.62,1.61,227.62,0.95
2021,301,2.14,26.53,24.06,25.3,26.4,19.1,87.19,0.47,98.87,0.2,147.31,1.2,150.88,0.94
2021,302,2.09,26.97,24.01,25.48,26.92,18.98,85.25,2.69,99.0,0.09,213.19,0.72,39.12,0.93
2021,303,2.24,26.62,23.72,25.16,26.58,18.68,85.62,2.03,99.03,0.1,191.81,0.79,68.62,0.93
2021,304,1.82,26.44,23.87,25.15,26.3,18.8,86.56,1.59,99.02,0.13,89.75,0.77,65.19,0.92
2021,305,2.16,26.8,23.65,25.23,26.79,18.62,84.5,1.2,98.95,0.04,142.31,0.74,49.5,0.91
