-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.7543   Longitude 106.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 187.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.97,25.94,24.47,25.21,25.8,19.59,92.0,7.15,98.52,0.21,266.88,0.93,264.81,0.96
2020,276,1.8,26.13,24.9,25.51,25.7,20.14,93.31,27.95,98.55,0.2,179.81,0.8,183.38,0.97
2020,277,1.96,25.6,24.64,25.12,25.58,19.78,94.62,15.31,98.7,0.12,205.38,1.07,188.69,0.97
2020,278,1.98,25.49,23.96,24.73,25.48,18.98,91.81,14.91,98.78,0.09,228.94,0.88,219.25,0.97
2020,279,1.79,25.4,23.79,24.59,25.4,18.8,91.5,17.85,98.67,0.12,258.31,0.8,245.06,0.98
2020,280,1.75,25.47,24.01,24.73,25.31,19.1,92.19,15.67,98.61,0.2,268.19,0.97,270.88,0.98
2020,281,1.2,25.4,24.31,24.86,25.4,19.47,94.0,9.23,98.37,0.15,283.69,1.0,291.94,0.98
2020,282,1.91,25.55,24.17,24.86,25.54,19.29,92.62,17.42,98.45,0.16,157.31,1.23,169.31,0.98
2020,283,1.46,25.43,24.19,24.81,25.4,19.29,93.31,26.4,98.58,0.12,169.75,0.85,174.81,0.98
2020,284,1.9,24.94,24.09,24.51,24.84,19.17,95.19,43.3,98.52,0.12,160.62,0.82,133.06,0.99
2020,285,1.63,25.44,23.88,24.66,25.44,18.98,91.62,12.28,98.35,0.19,211.88,1.41,209.38,0.98
2020,286,2.0,24.48,23.48,23.98,24.47,18.49,94.25,49.65,98.27,0.18,237.06,1.42,226.75,0.99
2020,287,1.89,24.52,23.18,23.85,24.5,18.19,92.81,38.33,98.35,0.11,201.94,0.89,203.38,0.99
2020,288,1.55,25.31,24.21,24.76,25.31,19.35,93.81,29.88,98.42,0.2,197.62,1.59,189.25,0.99
2020,289,1.59,25.43,24.18,24.8,25.44,19.29,93.12,19.4,98.44,0.19,198.69,1.5,188.81,0.99
2020,290,0.96,24.38,23.91,24.15,24.36,18.98,97.12,25.84,98.34,0.26,204.31,2.01,189.44,0.99
2020,291,1.69,24.76,23.83,24.29,24.74,18.86,94.62,10.41,98.42,0.23,203.44,1.98,199.0,0.99
2020,292,1.59,24.62,23.62,24.12,24.62,18.62,94.31,9.38,98.65,0.2,185.06,1.75,181.88,0.98
2020,293,1.8,25.47,23.51,24.49,25.25,18.49,89.5,4.37,98.7,0.16,167.81,0.88,170.06,0.98
2020,294,2.05,25.98,24.06,25.02,25.94,19.1,89.94,6.42,98.66,0.09,215.81,0.76,222.5,0.98
2020,295,1.52,25.23,24.33,24.78,25.17,19.41,94.75,10.11,98.65,0.1,194.56,0.89,147.5,0.97
2020,296,2.27,25.66,22.63,24.15,25.62,17.58,84.81,3.79,98.66,0.14,188.44,0.98,145.12,0.97
2020,297,2.15,26.3,23.11,24.7,26.27,18.07,83.88,0.16,98.72,0.1,283.06,0.7,214.06,0.95
2020,298,2.01,26.19,23.92,25.05,26.14,18.92,88.12,0.91,98.75,0.21,163.38,1.05,172.0,0.95
2020,299,1.87,25.43,23.47,24.45,25.25,18.37,89.56,4.91,98.79,0.22,259.19,1.05,260.31,0.95
2020,300,2.09,25.5,22.83,24.16,25.18,17.7,86.5,10.06,98.75,0.17,254.06,0.84,238.75,0.95
2020,301,1.58,24.37,23.23,23.8,24.37,18.19,93.62,3.47,98.59,0.13,303.31,1.02,288.81,0.95
2020,302,1.12,23.36,22.75,23.05,23.33,17.64,96.31,19.85,98.43,0.17,262.06,1.45,250.94,0.96
2020,303,1.66,24.66,22.88,23.77,24.65,17.76,90.69,16.17,98.75,0.1,187.69,0.85,175.94,0.96
2020,304,2.05,26.08,23.26,24.67,25.97,18.19,85.94,8.28,98.9,0.12,242.94,0.77,223.75,0.96
2020,305,1.84,26.65,24.26,25.46,26.66,19.35,88.06,6.8,98.86,0.04,208.69,0.73,61.75,0.95
2020,306,2.01,26.09,23.46,24.78,26.1,18.43,86.5,0.65,98.8,0.07,170.44,1.08,44.25,0.94
2020,307,2.04,24.21,21.45,22.83,24.18,16.24,85.44,0.01,98.9,0.08,144.44,1.12,46.81,0.93
2020,308,2.11,24.64,21.54,23.09,24.62,16.36,84.19,0.03,98.99,0.07,43.94,1.07,53.44,0.92
2020,309,1.87,25.4,22.17,23.78,25.37,16.97,83.62,0.01,98.93,0.09,219.69,0.93,146.38,0.92
2020,310,2.0,25.53,22.32,23.93,25.52,17.21,83.75,0.68,98.86,0.09,155.94,0.93,162.06,0.91
2020,311,1.45,25.6,23.39,24.5,25.46,18.31,88.44,4.92,98.88,0.16,271.19,0.81,213.81,0.91
2020,312,2.04,25.62,23.96,24.79,25.64,18.92,91.19,8.1,98.98,0.09,169.94,0.8,119.31,0.92
2020,313,1.93,24.2,21.36,22.78,24.2,16.17,84.88,0.06,98.95,0.12,57.62,1.42,39.81,0.91
2020,314,1.41,24.43,22.06,23.24,24.44,16.97,87.31,3.07,98.76,0.14,307.62,1.33,137.44,0.91
2020,315,1.08,22.28,21.46,21.87,22.27,16.3,95.12,27.72,98.53,0.25,319.75,1.95,333.25,0.95
2020,316,1.48,24.9,23.2,24.05,24.89,18.13,90.94,12.02,98.73,0.17,152.19,1.24,147.62,0.94
2020,317,1.79,25.9,23.68,24.79,25.9,18.62,88.44,0.95,98.9,0.08,217.44,0.98,34.06,0.92
2020,318,2.09,24.59,21.54,23.07,24.62,16.42,84.0,0.0,98.82,0.1,225.31,1.29,41.88,0.91
2020,319,2.03,24.87,21.95,23.41,24.88,16.85,85.19,0.0,98.76,0.11,244.69,0.94,190.69,0.91
2020,320,1.9,26.4,23.34,24.87,26.01,18.25,84.25,0.0,98.87,0.23,160.12,0.77,165.19,0.9
2020,321,2.05,26.3,23.33,24.82,26.27,18.25,84.88,0.22,98.87,0.07,74.06,0.97,54.56,0.9
2020,322,2.12,26.21,22.98,24.59,26.21,17.94,83.56,0.25,98.77,0.05,137.0,0.97,46.94,0.89
2020,323,2.16,26.58,23.16,24.87,26.48,18.13,82.81,0.18,98.73,0.09,303.44,0.74,111.62,0.88
2020,324,2.09,26.71,23.01,24.86,26.6,17.94,81.5,0.37,98.72,0.09,185.56,0.69,72.25,0.88
2020,325,1.77,27.12,23.5,25.31,26.66,18.49,81.5,0.43,98.76,0.12,128.44,0.38,62.06,0.88
2020,326,2.07,26.96,23.62,25.29,26.38,18.62,83.12,0.53,98.79,0.16,160.81,0.55,88.69,0.88
2020,327,2.04,25.9,22.58,24.25,25.89,17.46,83.19,0.31,98.89,0.08,207.75,0.98,47.69,0.87
2020,328,2.05,25.25,22.14,23.69,25.26,16.97,83.88,1.48,98.95,0.09,33.0,1.34,50.25,0.87
2020,329,1.98,25.1,21.77,23.44,25.12,16.6,82.88,0.03,98.92,0.1,122.88,1.37,47.19,0.86
2020,330,2.05,24.87,21.53,23.2,24.88,16.36,82.62,0.02,98.91,0.1,92.06,1.4,42.5,0.86
