-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.7543   Longitude 106.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 187.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,4.03,11.34,0.34,1.7
2022,10,2,4.11,11.45,0.34,1.75
2022,10,3,4.46,12.51,0.37,1.84
2022,10,4,5.25,14.21,0.43,2.19
2022,10,5,5.38,14.4,0.43,2.19
2022,10,6,4.64,12.68,0.38,1.89
2022,10,7,5.85,15.45,0.44,2.27
2022,10,8,3.54,10.16,0.3,1.52
2022,10,9,4.98,13.63,0.39,1.98
2022,10,10,4.38,12.36,0.36,1.83
2022,10,11,3.83,11.17,0.32,1.61
2022,10,12,5.53,14.82,0.41,2.07
2022,10,13,4.71,12.95,0.36,1.8
2022,10,14,3.55,10.55,0.3,1.5
2022,10,15,4.32,12.05,0.33,1.66
2022,10,16,5.64,14.61,0.39,2.01
2022,10,17,5.4,13.59,0.38,1.91
2022,10,18,5.14,13.59,0.39,2.01
2022,10,19,3.58,9.77,0.28,1.42
2022,10,20,3.69,10.22,0.29,1.45
2022,10,21,5.19,13.54,0.38,1.92
2022,10,22,5.33,14.06,0.39,1.98
2022,10,23,4.68,12.81,0.38,1.89
2022,10,24,5.73,14.95,0.41,2.12
2022,10,25,4.54,12.2,0.34,1.7
2022,10,26,4.69,12.65,0.35,1.78
2022,10,27,3.79,10.89,0.31,1.58
2022,10,28,4.86,12.75,0.35,1.79
2022,10,29,4.94,13.05,0.37,1.88
2022,10,30,5.63,14.37,0.39,2.01
2022,10,31,5.8,14.34,0.4,2.02
2022,11,1,5.28,13.16,0.37,1.88
2022,11,2,5.18,12.59,0.34,1.77
2022,11,3,2.54,7.09,0.2,0.98
2022,11,4,3.66,10.07,0.29,1.48
2022,11,5,5.19,13.47,0.38,1.91
2022,11,6,4.97,13.12,0.37,1.88
2022,11,7,5.06,13.28,0.38,1.92
2022,11,8,5.49,14.08,0.39,2.01
2022,11,9,5.47,13.93,0.38,1.98
2022,11,10,5.49,14.16,0.4,2.02
2022,11,11,5.41,13.8,0.38,1.92
2022,11,12,4.43,11.95,0.34,1.71
2022,11,13,4.71,12.66,0.36,1.83
2022,11,14,5.53,14.14,0.39,1.98
2022,11,15,5.24,13.69,0.39,2.02
2022,11,16,5.4,13.98,0.4,2.08
2022,11,17,5.48,14.07,0.4,2.1
2022,11,18,5.36,13.88,0.4,2.08
2022,11,19,2.41,7.28,0.22,1.15
2022,11,20,1.74,5.54,0.17,0.9
2022,11,21,3.02,8.91,0.27,1.46
2022,11,22,2.64,8.06,0.26,1.36
2022,11,23,3.89,10.68,0.31,1.63
2022,11,24,3.95,10.81,0.31,1.66
2022,11,25,4.65,12.09,0.34,1.8
2022,11,26,4.32,11.66,0.34,1.83
2022,11,27,5.37,13.83,0.38,2.02
2022,11,28,5.36,13.75,0.38,2.0
2022,11,29,4.96,12.88,0.37,1.91
2022,11,30,5.19,13.26,0.37,1.9
2022,12,1,5.29,13.58,0.38,1.98
2022,12,2,4.47,11.78,0.33,1.73
2022,12,3,3.81,10.45,0.3,1.62
2022,12,4,4.82,12.42,0.36,1.95
2022,12,5,4.94,12.76,0.37,1.94
2022,12,6,4.93,12.59,0.37,1.93
2022,12,7,4.09,11.05,0.33,1.8
2022,12,8,5.33,13.58,0.4,2.12
2022,12,9,5.32,13.38,0.4,2.16
2022,12,10,5.76,14.22,0.42,2.27
2022,12,11,5.61,13.84,0.41,2.15
2022,12,12,5.65,13.88,0.39,2.04
2022,12,13,5.8,13.8,0.38,2.01
2022,12,14,4.63,11.48,0.32,1.73
2022,12,15,5.58,13.95,0.39,2.03
2022,12,16,4.96,12.72,0.38,2.02
2022,12,17,4.15,11.09,0.34,1.95
2022,12,18,4.24,10.92,0.34,1.9
2022,12,19,5.5,13.6,0.41,2.27
2022,12,20,5.46,13.65,0.41,2.2
2022,12,21,5.44,13.52,0.41,2.22
2022,12,22,5.42,13.52,0.39,2.12
2022,12,23,5.66,13.55,0.39,2.1
2022,12,24,4.86,11.83,0.34,1.88
2022,12,25,5.16,12.3,0.35,1.92
2022,12,26,5.4,12.97,0.38,2.02
2022,12,27,5.21,12.72,0.38,2.04
2022,12,28,5.66,13.73,0.41,2.18
2022,12,29,5.7,14.02,0.41,2.18
2022,12,30,4.84,12.03,0.36,2.01
2022,12,31,4.7,11.83,0.35,1.9
