-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.7543   Longitude 106.9462 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 187.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.7,26.13,24.26,25.19,26.15,19.29,90.06,2.27,98.71,0.12,193.31,0.92,190.94,0.95
2022,275,1.75,26.23,24.01,25.12,26.2,19.04,88.44,7.95,98.66,0.09,256.88,0.73,267.0,0.95
2022,276,1.84,26.33,24.19,25.26,26.16,19.29,89.06,11.42,98.66,0.16,154.56,0.82,154.94,0.95
2022,277,2.19,25.9,23.67,24.79,25.87,18.62,88.5,6.92,98.83,0.09,114.88,0.76,58.06,0.95
2022,278,2.19,26.24,23.4,24.82,26.22,18.37,85.94,7.31,98.81,0.12,125.81,0.69,125.94,0.95
2022,279,1.89,25.43,23.3,24.36,24.91,18.19,88.62,5.0,98.92,0.13,120.56,0.59,122.12,0.95
2022,280,2.27,26.53,22.85,24.69,26.28,17.76,81.81,4.28,98.84,0.13,143.62,0.81,76.0,0.94
2022,281,1.52,26.54,23.71,25.12,26.45,18.68,85.81,5.89,98.85,0.12,186.94,0.81,100.94,0.94
2022,282,1.98,25.72,23.28,24.5,25.51,18.19,87.56,1.4,98.95,0.16,152.19,0.7,124.5,0.93
2022,283,1.83,25.48,23.2,24.34,25.37,18.07,88.31,19.0,99.0,0.12,88.5,0.95,44.12,0.95
2022,284,1.61,24.63,23.72,24.17,24.59,18.68,94.75,8.46,98.91,0.09,263.94,0.9,60.81,0.95
2022,285,2.07,25.96,23.58,24.77,25.97,18.55,87.81,2.89,98.82,0.12,232.38,1.36,88.5,0.93
