-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.119   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,2.07,26.59,24.4,25.5,26.8,19.47,88.19,6.92,98.8,1.62,272.88,2.28,274.44,0.69
2020,276,2.2,26.23,24.76,25.5,26.57,19.9,91.75,28.03,98.9,1.43,229.81,2.0,227.75,0.77
2020,277,2.12,26.42,24.56,25.49,26.75,19.59,89.69,4.81,99.05,2.08,236.88,2.92,236.06,0.73
2020,278,1.91,26.03,24.48,25.26,26.46,19.53,91.31,5.38,99.08,2.25,249.25,3.11,250.5,0.7
2020,279,1.51,25.73,23.98,24.85,26.33,18.92,90.25,5.68,98.97,2.27,255.0,3.08,255.38,0.7
2020,280,1.09,25.9,24.34,25.12,26.37,19.41,91.25,14.68,98.84,3.27,258.94,4.49,260.5,0.73
2020,281,1.93,26.14,24.44,25.3,26.6,19.53,90.56,5.92,98.66,3.17,246.5,4.35,247.19,0.72
2020,282,1.75,26.21,24.52,25.37,26.5,19.59,90.56,13.46,98.84,2.02,190.88,2.82,188.5,0.73
2020,283,1.43,25.73,24.6,25.16,26.12,19.71,93.5,32.77,98.9,1.84,193.62,2.55,192.69,0.8
2020,284,1.74,25.56,23.96,24.76,26.12,18.92,90.94,21.06,98.86,1.5,239.81,2.05,241.06,0.79
2020,285,2.04,25.64,24.07,24.86,26.1,19.1,91.19,6.48,98.72,3.13,244.88,4.36,245.44,0.76
2020,286,2.05,25.77,24.15,24.97,26.23,19.23,90.94,19.2,98.64,2.77,247.0,3.82,247.31,0.77
2020,287,1.83,25.96,24.58,25.26,26.42,19.71,92.19,16.78,98.67,3.39,238.31,4.67,238.81,0.79
2020,288,1.41,25.71,24.44,25.08,26.09,19.53,92.75,21.24,98.84,3.05,234.31,4.23,234.06,0.8
2020,289,1.95,25.87,24.38,25.12,26.26,19.47,91.56,17.11,98.82,3.05,224.62,4.22,224.25,0.79
2020,290,1.27,25.43,24.23,24.83,25.78,19.29,93.06,11.95,98.76,3.59,246.75,5.05,246.88,0.79
2020,291,1.22,25.65,24.25,24.94,25.92,19.29,92.0,7.45,98.83,3.28,234.0,4.63,234.31,0.77
2020,292,1.1,25.64,23.91,24.77,26.06,18.86,90.38,8.4,99.06,2.4,227.88,3.38,228.19,0.77
2020,293,1.91,25.9,23.48,24.69,26.15,18.37,86.88,1.43,99.03,1.77,253.19,2.45,255.19,0.73
2020,294,2.09,26.02,24.19,25.11,26.45,19.17,89.81,1.62,98.97,1.39,219.88,1.92,221.69,0.73
2020,295,1.06,26.19,24.29,25.24,26.36,19.29,89.38,5.77,98.95,1.14,97.0,1.63,99.0,0.74
2020,296,2.27,26.39,22.98,24.68,26.75,17.82,82.12,0.41,98.97,1.45,96.75,2.05,102.12,0.71
2020,297,1.86,25.63,23.29,24.46,26.16,18.13,87.0,1.01,99.09,1.43,115.75,1.95,122.31,0.71
2020,298,1.45,25.7,23.19,24.44,26.27,18.01,86.19,0.8,99.14,1.45,108.19,2.02,112.38,0.7
2020,299,1.82,25.74,23.8,24.76,26.19,18.68,89.12,6.63,99.12,2.0,188.62,2.82,191.0,0.73
2020,300,1.89,26.1,23.49,24.8,26.47,18.37,86.19,16.43,99.05,1.2,253.38,1.67,257.88,0.77
2020,301,1.4,25.3,23.66,24.48,25.62,18.62,90.75,4.81,98.82,2.71,276.44,3.8,278.62,0.75
2020,302,1.32,25.44,23.69,24.56,25.77,18.68,90.19,3.11,98.74,4.2,253.5,5.97,254.62,0.73
2020,303,1.52,25.3,23.85,24.58,25.61,18.8,91.69,78.4,99.14,2.89,212.62,4.03,212.44,0.84
2020,304,1.93,26.33,23.54,24.94,26.63,18.43,85.19,5.17,99.22,1.45,206.62,2.0,209.69,0.79
2020,305,1.69,26.24,23.86,25.05,26.56,18.8,87.12,2.19,99.17,2.44,55.25,3.41,56.38,0.76
2020,306,1.92,26.3,23.55,24.93,26.65,18.43,85.38,1.4,99.12,2.55,56.0,3.52,56.75,0.74
2020,307,2.2,24.98,22.04,23.51,25.36,16.78,84.31,0.07,99.21,2.38,58.88,3.3,59.62,0.73
2020,308,2.03,25.62,22.26,23.94,26.02,17.03,82.69,0.02,99.29,1.67,67.88,2.32,68.88,0.72
2020,309,1.72,25.93,22.98,24.46,26.38,17.82,84.38,0.14,99.24,1.24,173.5,1.75,175.06,0.71
2020,310,1.95,26.21,23.59,24.9,26.6,18.49,86.06,0.34,99.19,1.48,219.25,2.02,222.88,0.71
2020,311,1.54,25.95,24.16,25.06,26.32,19.1,90.12,5.99,99.21,2.04,209.81,2.83,211.31,0.72
2020,312,2.0,25.91,23.73,24.83,26.26,18.62,88.12,10.24,99.31,2.63,78.06,3.66,79.88,0.76
2020,313,1.81,25.88,22.41,24.15,26.1,17.21,81.81,0.14,99.21,2.34,45.12,3.24,60.19,0.72
2020,314,1.14,25.27,22.65,23.97,25.69,17.52,85.81,12.92,99.01,1.34,232.38,1.84,262.5,0.74
2020,315,0.46,24.47,22.81,23.64,24.94,17.7,90.56,8.25,98.76,3.13,251.88,4.35,253.0,0.77
2020,316,1.3,25.04,23.05,24.05,25.54,17.88,88.81,7.63,99.18,2.07,125.69,2.91,124.81,0.76
2020,317,1.73,25.55,23.21,24.38,25.78,18.07,87.19,0.42,99.21,3.06,58.75,4.34,59.94,0.73
2020,318,2.15,25.94,22.44,24.19,26.09,17.27,81.56,0.02,99.09,1.3,84.19,1.66,100.69,0.72
2020,319,1.95,25.72,23.36,24.54,26.12,18.25,87.38,0.03,99.07,1.49,226.75,2.12,225.81,0.71
2020,320,1.84,25.8,23.08,24.44,26.05,17.88,85.5,0.1,99.23,1.7,94.06,2.42,96.56,0.7
2020,321,2.09,25.57,22.73,24.15,25.64,17.58,84.81,0.06,99.19,3.02,49.25,4.35,50.81,0.7
2020,322,2.17,25.7,22.99,24.34,25.87,17.88,85.62,0.11,99.09,2.77,56.12,3.94,57.12,0.7
2020,323,2.26,25.91,23.29,24.6,26.13,18.19,86.12,0.03,99.06,2.36,60.88,3.3,62.06,0.7
2020,324,2.25,25.91,23.15,24.54,26.13,18.01,85.5,0.02,99.06,2.39,61.5,3.34,62.81,0.69
2020,325,1.88,25.98,23.06,24.52,26.12,17.94,84.44,0.33,99.08,2.55,59.19,3.6,60.69,0.69
2020,326,2.25,25.83,23.02,24.43,26.05,17.88,84.94,0.48,99.13,2.91,60.44,4.11,61.62,0.68
2020,327,2.13,25.65,22.7,24.18,25.78,17.52,84.38,0.22,99.21,2.91,51.19,4.13,52.25,0.68
2020,328,2.07,25.87,22.66,24.26,25.98,17.46,83.12,0.29,99.26,2.89,53.44,4.08,54.31,0.67
2020,329,1.49,25.23,22.08,23.65,25.33,16.85,83.44,0.1,99.23,3.27,50.06,4.68,51.12,0.67
2020,330,2.02,25.24,21.88,23.56,25.26,16.66,82.25,0.07,99.2,3.3,50.44,4.74,51.44,0.66
2020,331,2.02,25.01,21.71,23.36,24.99,16.48,82.94,0.67,99.26,2.98,48.56,4.31,49.44,0.66
2020,332,1.65,25.3,21.98,23.64,25.23,16.78,82.5,0.42,99.27,3.01,45.38,4.38,46.06,0.66
2020,333,1.55,24.9,22.51,23.71,24.94,17.4,86.81,8.62,99.18,2.91,40.38,4.17,40.44,0.7
2020,334,0.47,24.76,22.91,23.83,24.74,17.76,89.5,32.72,99.15,3.46,47.75,4.92,48.5,0.8
2020,335,0.55,24.83,22.96,23.9,24.76,17.76,89.44,32.3,99.18,4.2,56.44,6.0,57.38,0.81
2020,336,1.47,24.96,22.84,23.9,24.87,17.64,88.12,3.79,99.28,3.75,56.69,5.38,58.0,0.76
2020,337,1.65,24.65,21.47,23.05,24.67,16.24,82.88,0.55,99.28,3.73,52.94,5.36,54.0,0.73
2020,338,2.03,23.63,19.7,21.66,23.7,14.59,79.38,0.01,99.24,3.37,44.25,4.86,45.19,0.71
2020,339,1.95,23.35,19.4,21.37,23.6,14.4,79.19,0.02,99.25,2.95,40.94,4.2,41.5,0.7
2020,340,1.91,24.4,20.48,22.44,24.48,15.32,79.38,0.05,99.27,2.65,35.38,3.74,35.56,0.69
2020,341,1.68,24.81,21.25,23.03,24.91,16.05,81.06,1.05,99.25,2.28,33.44,3.23,33.19,0.69
2020,342,0.48,24.83,21.91,23.37,24.74,16.66,83.94,0.37,99.25,2.58,33.75,3.71,33.38,0.69
2020,343,0.66,24.81,21.79,23.3,24.7,16.54,83.44,0.71,99.24,1.56,38.56,2.15,66.12,0.69
2020,344,1.56,25.12,21.53,23.32,25.38,16.36,81.06,0.15,99.12,1.47,39.12,1.97,68.62,0.68
2020,345,1.41,25.41,22.7,24.06,25.41,17.52,85.25,0.21,99.11,1.66,43.25,2.3,73.12,0.68
2020,346,1.44,25.31,23.19,24.25,25.27,18.01,88.25,0.24,99.16,1.81,43.31,2.56,58.25,0.68
