-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.119   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.18,26.49,24.33,25.41,26.9,19.35,88.12,2.55,99.1,1.68,236.19,2.36,237.0,0.71
2021,275,2.12,25.79,24.01,24.9,26.28,18.92,90.0,14.43,99.18,2.47,263.81,3.41,264.31,0.76
2021,276,1.08,26.13,23.44,24.79,26.58,18.31,85.56,5.13,99.05,1.66,200.0,2.31,202.62,0.73
2021,277,1.92,26.84,23.47,25.15,27.1,18.43,82.44,24.19,98.88,0.98,160.44,1.38,158.31,0.77
2021,278,2.09,26.28,23.57,24.92,26.78,18.49,85.62,23.07,98.8,1.0,199.56,1.44,201.06,0.8
2021,279,1.3,25.26,23.91,24.59,25.87,18.92,92.19,16.91,98.62,2.41,256.44,3.36,256.62,0.8
2021,280,2.16,26.13,24.22,25.17,26.62,19.29,89.5,6.23,98.6,3.41,255.94,4.77,257.12,0.75
2021,281,1.9,26.53,24.92,25.73,26.82,20.14,91.0,5.15,98.63,4.37,247.19,6.16,247.75,0.74
2021,282,2.09,26.6,24.59,25.59,26.88,19.71,89.0,1.92,98.82,3.89,258.75,5.5,259.44,0.72
2021,283,1.8,26.9,24.65,25.78,27.14,19.78,88.0,3.85,98.77,3.43,256.69,4.82,257.56,0.72
2021,284,1.51,26.12,24.89,25.51,26.4,20.08,92.88,17.28,98.71,3.73,254.62,5.23,255.12,0.77
2021,285,1.82,25.3,23.76,24.53,25.78,18.74,91.25,7.34,98.73,3.98,259.69,5.57,260.12,0.75
2021,286,1.8,25.49,24.1,24.8,25.87,19.17,92.06,14.05,98.58,3.99,250.31,5.62,250.81,0.76
2021,287,1.9,26.6,24.9,25.76,26.81,20.08,90.69,27.64,98.76,3.2,246.31,4.52,247.25,0.81
2021,288,2.04,26.3,24.38,25.33,26.5,19.41,89.44,12.57,98.85,1.94,254.44,2.75,256.06,0.77
2021,289,1.96,25.32,23.45,24.38,25.73,18.37,89.62,11.75,98.97,2.3,273.12,3.25,274.62,0.79
2021,290,1.73,25.9,23.32,24.62,26.24,18.19,86.06,6.22,99.02,1.95,261.38,2.73,262.44,0.77
2021,291,2.29,26.25,23.82,25.03,26.4,18.74,86.75,0.38,99.22,1.52,133.75,2.18,121.12,0.74
2021,292,2.43,26.62,24.45,25.53,26.69,19.41,88.25,1.13,99.41,1.84,63.88,2.58,65.75,0.73
2021,293,1.59,26.13,24.79,25.46,26.34,19.84,92.38,16.37,99.42,2.05,66.81,2.87,66.75,0.78
2021,294,1.89,25.84,24.08,24.96,26.13,18.98,90.12,6.49,99.36,1.74,81.44,2.49,83.06,0.77
2021,295,2.23,26.02,24.19,25.1,26.28,19.1,89.81,5.64,99.37,1.92,82.75,2.73,84.75,0.77
2021,296,2.12,25.84,23.15,24.5,26.08,17.94,85.69,2.68,99.37,2.41,43.94,3.4,44.56,0.75
2021,297,1.99,25.76,21.7,23.73,25.95,16.54,79.0,0.46,99.24,2.14,44.94,3.05,45.56,0.73
2021,298,1.08,25.88,23.37,24.63,26.11,18.25,86.38,8.84,99.15,1.63,56.25,2.2,55.62,0.76
2021,299,0.67,26.05,23.52,24.79,26.4,18.43,86.5,5.4,98.98,1.34,258.44,1.86,258.69,0.75
2021,300,1.31,25.99,24.29,25.14,26.33,19.29,90.56,10.09,99.0,2.05,205.56,2.87,206.56,0.77
2021,301,2.19,26.04,23.96,25.0,26.27,18.86,88.5,0.96,99.27,2.18,88.31,3.12,88.94,0.74
2021,302,2.05,26.45,23.98,25.22,26.63,18.92,86.81,0.47,99.33,2.62,63.56,3.7,65.0,0.73
2021,303,1.87,25.7,23.86,24.78,25.85,18.8,89.81,1.56,99.37,2.62,54.75,3.72,55.81,0.73
2021,304,1.28,26.25,24.62,25.44,26.38,19.65,90.94,1.89,99.35,2.46,67.94,3.48,69.25,0.73
2021,305,1.85,26.19,23.93,25.06,26.33,18.86,87.75,0.69,99.28,2.98,56.75,4.23,58.0,0.73
2021,306,2.27,26.46,23.58,25.02,26.58,18.49,84.81,0.21,99.25,3.01,54.69,4.28,55.88,0.72
2021,307,2.23,25.88,23.4,24.64,26.01,18.31,86.56,1.6,99.21,2.43,45.31,3.45,46.5,0.72
2021,308,2.02,25.91,23.5,24.71,26.01,18.43,87.0,0.46,99.17,2.62,57.81,3.72,59.38,0.72
2021,309,1.86,25.84,23.72,24.78,26.08,18.62,88.44,0.5,99.09,1.92,60.69,2.74,62.25,0.72
2021,310,2.16,26.26,24.06,25.16,26.57,19.1,88.25,1.03,98.93,2.21,72.56,3.13,74.56,0.71
2021,311,1.54,26.23,23.87,25.05,26.37,18.86,87.38,0.99,98.94,2.3,63.88,3.25,65.0,0.71
2021,312,2.16,26.56,24.12,25.33,26.64,19.1,86.88,1.62,99.02,2.97,59.5,4.23,60.75,0.71
2021,313,1.27,25.62,22.94,24.28,25.48,17.82,85.56,7.07,99.16,3.46,46.31,5.01,47.38,0.73
2021,314,1.33,25.23,22.58,23.9,25.32,17.4,85.62,7.83,99.16,3.27,44.12,4.68,45.38,0.74
2021,315,0.71,25.38,23.38,24.38,25.41,18.25,88.88,24.97,99.08,3.72,49.12,5.28,50.06,0.8
2021,316,1.99,25.91,24.01,24.96,26.06,18.92,89.38,10.0,99.17,3.6,60.44,5.09,61.44,0.77
2021,317,1.45,25.8,23.77,24.79,26.05,18.68,88.88,5.37,99.17,2.98,65.12,4.22,66.44,0.75
2021,318,1.4,25.42,23.51,24.47,25.69,18.37,89.38,4.6,99.18,2.5,56.38,3.49,57.5,0.75
2021,319,1.23,25.62,23.52,24.57,25.87,18.43,88.5,3.48,99.05,3.14,58.44,4.44,59.62,0.74
2021,320,0.7,25.55,23.93,24.73,25.58,18.92,90.88,14.67,99.07,3.11,59.75,4.43,60.88,0.78
2021,321,1.65,25.4,23.0,24.2,25.4,17.88,86.88,1.97,99.11,2.76,46.38,3.98,47.75,0.75
2021,322,0.61,25.18,23.3,24.24,25.29,18.19,89.69,2.03,99.01,2.19,51.62,3.16,53.31,0.74
2021,323,1.4,25.62,23.43,24.52,25.87,18.37,88.25,0.68,98.89,1.91,47.38,2.7,48.44,0.73
2021,324,1.41,26.04,23.67,24.86,26.23,18.62,87.25,1.19,98.89,2.39,50.75,3.36,51.56,0.73
2021,325,1.93,25.9,23.74,24.82,26.0,18.68,88.25,0.23,99.02,2.84,61.94,4.09,63.06,0.72
2021,326,1.12,25.72,24.29,25.0,25.72,19.29,91.88,3.2,99.09,2.85,66.94,4.05,68.12,0.73
2021,327,1.2,25.61,22.85,24.23,25.49,17.7,85.12,0.98,99.1,3.55,44.88,5.08,45.62,0.73
2021,328,1.82,25.56,23.51,24.54,25.29,18.43,88.5,2.99,99.16,3.03,51.06,4.38,52.25,0.73
2021,329,1.3,25.38,22.68,24.03,25.29,17.52,85.25,0.55,99.14,2.84,44.19,4.05,45.12,0.73
