-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.119   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.68,10.83,0.32,1.62
2022,10,2,5.22,14.35,0.41,2.12
2022,10,3,5.49,15.18,0.45,2.27
2022,10,4,2.09,6.78,0.2,1.05
2022,10,5,4.86,13.65,0.4,2.02
2022,10,6,4.85,13.74,0.41,2.06
2022,10,7,5.58,15.14,0.43,2.18
2022,10,8,2.08,6.88,0.2,1.04
2022,10,9,5.42,14.92,0.43,2.2
2022,10,10,3.25,10.02,0.3,1.52
2022,10,11,2.68,8.37,0.23,1.19
2022,10,12,4.03,11.38,0.31,1.59
2022,10,13,2.82,8.42,0.23,1.15
2022,10,14,3.0,9.16,0.27,1.34
2022,10,15,5.99,15.66,0.43,2.2
2022,10,16,5.22,13.79,0.38,1.91
2022,10,17,3.66,10.47,0.3,1.55
2022,10,18,5.03,13.28,0.38,1.96
2022,10,19,3.3,9.29,0.27,1.37
2022,10,20,3.28,9.51,0.27,1.39
2022,10,21,5.91,15.23,0.42,2.18
2022,10,22,4.58,12.8,0.36,1.84
2022,10,23,5.08,13.88,0.4,2.02
2022,10,24,5.69,14.73,0.41,2.05
2022,10,25,4.6,12.62,0.35,1.77
2022,10,26,4.83,13.12,0.36,1.82
2022,10,27,3.08,9.34,0.28,1.41
2022,10,28,5.07,13.4,0.37,1.88
2022,10,29,2.73,8.27,0.23,1.17
2022,10,30,4.79,12.67,0.35,1.79
2022,10,31,5.54,14.04,0.39,2.0
2022,11,1,4.87,12.38,0.35,1.8
2022,11,2,4.72,12.29,0.35,1.79
2022,11,3,2.99,8.45,0.24,1.23
2022,11,4,4.08,10.98,0.3,1.57
2022,11,5,5.65,14.7,0.41,2.09
2022,11,6,5.56,14.52,0.4,2.06
2022,11,7,5.27,13.97,0.39,2.02
2022,11,8,5.53,14.29,0.4,2.05
2022,11,9,5.69,14.71,0.41,2.09
2022,11,10,5.07,13.48,0.38,1.92
2022,11,11,5.0,13.33,0.37,1.88
2022,11,12,1.45,4.89,0.13,0.68
2022,11,13,3.75,10.82,0.31,1.59
2022,11,14,5.7,14.86,0.41,2.12
2022,11,15,4.52,12.39,0.36,1.87
2022,11,16,5.43,14.34,0.41,2.18
2022,11,17,5.16,13.73,0.4,2.07
2022,11,18,4.19,11.79,0.34,1.8
2022,11,19,1.9,6.14,0.2,1.05
2022,11,20,1.54,4.98,0.15,0.8
2022,11,21,0.6,2.13,0.06,0.34
2022,11,22,1.2,4.11,0.12,0.66
2022,11,23,3.61,10.38,0.3,1.61
2022,11,24,3.87,10.93,0.32,1.7
2022,11,25,4.86,12.94,0.38,1.98
2022,11,26,3.96,11.3,0.34,1.81
2022,11,27,5.01,13.42,0.38,2.02
2022,11,28,5.62,14.6,0.41,2.13
2022,11,29,5.89,14.82,0.41,2.14
2022,11,30,5.12,13.27,0.37,1.95
2022,12,1,5.26,13.65,0.38,2.0
2022,12,2,2.62,7.99,0.23,1.25
2022,12,3,3.67,10.41,0.3,1.57
2022,12,4,3.7,10.62,0.32,1.73
2022,12,5,4.59,12.08,0.35,1.89
2022,12,6,4.35,11.53,0.34,1.8
2022,12,7,2.98,8.84,0.27,1.46
2022,12,8,5.66,14.13,0.41,2.17
2022,12,9,4.05,11.02,0.34,1.88
2022,12,10,5.32,13.53,0.41,2.28
2022,12,11,5.09,12.75,0.38,2.05
2022,12,12,5.0,12.45,0.35,1.88
2022,12,13,5.53,13.04,0.36,1.9
2022,12,14,4.62,11.59,0.33,1.73
2022,12,15,5.4,13.53,0.38,1.95
2022,12,16,3.75,10.45,0.31,1.71
2022,12,17,3.41,9.89,0.31,1.76
2022,12,18,4.33,11.27,0.35,1.97
2022,12,19,5.21,13.04,0.41,2.24
2022,12,20,5.29,13.37,0.4,2.16
2022,12,21,5.2,13.16,0.4,2.19
2022,12,22,5.35,13.21,0.38,2.08
2022,12,23,5.64,13.58,0.4,2.12
2022,12,24,5.13,12.34,0.36,1.95
2022,12,25,4.8,12.16,0.36,1.98
2022,12,26,4.95,12.54,0.38,2.09
2022,12,27,5.15,13.03,0.39,2.14
2022,12,28,5.35,13.43,0.41,2.21
2022,12,29,5.41,13.73,0.41,2.17
2022,12,30,3.94,10.76,0.34,1.87
2022,12,31,3.58,10.0,0.3,1.67
