-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.119   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 160.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.62,26.26,24.06,25.16,26.42,19.04,88.0,2.59,99.09,1.7,224.75,2.42,224.0,0.68
2022,275,2.12,26.25,24.04,25.15,26.51,18.98,87.88,4.14,99.0,1.31,154.62,1.88,155.81,0.69
2022,276,2.27,26.44,24.21,25.33,26.52,19.23,87.88,8.97,98.98,2.24,69.5,3.23,71.0,0.71
2022,277,1.05,25.69,23.12,24.4,25.91,18.01,86.12,6.62,99.17,2.84,57.06,3.99,58.31,0.7
2022,278,2.02,25.81,23.31,24.56,26.2,18.19,86.5,3.3,99.18,3.01,66.06,4.24,67.44,0.68
2022,279,2.06,25.48,22.83,24.15,25.87,17.64,85.62,4.07,99.23,1.9,54.5,2.66,55.88,0.69
2022,280,2.18,26.08,22.62,24.36,26.3,17.46,81.81,2.22,99.15,2.24,49.0,3.2,49.31,0.66
2022,281,1.04,25.98,23.61,24.8,26.27,18.49,87.12,10.32,99.18,2.68,52.38,3.77,52.88,0.71
2022,282,2.2,25.71,23.17,24.44,26.36,18.01,86.25,4.51,99.29,1.63,78.12,2.3,78.94,0.68
2022,283,1.52,25.85,22.73,24.3,26.08,17.52,83.38,17.3,99.3,1.8,54.94,2.49,56.44,0.74
2022,284,1.19,25.58,23.37,24.48,25.93,18.19,87.75,8.04,99.23,1.12,143.94,1.58,145.94,0.71
2022,285,1.59,26.94,23.74,25.34,26.9,18.68,83.38,17.89,99.07,2.15,47.44,2.96,47.06,0.73
2022,286,1.15,26.11,22.41,24.26,26.42,17.27,81.0,0.94,98.93,1.02,228.56,1.45,246.94,0.69
2022,287,1.34,25.8,22.83,24.31,26.05,17.7,84.25,6.58,98.68,2.37,283.19,3.42,287.06,0.7
2022,288,2.2,25.33,21.88,23.61,25.99,16.72,81.81,0.04,98.79,2.07,252.19,2.89,253.69,0.66
2022,289,1.91,26.17,23.1,24.63,26.62,17.94,83.69,2.43,99.04,1.38,230.5,1.95,232.25,0.66
2022,290,1.55,25.9,23.27,24.59,26.27,18.13,85.69,9.69,99.11,1.4,143.88,1.95,146.5,0.7
2022,291,1.96,26.03,23.25,24.64,26.41,18.13,84.94,10.9,99.05,1.5,208.69,2.09,208.69,0.7
2022,292,1.37,25.95,23.14,24.55,26.33,18.01,84.81,4.09,99.09,2.02,121.75,2.85,125.75,0.7
2022,293,1.39,26.02,23.58,24.8,26.46,18.43,86.75,1.61,99.24,2.8,73.44,3.93,75.12,0.67
2022,294,2.18,26.33,23.58,24.95,26.6,18.43,85.38,1.27,99.29,2.51,61.19,3.48,62.56,0.66
2022,295,1.84,26.12,23.36,24.74,26.35,18.19,85.44,0.42,99.3,1.95,59.81,2.75,60.94,0.66
2022,296,2.02,26.38,23.44,24.9,26.58,18.31,84.62,1.18,99.26,1.54,57.5,2.09,59.0,0.66
2022,297,2.05,26.4,23.76,25.08,26.55,18.68,85.88,4.68,99.11,1.13,169.19,1.59,185.81,0.66
