-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  9.0369   Longitude 105.0566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,4.47,12.23,0.37,1.88
2020,10,2,2.02,6.19,0.18,0.91
2020,10,3,5.3,14.11,0.41,2.16
2020,10,4,3.93,11.07,0.32,1.62
2020,10,5,3.23,9.02,0.27,1.36
2020,10,6,4.19,11.82,0.36,1.82
2020,10,7,3.64,10.59,0.32,1.63
2020,10,8,4.09,11.68,0.36,1.84
2020,10,9,2.07,6.56,0.2,1.04
2020,10,10,2.55,7.8,0.22,1.12
2020,10,11,2.94,8.66,0.25,1.3
2020,10,12,2.12,6.63,0.2,1.03
2020,10,13,1.87,5.88,0.17,0.87
2020,10,14,2.6,7.88,0.24,1.23
2020,10,15,2.69,8.05,0.24,1.23
2020,10,16,2.58,7.88,0.24,1.22
2020,10,17,3.0,8.93,0.27,1.37
2020,10,18,2.15,6.61,0.2,1.0
2020,10,19,4.84,12.95,0.38,1.89
2020,10,20,4.76,12.95,0.38,1.91
2020,10,21,4.79,12.85,0.38,1.91
2020,10,22,4.41,12.2,0.37,1.85
2020,10,23,3.51,10.06,0.31,1.58
2020,10,24,4.71,12.68,0.38,1.9
2020,10,25,4.15,11.35,0.33,1.66
2020,10,26,4.97,13.2,0.38,1.97
2020,10,27,5.35,13.88,0.4,2.05
2020,10,28,4.04,11.15,0.33,1.67
2020,10,29,3.64,10.48,0.31,1.58
2020,10,30,5.33,14.02,0.41,2.09
2020,10,31,4.92,13.18,0.38,1.91
2020,11,1,4.14,11.43,0.33,1.7
2020,11,2,4.29,11.66,0.34,1.72
2020,11,3,5.04,13.1,0.38,1.93
2020,11,4,3.77,10.05,0.29,1.47
2020,11,5,5.13,13.16,0.38,1.9
2020,11,6,5.07,13.12,0.37,1.91
2020,11,7,4.41,12.09,0.35,1.78
2020,11,8,4.1,11.18,0.32,1.65
2020,11,9,4.81,12.16,0.34,1.77
2020,11,10,5.13,13.15,0.38,1.96
2020,11,11,2.77,8.32,0.25,1.29
2020,11,12,4.72,12.57,0.36,1.87
2020,11,13,4.44,11.77,0.33,1.68
2020,11,14,5.75,14.52,0.4,2.04
2020,11,15,5.63,13.91,0.38,1.94
2020,11,16,4.92,12.81,0.36,1.84
2020,11,17,5.14,13.38,0.38,1.94
2020,11,18,5.02,13.18,0.37,1.93
2020,11,19,4.5,12.06,0.34,1.79
2020,11,20,4.9,12.66,0.34,1.75
2020,11,21,4.76,12.71,0.35,1.83
2020,11,22,4.93,12.88,0.36,1.86
2020,11,23,4.21,11.32,0.32,1.66
2020,11,24,4.96,12.77,0.36,1.84
2020,11,25,4.09,11.12,0.32,1.7
2020,11,26,3.85,10.81,0.31,1.62
2020,11,27,5.06,12.98,0.36,1.88
2020,11,28,5.01,12.91,0.36,1.87
2020,11,29,3.3,9.45,0.28,1.45
2020,11,30,3.27,9.44,0.27,1.41
2020,12,1,3.22,9.25,0.26,1.36
2020,12,2,3.76,10.57,0.32,1.7
2020,12,3,5.67,13.95,0.38,1.98
2020,12,4,5.78,13.99,0.38,1.96
2020,12,5,5.6,13.72,0.38,2.02
2020,12,6,5.73,14.0,0.39,2.04
2020,12,7,3.93,10.68,0.31,1.66
2020,12,8,4.69,12.09,0.36,1.93
2020,12,9,5.03,12.93,0.38,1.98
2020,12,10,4.11,10.84,0.32,1.71
2020,12,11,2.77,8.15,0.24,1.27
2020,12,12,4.23,11.44,0.33,1.75
2020,12,13,4.16,11.23,0.34,1.83
2020,12,14,4.83,12.78,0.38,2.07
2020,12,15,4.76,12.37,0.37,1.96
2020,12,16,5.16,13.32,0.38,2.02
2020,12,17,4.7,12.24,0.36,1.9
2020,12,18,4.49,11.91,0.34,1.83
2020,12,19,4.12,11.21,0.32,1.7
2020,12,20,4.84,12.08,0.34,1.86
2020,12,21,5.57,13.56,0.38,1.98
2020,12,22,3.02,8.56,0.26,1.37
2020,12,23,1.42,4.48,0.13,0.7
2020,12,24,3.65,10.02,0.3,1.62
2020,12,25,5.17,13.3,0.38,2.05
2020,12,26,4.38,11.55,0.35,1.91
2020,12,27,4.99,12.46,0.37,1.96
2020,12,28,4.9,12.25,0.37,1.98
2020,12,29,4.33,11.05,0.33,1.8
2020,12,30,3.92,10.38,0.33,1.79
2020,12,31,4.16,10.33,0.3,1.65
