-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  9.0369   Longitude 105.0566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.01,13.16,0.4,2.07
2021,10,2,2.66,8.0,0.26,1.32
2021,10,3,4.39,12.23,0.38,1.97
2021,10,4,4.54,12.4,0.38,1.99
2021,10,5,4.3,12.16,0.38,1.92
2021,10,6,3.67,10.65,0.33,1.67
2021,10,7,4.29,12.1,0.37,1.88
2021,10,8,2.95,8.93,0.28,1.42
2021,10,9,5.39,14.34,0.42,2.16
2021,10,10,5.36,14.37,0.42,2.16
2021,10,11,1.85,5.84,0.16,0.84
2021,10,12,4.64,12.7,0.38,1.91
2021,10,13,3.86,10.93,0.32,1.62
2021,10,14,5.66,15.08,0.45,2.31
2021,10,15,2.39,6.91,0.2,1.05
2021,10,16,3.49,9.9,0.3,1.53
2021,10,17,4.16,11.53,0.35,1.78
2021,10,18,5.26,14.09,0.42,2.16
2021,10,19,5.57,14.72,0.45,2.33
2021,10,20,2.84,8.41,0.26,1.31
2021,10,21,5.3,13.91,0.41,2.11
2021,10,22,4.92,12.98,0.38,1.95
2021,10,23,5.27,14.25,0.43,2.23
2021,10,24,5.31,13.95,0.41,2.09
2021,10,25,5.43,14.51,0.42,2.17
2021,10,26,4.75,12.98,0.38,1.96
2021,10,27,3.94,10.96,0.33,1.7
2021,10,28,5.29,13.84,0.4,2.1
2021,10,29,5.12,13.34,0.39,1.98
2021,10,30,5.33,14.16,0.4,2.08
2021,10,31,4.55,12.53,0.36,1.84
2021,11,1,5.61,14.65,0.41,2.11
2021,11,2,5.54,14.45,0.41,2.08
2021,11,3,4.34,11.8,0.35,1.78
2021,11,4,4.53,12.36,0.36,1.85
2021,11,5,4.88,13.06,0.38,1.96
2021,11,6,5.15,13.71,0.41,2.09
2021,11,7,5.05,13.36,0.4,2.06
2021,11,8,4.93,13.3,0.39,2.01
2021,11,9,4.19,11.52,0.34,1.79
2021,11,10,3.77,10.73,0.33,1.66
2021,11,11,0.99,3.27,0.09,0.48
2021,11,12,4.01,11.12,0.34,1.72
2021,11,13,4.55,12.31,0.36,1.86
2021,11,14,3.75,10.52,0.31,1.59
2021,11,15,2.85,8.57,0.25,1.3
2021,11,16,2.14,6.47,0.19,0.95
2021,11,17,4.18,11.6,0.34,1.73
2021,11,18,4.25,11.78,0.34,1.77
2021,11,19,4.75,12.72,0.36,1.84
2021,11,20,3.95,11.1,0.33,1.7
2021,11,21,4.51,12.11,0.34,1.77
2021,11,22,4.84,12.98,0.37,1.93
2021,11,23,5.4,13.95,0.39,2.02
2021,11,24,4.62,12.26,0.36,1.86
2021,11,25,3.78,10.62,0.3,1.6
2021,11,26,4.97,13.06,0.38,1.95
2021,11,27,3.06,8.92,0.27,1.37
2021,11,28,2.95,8.66,0.24,1.26
2021,11,29,2.43,7.37,0.22,1.13
2021,11,30,1.92,6.09,0.19,0.98
2021,12,1,3.47,9.94,0.3,1.55
2021,12,2,4.77,12.04,0.34,1.76
2021,12,3,4.62,11.93,0.33,1.72
2021,12,4,4.6,11.84,0.34,1.75
2021,12,5,5.88,14.18,0.39,2.04
2021,12,6,5.58,13.78,0.38,1.95
2021,12,7,4.9,12.51,0.34,1.73
2021,12,8,5.68,13.97,0.37,1.9
2021,12,9,3.13,8.91,0.26,1.34
2021,12,10,5.2,13.38,0.38,2.03
2021,12,11,3.82,10.15,0.29,1.5
2021,12,12,4.91,12.59,0.35,1.88
2021,12,13,4.42,11.61,0.33,1.76
2021,12,14,4.98,12.79,0.36,1.91
2021,12,15,4.23,11.38,0.33,1.73
2021,12,16,3.78,10.33,0.3,1.61
2021,12,17,4.44,11.68,0.34,1.84
2021,12,18,4.76,12.12,0.34,1.77
2021,12,19,4.03,10.27,0.29,1.55
2021,12,20,4.63,11.77,0.34,1.8
2021,12,21,4.98,12.57,0.35,1.86
2021,12,22,3.72,10.41,0.31,1.66
2021,12,23,3.12,8.86,0.27,1.42
2021,12,24,4.3,11.41,0.33,1.75
2021,12,25,4.99,12.48,0.34,1.81
2021,12,26,5.04,12.63,0.34,1.8
2021,12,27,4.08,10.58,0.3,1.56
2021,12,28,4.26,11.09,0.3,1.61
2021,12,29,3.37,9.34,0.27,1.38
2021,12,30,4.99,12.73,0.36,1.9
2021,12,31,5.45,13.63,0.38,2.05
