-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  9.0369   Longitude 105.0566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.07,27.58,24.99,26.29,27.89,19.71,85.94,7.94,100.93,2.66,200.75,3.38,200.75,0.95
2021,275,1.32,26.94,24.63,25.79,27.27,19.29,87.19,12.44,101.0,3.64,231.25,4.63,231.19,0.96
2021,276,1.97,27.58,24.3,25.94,27.92,18.92,82.62,2.12,100.85,2.2,271.0,2.88,270.94,0.95
2021,277,1.99,27.02,24.95,25.98,27.34,19.71,88.44,22.44,100.73,2.97,287.38,3.79,287.56,0.96
2021,278,1.92,26.28,24.44,25.36,26.83,19.1,89.56,19.96,100.66,3.12,274.5,3.94,274.5,0.98
2021,279,1.67,26.37,24.58,25.48,26.69,19.35,89.88,18.18,100.52,4.19,278.94,5.31,278.81,0.98
2021,280,1.88,27.36,24.94,26.15,27.2,19.78,86.75,6.43,100.5,4.8,254.81,6.13,254.75,0.97
2021,281,1.42,27.9,25.15,26.53,27.69,20.02,85.0,10.13,100.57,6.11,254.06,7.81,254.06,0.97
2021,282,2.16,27.86,25.44,26.65,27.56,20.32,86.75,10.32,100.69,5.27,253.44,6.76,253.44,0.97
2021,283,2.16,28.21,25.38,26.8,28.16,20.26,84.81,2.48,100.66,4.35,253.5,5.58,253.5,0.96
2021,284,0.84,27.92,25.81,26.87,27.69,20.81,88.25,20.14,100.6,3.91,252.44,5.04,252.44,0.98
2021,285,1.91,26.61,24.39,25.5,26.58,19.1,87.62,25.53,100.67,4.05,251.31,5.22,251.31,0.98
2021,286,1.62,27.55,24.88,26.22,27.25,19.65,85.38,6.15,100.5,4.9,254.31,6.28,254.31,0.97
2021,287,2.31,28.04,25.46,26.75,27.99,20.39,86.06,3.24,100.59,3.82,237.19,4.95,237.19,0.96
2021,288,1.05,28.08,25.08,26.58,28.12,19.9,84.0,7.77,100.64,1.68,244.56,2.17,244.12,0.96
2021,289,1.53,27.33,23.55,25.44,27.62,18.13,80.06,7.33,100.83,1.27,179.69,1.64,179.69,0.96
2021,290,1.78,27.23,23.85,25.55,27.46,18.43,81.94,2.3,100.87,2.72,289.38,3.58,289.12,0.95
2021,291,2.16,27.77,24.3,26.04,28.25,18.92,81.56,1.49,100.95,1.46,234.81,1.95,234.88,0.95
2021,292,2.33,28.4,24.48,26.44,28.94,19.1,79.56,2.6,101.19,1.41,127.75,1.84,127.56,0.95
2021,293,1.31,27.53,24.45,25.99,27.98,19.04,83.44,5.72,101.26,1.6,168.62,2.09,168.62,0.95
2021,294,2.11,27.11,23.34,25.23,27.81,17.82,80.06,5.62,101.15,0.59,268.88,0.73,268.94,0.95
2021,295,1.95,27.46,24.12,25.79,28.11,18.68,82.12,4.13,101.14,1.59,126.5,2.0,126.62,0.95
2021,296,2.23,27.08,24.38,25.73,27.65,18.98,85.31,7.11,101.18,2.56,114.81,3.26,114.94,0.95
2021,297,2.09,27.92,24.07,26.0,28.56,18.62,80.0,3.43,101.06,2.06,65.12,2.62,64.88,0.95
2021,298,2.17,27.89,24.62,26.26,28.55,19.29,82.69,3.6,100.93,2.23,48.38,2.88,48.0,0.94
2021,299,1.96,27.35,24.71,26.03,27.44,19.41,85.69,5.28,100.86,2.09,120.62,2.76,120.56,0.95
2021,300,1.7,27.86,24.65,26.25,28.51,19.35,83.25,0.53,100.86,1.78,284.88,2.35,285.06,0.93
2021,301,2.1,27.84,24.82,26.33,28.15,19.53,83.75,2.92,100.97,2.67,128.06,3.36,128.56,0.93
2021,302,1.98,27.82,25.22,26.51,28.17,19.96,86.0,2.96,101.11,3.56,102.62,4.51,102.56,0.93
2021,303,2.08,27.31,25.15,26.23,27.62,19.9,88.06,3.96,101.14,3.2,89.12,4.09,88.88,0.93
2021,304,1.84,27.72,25.12,26.42,28.12,19.84,86.0,4.93,101.1,3.31,89.0,4.23,89.06,0.93
2021,305,2.11,27.55,25.39,26.48,27.74,20.2,88.12,3.84,101.04,3.54,73.88,4.51,74.0,0.93
2021,306,2.08,27.81,25.2,26.51,28.08,19.96,86.06,4.49,101.05,3.79,83.5,4.8,83.44,0.93
2021,307,1.78,27.13,25.23,26.18,27.3,20.02,89.44,8.97,100.99,3.73,77.5,4.77,77.62,0.94
2021,308,1.85,27.07,25.25,26.16,27.3,20.02,89.88,9.14,100.95,3.33,71.44,4.23,71.31,0.95
2021,309,1.96,27.03,25.25,26.14,27.32,20.08,90.0,9.35,100.86,3.58,83.31,4.56,83.31,0.95
2021,310,2.09,27.43,24.99,26.21,27.9,19.78,86.69,12.77,100.69,3.24,104.38,4.16,104.5,0.96
2021,311,2.06,27.49,25.27,26.38,27.79,20.14,87.88,3.28,100.68,3.63,96.69,4.65,96.75,0.94
2021,312,2.01,27.56,25.63,26.59,27.73,20.57,89.31,8.09,100.76,3.8,87.69,4.82,87.75,0.95
2021,313,1.79,27.14,24.96,26.05,27.26,19.71,88.0,8.34,100.9,4.56,71.38,5.81,71.5,0.95
2021,314,1.66,26.75,24.78,25.76,27.06,19.47,89.06,13.62,100.94,4.32,61.5,5.46,61.5,0.96
2021,315,0.48,26.23,24.85,25.54,26.6,19.59,92.06,17.93,100.82,4.56,39.69,5.76,39.75,0.98
2021,316,1.72,26.87,25.46,26.16,27.1,20.32,91.94,22.17,100.82,5.86,67.25,7.41,67.12,0.98
2021,317,1.86,27.38,25.28,26.33,27.58,20.08,88.38,16.3,100.89,4.8,85.06,6.06,84.94,0.98
2021,318,1.59,26.59,24.55,25.57,26.92,19.23,88.62,13.37,100.94,3.53,82.56,4.47,82.62,0.98
2021,319,1.3,26.5,24.78,25.64,26.99,19.53,90.31,5.27,100.83,3.0,89.94,3.82,89.94,0.97
2021,320,0.95,26.51,25.19,25.85,26.62,20.02,92.38,30.55,100.75,4.43,65.75,5.69,65.81,0.98
2021,321,1.73,26.83,25.19,26.01,27.07,19.96,90.69,5.82,100.89,3.21,85.75,4.12,85.62,0.98
2021,322,1.77,26.8,24.98,25.89,27.11,19.71,89.81,11.0,100.8,3.62,93.31,4.6,93.44,0.98
2021,323,1.84,26.58,24.42,25.51,27.01,19.1,88.0,0.81,100.7,2.67,84.0,3.46,84.5,0.97
2021,324,1.7,27.21,24.92,26.07,27.47,19.71,87.44,4.28,100.7,2.04,75.38,2.61,75.56,0.96
2021,325,1.77,27.49,25.37,26.44,27.69,20.2,88.44,4.31,100.77,3.38,51.88,4.28,52.06,0.96
2021,326,1.93,27.4,25.44,26.43,27.48,20.32,89.12,4.03,100.82,4.2,92.75,5.32,92.75,0.96
2021,327,2.02,26.65,25.1,25.87,26.76,19.9,91.19,4.92,100.88,3.97,67.88,5.05,67.94,0.95
2021,328,1.86,26.58,24.89,25.74,26.69,19.59,90.38,25.51,100.98,4.62,72.56,5.83,72.62,0.98
2021,329,1.6,25.19,23.24,24.22,25.77,17.76,88.94,4.0,100.98,3.98,73.62,5.0,73.75,0.96
2021,330,1.95,26.31,24.31,25.31,26.7,18.92,88.88,3.46,100.92,3.5,57.19,4.42,57.25,0.96
2021,331,1.37,25.32,23.76,24.54,25.91,18.31,91.06,4.02,100.89,4.14,54.56,5.24,54.56,0.95
2021,332,1.26,26.15,24.48,25.32,26.63,19.17,90.56,10.18,100.79,3.89,39.06,4.92,38.81,0.96
2021,333,1.13,26.05,24.72,25.38,26.37,19.47,92.25,33.05,100.71,3.52,50.94,4.47,50.75,0.98
2021,334,0.98,26.02,24.23,25.12,26.33,18.86,89.88,11.71,100.82,4.02,96.25,5.09,96.0,0.98
2021,335,1.55,25.88,24.14,25.01,26.04,18.74,90.12,4.01,101.01,5.14,73.56,6.52,73.5,0.97
2021,336,1.76,25.8,23.41,24.6,26.21,17.88,86.94,0.63,101.16,4.14,65.88,5.2,65.88,0.96
2021,337,1.72,25.94,23.3,24.62,26.75,17.76,85.69,5.19,101.24,2.64,52.44,3.32,51.69,0.96
2021,338,1.75,24.74,22.16,23.45,25.78,16.54,85.81,1.95,101.23,3.77,26.38,4.72,26.06,0.95
2021,339,2.04,23.82,20.64,22.23,24.84,15.08,83.0,0.11,101.18,3.57,29.44,4.55,29.19,0.94
2021,340,1.95,25.22,22.51,23.86,25.92,16.91,85.38,1.13,101.1,3.51,40.44,4.48,40.5,0.94
2021,341,1.73,25.38,22.72,24.05,26.01,17.15,85.62,2.0,101.17,3.11,56.75,3.98,56.56,0.93
2021,342,1.9,25.57,21.69,23.63,26.04,16.11,80.0,0.08,101.18,2.7,40.44,3.48,39.94,0.92
2021,343,1.34,25.81,23.51,24.65,26.25,18.01,87.44,1.2,101.18,3.35,46.12,4.26,45.94,0.91
2021,344,2.03,25.89,23.08,24.48,26.65,17.52,85.12,0.48,101.17,3.76,56.62,4.73,56.56,0.91
2021,345,1.5,26.03,22.57,24.3,26.9,16.97,82.0,0.07,101.19,2.36,56.81,3.0,56.56,0.89
2021,346,1.88,26.19,22.94,24.57,27.12,17.4,83.0,0.56,101.14,2.21,56.31,2.88,56.12,0.88
2021,347,1.76,26.62,23.73,25.18,27.3,18.25,84.69,1.19,101.02,2.42,44.31,3.11,43.62,0.88
2021,348,1.91,26.32,23.55,24.94,27.19,18.07,85.31,1.15,100.93,3.2,50.75,4.0,50.44,0.88
2021,349,1.73,26.55,24.0,25.27,27.16,18.62,86.38,2.94,100.87,3.4,44.56,4.28,44.69,0.88
2021,350,1.61,26.65,24.25,25.45,27.1,18.86,87.06,3.17,100.92,4.53,64.12,5.7,64.31,0.88
2021,351,1.84,26.23,23.87,25.05,26.65,18.43,87.19,1.42,100.94,5.02,78.12,6.32,78.31,0.87
2021,352,1.77,26.7,23.86,25.28,27.48,18.43,85.12,1.07,100.94,3.47,65.38,4.36,64.75,0.86
2021,353,1.55,25.87,22.1,23.98,26.9,16.54,80.81,0.49,101.03,3.25,22.38,4.13,22.12,0.85
2021,354,1.8,25.51,21.25,23.38,26.63,15.69,78.31,0.02,101.2,3.0,21.31,3.8,20.81,0.84
2021,355,1.86,26.18,22.65,24.41,27.29,17.09,81.75,0.66,101.16,2.53,68.62,3.23,68.62,0.84
2021,356,1.66,25.96,24.25,25.1,26.26,18.86,90.31,6.32,101.08,3.66,88.62,4.63,88.75,0.87
2021,357,1.42,25.88,23.84,24.87,26.21,18.37,88.69,6.48,101.04,4.23,88.06,5.34,88.19,0.87
2021,358,1.75,26.2,23.44,24.82,26.87,17.94,85.25,0.85,101.03,4.55,88.5,5.73,88.62,0.85
2021,359,1.81,26.15,23.04,24.6,26.89,17.46,83.56,0.23,101.13,4.7,87.06,5.95,87.25,0.84
2021,360,1.8,26.15,23.24,24.69,26.75,17.7,84.94,0.14,101.22,3.79,77.5,4.83,77.81,0.83
