-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  9.0369   Longitude 105.0566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.88,27.6,25.15,26.38,27.53,19.96,86.62,10.68,100.69,3.46,290.31,4.45,290.19,0.97
2020,276,0.91,27.2,25.48,26.34,27.19,20.39,90.25,13.43,100.72,3.92,270.0,4.99,269.94,0.98
2020,277,2.16,27.24,25.22,26.23,27.35,20.02,88.75,9.66,100.85,3.85,224.0,4.9,224.12,0.98
2020,278,1.62,26.94,25.17,26.05,27.1,19.96,89.94,16.07,100.92,3.66,253.56,4.67,253.69,0.98
2020,279,1.36,26.84,24.74,25.8,27.11,19.47,88.25,5.07,100.86,3.2,256.81,4.08,256.75,0.97
2020,280,1.82,26.98,24.54,25.76,27.34,19.23,86.62,10.65,100.8,3.05,246.12,3.89,246.31,0.98
2020,281,1.63,26.86,24.95,25.9,27.1,19.71,89.31,4.54,100.64,3.67,263.56,4.64,263.62,0.97
2020,282,1.84,27.38,25.26,26.33,27.49,20.14,88.31,15.02,100.56,3.52,247.12,4.47,247.25,0.98
2020,283,1.04,27.03,25.3,26.17,26.98,20.14,90.19,30.24,100.67,3.78,213.31,4.85,213.38,0.99
2020,284,1.12,26.93,25.39,26.15,26.94,20.26,91.19,37.68,100.65,4.02,249.75,5.12,249.94,0.99
2020,285,1.3,26.95,25.35,26.15,26.9,20.26,90.88,19.04,100.56,4.88,244.25,6.2,244.44,0.99
2020,286,1.03,27.07,25.08,26.08,26.98,19.9,88.88,11.39,100.54,5.27,264.81,6.7,264.88,0.98
2020,287,0.87,26.93,24.65,25.79,26.73,19.41,87.31,17.13,100.6,5.8,252.81,7.41,252.75,0.98
2020,288,1.23,27.15,24.69,25.92,26.94,19.41,86.44,19.85,100.68,5.83,249.06,7.45,249.06,0.98
2020,289,1.23,27.33,24.94,26.13,27.01,19.71,86.81,29.92,100.65,5.48,245.19,7.0,245.38,0.99
2020,290,1.22,27.28,24.51,25.89,26.86,19.23,84.88,26.43,100.59,5.42,240.69,6.96,240.69,0.99
2020,291,1.37,27.29,24.94,26.11,27.15,19.71,87.0,30.02,100.63,4.27,229.31,5.48,229.38,0.99
2020,292,1.0,26.51,24.77,25.64,26.76,19.47,90.12,33.0,100.81,3.1,229.81,4.0,229.5,0.99
2020,293,1.89,27.14,24.08,25.62,27.53,18.68,83.5,4.18,100.85,2.8,258.38,3.63,258.12,0.98
2020,294,1.91,27.55,24.43,25.99,27.65,19.1,83.25,2.37,100.83,2.82,308.69,3.71,308.56,0.97
2020,295,1.91,27.24,24.98,26.11,27.44,19.71,87.5,12.87,100.8,2.63,262.56,3.41,262.75,0.98
