-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.0369   Longitude 105.0566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.06,26.99,24.82,25.9,27.11,19.53,87.94,9.78,100.86,3.3,250.38,4.28,250.31,0.95
2022,275,1.36,26.62,25.1,25.86,26.85,19.9,91.31,18.75,100.76,2.86,308.31,3.67,308.31,0.98
2022,276,1.91,27.08,25.07,26.07,27.24,19.84,88.88,11.15,100.72,3.37,115.06,4.27,115.25,0.97
2022,277,1.54,27.02,25.05,26.04,27.08,19.84,89.0,12.73,100.88,3.76,88.06,4.77,87.81,0.97
2022,278,1.2,27.22,24.99,26.11,27.28,19.71,87.75,12.41,100.92,4.06,106.56,5.16,106.44,0.97
2022,279,1.48,27.04,24.49,25.76,27.26,19.1,86.06,11.8,100.97,2.92,108.75,3.74,108.5,0.97
2022,280,2.06,27.09,24.33,25.72,27.6,18.98,85.19,6.29,100.96,2.5,100.56,3.22,100.62,0.96
2022,281,0.88,26.4,24.31,25.36,26.76,18.92,88.31,9.21,100.97,2.43,286.69,3.08,286.81,0.97
2022,282,1.65,26.37,24.56,25.47,26.68,19.23,89.75,7.81,101.01,3.19,138.75,4.07,138.62,0.97
2022,283,1.84,26.73,24.31,25.52,27.14,18.92,86.62,4.04,101.09,1.8,101.75,2.34,101.5,0.96
2022,284,1.7,26.94,24.16,25.55,27.41,18.74,84.88,6.24,101.05,1.23,223.25,1.53,223.75,0.96
2022,285,1.68,26.99,24.4,25.69,27.32,19.04,85.69,19.3,100.99,1.31,144.0,1.66,130.12,0.98
