-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.0452   Longitude 105.7469 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,5.04,13.66,0.4,2.02
2022,10,2,3.42,9.98,0.29,1.45
2022,10,3,4.3,11.82,0.34,1.76
2022,10,4,4.11,11.66,0.35,1.77
2022,10,5,4.49,12.45,0.37,1.9
2022,10,6,4.04,11.37,0.34,1.72
2022,10,7,5.25,13.71,0.39,1.98
2022,10,8,1.31,4.38,0.14,0.7
2022,10,9,2.57,7.95,0.23,1.2
2022,10,10,4.83,12.79,0.37,1.88
2022,10,11,4.51,12.73,0.37,1.86
2022,10,12,4.36,11.99,0.34,1.69
2022,10,13,4.56,12.67,0.36,1.8
2022,10,14,4.21,11.7,0.34,1.68
2022,10,15,5.11,13.14,0.35,1.8
2022,10,16,5.8,14.71,0.39,1.99
2022,10,17,5.48,13.99,0.4,2.02
2022,10,18,5.11,13.12,0.38,1.91
2022,10,19,4.38,11.63,0.34,1.71
2022,10,20,3.47,9.99,0.29,1.45
2022,10,21,4.96,13.01,0.37,1.85
2022,10,22,4.59,11.98,0.34,1.7
2022,10,23,4.72,12.62,0.35,1.8
2022,10,24,5.04,13.19,0.36,1.86
2022,10,25,4.67,12.2,0.34,1.74
2022,10,26,4.29,11.55,0.33,1.67
2022,10,27,2.55,7.55,0.22,1.09
2022,10,28,4.51,12.23,0.34,1.73
2022,10,29,4.88,12.69,0.35,1.78
2022,10,30,4.94,13.08,0.36,1.84
2022,10,31,5.66,13.81,0.38,1.95
2022,11,1,4.96,12.14,0.34,1.72
2022,11,2,5.2,12.14,0.34,1.71
2022,11,3,3.94,10.18,0.28,1.45
2022,11,4,3.0,8.62,0.25,1.25
2022,11,5,4.83,12.55,0.34,1.77
2022,11,6,4.64,11.98,0.34,1.71
2022,11,7,4.85,12.35,0.34,1.73
2022,11,8,4.93,12.48,0.34,1.77
2022,11,9,5.14,13.08,0.36,1.85
2022,11,10,4.84,12.83,0.36,1.86
2022,11,11,4.45,11.7,0.33,1.67
2022,11,12,3.33,9.34,0.27,1.37
2022,11,13,4.57,12.24,0.34,1.75
2022,11,14,4.63,12.36,0.34,1.77
2022,11,15,4.52,12.06,0.35,1.81
2022,11,16,4.89,12.77,0.37,1.91
2022,11,17,4.65,12.46,0.37,1.93
2022,11,18,4.19,11.16,0.33,1.72
2022,11,19,2.93,8.59,0.27,1.37
2022,11,20,1.92,6.07,0.2,1.0
2022,11,21,3.3,9.53,0.29,1.54
2022,11,22,2.24,6.88,0.22,1.16
2022,11,23,2.75,7.73,0.23,1.2
2022,11,24,3.82,10.62,0.31,1.64
2022,11,25,4.52,11.78,0.33,1.74
2022,11,26,4.13,10.99,0.32,1.67
2022,11,27,4.89,12.6,0.35,1.85
2022,11,28,4.87,12.73,0.36,1.87
2022,11,29,4.7,12.34,0.35,1.84
2022,11,30,4.67,12.07,0.34,1.76
2022,12,1,4.77,12.53,0.35,1.85
2022,12,2,5.01,12.87,0.36,1.89
2022,12,3,3.14,9.03,0.27,1.43
2022,12,4,4.7,12.16,0.35,1.88
2022,12,5,4.8,12.34,0.35,1.87
2022,12,6,5.06,12.7,0.36,1.9
2022,12,7,4.48,11.66,0.34,1.84
2022,12,8,5.1,13.07,0.38,2.03
2022,12,9,4.51,11.75,0.35,1.91
2022,12,10,5.44,13.62,0.41,2.21
2022,12,11,5.19,12.96,0.38,2.02
2022,12,12,4.69,11.59,0.32,1.71
2022,12,13,5.69,13.59,0.38,1.99
2022,12,14,5.46,12.82,0.35,1.82
2022,12,15,5.73,13.84,0.38,2.0
2022,12,16,5.28,13.09,0.38,2.02
2022,12,17,4.19,11.29,0.35,1.96
2022,12,18,5.14,12.58,0.38,2.07
2022,12,19,5.48,13.28,0.4,2.16
2022,12,20,5.74,14.07,0.41,2.18
2022,12,21,5.19,12.56,0.37,2.02
2022,12,22,4.8,11.91,0.34,1.84
2022,12,23,5.59,13.21,0.38,2.03
2022,12,24,4.7,11.27,0.34,1.85
2022,12,25,5.13,11.83,0.34,1.84
2022,12,26,4.97,11.59,0.34,1.81
2022,12,27,4.83,11.12,0.33,1.8
2022,12,28,5.42,12.28,0.35,1.88
2022,12,29,5.21,12.52,0.37,2.0
2022,12,30,4.71,11.69,0.35,1.92
2022,12,31,4.71,11.54,0.34,1.9
