-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.0452   Longitude 105.7469 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.21,26.97,25.17,26.07,27.05,19.96,90.12,9.47,100.91,1.43,213.81,2.16,213.81,0.95
2021,275,1.95,26.09,24.84,25.47,26.0,19.53,92.88,33.35,100.97,2.15,229.19,3.13,229.25,0.98
2021,276,1.88,26.81,24.35,25.58,26.69,18.98,86.69,5.01,100.83,1.16,267.44,1.77,267.62,0.96
2021,277,2.1,26.55,24.73,25.65,26.41,19.47,89.94,10.49,100.7,0.91,280.56,1.45,280.12,0.97
2021,278,1.82,26.44,24.92,25.68,26.44,19.71,91.5,14.48,100.62,1.15,259.19,1.76,259.19,0.97
2021,279,1.38,25.89,24.76,25.33,25.76,19.53,93.5,16.64,100.46,2.41,269.94,3.47,269.94,0.98
2021,280,1.86,26.19,24.9,25.55,25.98,19.71,92.56,7.59,100.45,2.86,244.19,4.12,244.25,0.98
2021,281,1.87,26.76,25.41,26.09,26.41,20.32,92.31,24.7,100.49,3.9,242.56,5.57,242.56,0.98
2021,282,1.76,26.73,25.52,26.12,26.4,20.45,93.06,14.37,100.64,3.48,246.25,4.98,246.25,0.98
2021,283,1.94,27.36,25.53,26.44,27.05,20.45,89.94,1.62,100.6,3.48,251.56,4.98,251.62,0.97
2021,284,1.35,26.96,25.77,26.37,26.7,20.75,93.19,38.19,100.55,2.68,244.75,3.9,244.81,0.98
2021,285,1.85,25.48,24.38,24.93,25.15,19.1,93.56,20.99,100.61,3.38,242.88,4.87,242.81,0.98
