-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  22.6793   Longitude 106.2605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 507.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.56,14.71,0.4,2.05
2021,10,2,5.02,13.63,0.39,2.0
2021,10,3,5.01,13.5,0.38,1.91
2021,10,4,5.7,14.86,0.41,2.06
2021,10,5,5.34,13.8,0.37,1.87
2021,10,6,5.6,14.34,0.38,1.93
2021,10,7,5.67,14.4,0.38,1.91
2021,10,8,4.92,12.97,0.34,1.72
2021,10,9,1.81,5.86,0.16,0.79
2021,10,10,1.49,5.02,0.14,0.73
2021,10,11,1.3,4.41,0.12,0.65
2021,10,12,2.74,8.37,0.24,1.23
2021,10,13,2.28,7.09,0.2,1.01
2021,10,14,1.27,4.25,0.12,0.62
2021,10,15,1.11,3.87,0.11,0.56
2021,10,16,2.13,6.59,0.18,0.93
2021,10,17,2.39,7.3,0.2,1.03
2021,10,18,1.92,5.8,0.15,0.77
2021,10,19,2.14,6.65,0.18,0.92
2021,10,20,2.29,7.07,0.19,0.98
2021,10,21,1.85,5.69,0.16,0.8
2021,10,22,2.41,7.3,0.2,1.05
2021,10,23,4.51,11.8,0.3,1.58
2021,10,24,4.65,12.04,0.3,1.58
2021,10,25,5.39,13.37,0.32,1.64
2021,10,26,4.97,12.55,0.3,1.55
2021,10,27,5.05,12.46,0.3,1.55
2021,10,28,1.97,5.84,0.15,0.78
2021,10,29,1.13,3.81,0.1,0.52
2021,10,30,1.44,4.55,0.12,0.62
2021,10,31,1.02,3.43,0.09,0.46
2021,11,1,1.3,4.23,0.11,0.57
2021,11,2,0.99,3.47,0.09,0.5
2021,11,3,1.38,4.42,0.12,0.65
2021,11,4,2.26,6.94,0.2,1.03
2021,11,5,2.88,8.21,0.22,1.15
2021,11,6,2.28,6.8,0.18,0.97
2021,11,7,2.08,6.3,0.17,0.89
2021,11,8,2.35,6.77,0.18,0.95
2021,11,9,5.15,12.63,0.31,1.61
2021,11,10,4.54,11.41,0.29,1.48
2021,11,11,4.27,10.77,0.27,1.42
2021,11,12,2.44,6.54,0.17,0.92
2021,11,13,4.11,10.04,0.24,1.27
2021,11,14,3.11,8.45,0.21,1.13
2021,11,15,2.4,6.94,0.18,0.95
2021,11,16,0.77,2.57,0.06,0.34
2021,11,17,0.88,2.77,0.07,0.37
2021,11,18,3.51,8.91,0.22,1.12
2021,11,19,1.29,3.95,0.1,0.52
2021,11,20,1.37,4.32,0.11,0.57
2021,11,21,2.04,6.07,0.15,0.77
2021,11,22,1.42,4.42,0.12,0.6
2021,11,23,2.45,6.74,0.16,0.88
2021,11,24,2.42,6.86,0.16,0.87
2021,11,25,3.05,8.2,0.19,0.99
2021,11,26,3.62,9.21,0.22,1.14
2021,11,27,3.26,8.15,0.19,0.98
2021,11,28,4.56,10.67,0.24,-999.0
2021,11,29,4.86,11.25,0.24,1.23
2021,11,30,4.59,10.59,0.24,1.21
2021,12,1,4.87,11.07,0.25,1.28
2021,12,2,4.95,10.98,0.24,1.23
2021,12,3,4.24,9.66,0.22,-999.0
2021,12,4,4.69,10.51,0.22,-999.0
2021,12,5,4.66,10.53,0.21,1.05
2021,12,6,4.47,10.16,0.22,-999.0
2021,12,7,4.72,10.73,0.22,1.09
2021,12,8,4.36,9.91,0.21,1.07
2021,12,9,1.58,4.76,0.12,0.6
2021,12,10,2.49,6.25,0.15,0.8
2021,12,11,2.95,7.53,0.18,0.95
2021,12,12,1.2,3.43,0.09,0.45
2021,12,13,2.71,6.95,0.16,0.86
2021,12,14,2.6,6.54,0.16,0.8
2021,12,15,1.87,5.23,0.12,0.66
2021,12,16,2.58,6.69,0.16,0.88
2021,12,17,2.42,6.2,0.16,0.8
2021,12,18,3.97,8.95,0.21,1.1
2021,12,19,4.59,9.98,0.23,1.16
2021,12,20,2.01,5.8,0.15,0.78
2021,12,21,3.16,7.3,0.17,0.89
2021,12,22,3.91,8.32,0.19,0.96
2021,12,23,4.2,9.19,0.2,0.98
2021,12,24,3.28,7.9,0.18,0.91
2021,12,25,0.72,2.19,0.05,0.27
2021,12,26,0.59,1.8,0.05,0.23
2021,12,27,0.83,2.55,0.06,0.34
2021,12,28,1.48,4.2,0.1,0.55
2021,12,29,0.99,3.12,0.09,0.45
2021,12,30,1.44,4.35,0.12,0.62
2021,12,31,0.9,2.74,0.07,0.38
