-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  22.6793   Longitude 106.2605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 507.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,2.47,7.55,0.21,1.09
2020,10,2,3.8,10.95,0.3,1.55
2020,10,3,3.61,10.45,0.3,1.53
2020,10,4,4.1,11.7,0.34,1.73
2020,10,5,2.99,9.05,0.27,1.34
2020,10,6,1.61,5.34,0.16,0.79
2020,10,7,2.8,8.45,0.25,1.28
2020,10,8,2.91,8.77,0.26,1.3
2020,10,9,2.96,8.23,0.23,1.17
2020,10,10,3.33,9.45,0.27,1.38
2020,10,11,3.18,9.09,0.26,1.33
2020,10,12,4.82,12.38,0.34,1.71
2020,10,13,5.24,13.16,0.34,1.77
2020,10,14,1.22,4.2,0.12,0.59
2020,10,15,1.35,4.61,0.12,0.66
2020,10,16,1.98,5.97,0.16,0.87
2020,10,17,3.06,8.67,0.23,1.21
2020,10,18,3.58,9.6,0.25,1.29
2020,10,19,2.83,8.33,0.23,1.16
2020,10,20,3.24,9.02,0.25,1.29
2020,10,21,5.55,14.06,0.37,1.91
2020,10,22,5.88,14.42,0.38,1.95
2020,10,23,6.0,14.41,0.38,1.91
2020,10,24,5.33,13.16,0.34,1.74
2020,10,25,2.42,7.16,0.19,0.98
2020,10,26,1.58,4.98,0.13,0.69
2020,10,27,3.47,9.6,0.25,1.31
2020,10,28,3.25,8.74,0.23,1.17
2020,10,29,1.02,3.26,0.09,0.47
2020,10,30,1.19,3.84,0.1,0.55
2020,10,31,1.76,5.26,0.13,0.7
2020,11,1,2.53,6.55,0.16,0.84
2020,11,2,1.18,3.62,0.09,0.49
2020,11,3,2.02,5.29,0.12,0.66
2020,11,4,1.99,4.29,0.1,0.53
2020,11,5,2.45,6.23,0.16,0.8
2020,11,6,1.69,4.95,0.12,0.66
2020,11,7,4.06,10.25,0.26,1.34
2020,11,8,5.2,12.48,0.3,1.54
2020,11,9,5.14,11.92,0.29,-999.0
2020,11,10,5.2,11.75,0.27,1.41
2020,11,11,5.23,12.31,0.29,1.48
2020,11,12,4.96,11.86,0.29,1.48
2020,11,13,5.37,12.41,0.3,1.5
2020,11,14,4.97,11.56,0.28,1.43
2020,11,15,1.48,4.56,0.12,0.63
2020,11,16,1.16,3.7,0.09,0.51
2020,11,17,1.07,3.61,0.09,0.5
2020,11,18,3.28,8.8,0.22,1.16
2020,11,19,4.07,10.23,0.25,1.29
2020,11,20,3.76,9.61,0.23,1.25
2020,11,21,4.14,10.35,0.25,1.3
2020,11,22,2.94,8.16,0.21,1.12
2020,11,23,2.5,7.0,0.18,0.98
2020,11,24,1.22,3.7,0.09,0.52
2020,11,25,2.69,7.16,0.19,0.98
2020,11,26,2.68,7.04,0.18,0.95
2020,11,27,1.2,3.53,0.09,0.48
2020,11,28,1.8,5.15,0.13,0.7
2020,11,29,3.84,9.16,0.22,1.13
2020,11,30,4.71,10.53,0.24,1.21
2020,12,1,2.62,6.39,0.15,0.78
2020,12,2,2.43,6.07,0.15,0.8
2020,12,3,1.62,4.71,0.12,0.59
2020,12,4,2.41,6.3,0.15,0.77
2020,12,5,2.49,6.59,0.16,0.82
2020,12,6,4.3,9.85,0.23,1.14
2020,12,7,3.05,7.45,0.18,0.92
2020,12,8,2.86,7.2,0.17,0.91
2020,12,9,3.84,9.14,0.2,1.05
2020,12,10,2.29,5.77,0.14,0.74
2020,12,11,2.37,5.76,0.14,0.73
2020,12,12,2.05,5.46,0.13,0.7
2020,12,13,2.29,6.36,0.16,0.84
2020,12,14,0.56,1.82,0.05,0.24
2020,12,15,0.85,2.64,0.07,0.35
2020,12,16,1.22,3.67,0.09,0.5
2020,12,17,1.01,3.15,0.08,0.41
2020,12,18,1.77,5.22,0.12,0.66
2020,12,19,1.84,4.91,0.12,0.62
2020,12,20,2.22,5.26,0.13,0.69
2020,12,21,3.65,7.86,0.18,0.92
2020,12,22,2.63,6.41,0.16,0.84
2020,12,23,1.31,3.68,0.09,0.49
2020,12,24,3.03,5.73,0.12,0.66
2020,12,25,2.97,6.28,0.14,0.73
2020,12,26,2.34,5.66,0.12,0.66
2020,12,27,1.84,5.38,0.12,0.65
2020,12,28,1.72,4.96,0.12,0.66
2020,12,29,2.22,6.04,0.16,0.85
2020,12,30,2.85,7.03,0.18,0.98
2020,12,31,3.71,8.47,0.21,1.13
