-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  22.6793   Longitude 106.2605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 507.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,1.09,23.8,21.93,22.86,24.25,17.46,89.75,5.25,95.1,1.56,114.06,2.36,114.06,0.83
2020,276,1.55,25.08,23.18,24.12,25.35,18.8,89.75,8.42,95.18,1.24,144.88,2.0,144.88,0.84
2020,277,1.53,25.01,23.4,24.21,25.25,18.98,91.19,4.0,95.25,1.47,183.31,2.33,183.19,0.83
2020,278,1.73,25.15,23.32,24.23,25.4,18.92,90.0,4.15,95.26,1.27,181.69,2.08,181.62,0.83
2020,279,1.34,21.95,19.78,20.87,22.09,15.26,87.94,7.01,95.52,2.96,57.75,4.38,57.44,0.84
2020,280,0.79,18.76,16.47,17.62,19.19,12.33,87.0,3.33,95.77,3.2,51.56,4.7,51.62,0.83
2020,281,1.28,18.88,16.34,17.62,19.22,12.21,85.94,0.13,95.87,3.45,44.75,5.12,44.81,0.82
2020,282,1.3,18.41,15.76,17.08,18.76,11.72,85.19,0.04,95.91,3.5,47.06,5.17,47.06,0.81
2020,283,1.17,18.37,15.65,17.01,18.66,11.66,85.19,0.0,95.92,3.26,40.38,4.89,40.44,0.81
2020,284,1.38,18.58,16.11,17.35,18.9,12.02,86.62,0.0,95.7,2.19,45.69,3.39,45.81,0.8
2020,285,1.33,19.51,16.92,18.22,19.74,12.7,86.19,0.0,95.46,2.16,38.25,3.39,38.31,0.8
2020,286,1.71,20.7,18.29,19.5,20.61,13.85,87.0,0.16,95.41,2.59,32.31,4.09,32.44,0.8
2020,287,1.77,21.4,18.56,19.98,21.37,14.1,84.88,1.19,95.35,3.39,27.56,5.13,27.62,0.8
2020,288,0.59,20.04,18.67,19.35,19.69,14.16,91.81,98.68,95.25,6.11,27.81,9.13,27.81,0.95
2020,289,0.66,20.28,19.23,19.76,20.16,14.71,93.75,61.91,95.49,4.2,46.81,6.27,46.81,0.97
2020,290,0.87,18.12,15.91,17.01,17.93,11.84,87.19,7.35,95.82,4.91,27.81,7.32,27.81,0.89
2020,291,1.21,17.12,14.13,15.62,17.09,10.56,83.0,0.17,95.92,4.78,28.44,7.12,28.44,0.86
