-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  22.6793   Longitude 106.2605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 507.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.05,24.84,21.88,23.37,24.68,17.33,84.25,0.01,95.26,0.99,200.38,1.63,201.31,0.7
2021,275,2.0,24.21,21.56,22.88,24.36,16.97,86.0,0.07,95.34,1.16,208.31,1.89,208.44,0.7
2021,276,1.91,23.6,21.75,22.68,23.62,17.15,89.88,0.22,95.36,1.47,180.12,2.44,180.12,0.7
2021,277,2.06,24.48,22.06,23.26,24.73,17.46,87.19,2.06,95.49,1.32,153.19,2.13,153.38,0.7
2021,278,1.87,24.73,21.65,23.19,24.44,17.03,84.0,1.65,95.48,1.23,85.88,1.95,86.25,0.7
2021,279,1.93,25.39,21.58,23.49,25.08,17.03,80.56,0.02,95.22,1.02,180.0,1.55,179.81,0.68
2021,280,1.91,25.38,21.23,23.3,24.94,16.66,78.75,0.0,95.03,2.06,48.81,3.26,48.81,0.67
2021,281,1.72,23.23,18.4,20.82,23.03,14.04,75.25,0.05,95.01,3.89,29.25,5.9,29.31,0.66
2021,282,0.79,21.69,18.81,20.25,21.29,14.34,83.81,19.41,94.95,5.0,15.56,7.52,15.56,0.76
2021,283,0.73,21.44,19.48,20.46,21.1,15.01,88.56,30.53,94.87,6.46,30.62,9.64,30.62,0.83
2021,284,0.65,18.6,15.72,17.16,18.4,11.78,83.5,13.65,95.37,5.74,34.94,8.58,34.94,0.8
2021,285,1.23,18.27,13.55,15.91,18.08,10.19,74.62,0.01,95.38,4.78,20.69,7.17,20.69,0.74
