-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.771   Longitude 106.1003 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 760.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,2.62,8.24,0.24,1.23
2022,10,2,3.09,9.6,0.28,1.42
2022,10,3,4.74,13.13,0.37,1.87
2022,10,4,5.51,14.86,0.42,2.15
2022,10,5,6.06,15.7,0.42,2.18
2022,10,6,5.42,13.73,0.36,1.83
2022,10,7,5.08,13.01,0.34,1.73
2022,10,8,2.62,7.76,0.22,1.1
2022,10,9,1.12,3.94,0.11,0.55
2022,10,10,5.68,14.48,0.39,1.99
2022,10,11,6.29,15.82,0.42,2.2
2022,10,12,5.42,13.9,0.38,1.95
2022,10,13,5.44,13.93,0.38,1.98
2022,10,14,6.28,15.24,0.41,2.09
2022,10,15,6.07,14.77,0.38,1.98
2022,10,16,6.11,14.53,0.37,1.88
2022,10,17,5.97,14.1,0.35,1.81
2022,10,18,5.59,12.48,0.31,1.62
2022,10,19,3.02,8.51,0.23,1.19
2022,10,20,1.09,3.4,0.08,0.41
2022,10,21,2.76,8.2,0.22,1.12
2022,10,22,5.21,12.97,0.33,1.68
2022,10,23,5.29,12.98,0.33,1.67
2022,10,24,5.05,11.74,0.3,1.57
2022,10,25,3.47,8.59,0.23,1.24
2022,10,26,4.23,11.2,0.3,1.57
2022,10,27,2.67,8.01,0.22,1.16
2022,10,28,3.33,8.52,0.22,1.16
2022,10,29,3.65,9.25,0.25,1.3
2022,10,30,4.4,11.2,0.3,1.57
2022,10,31,4.33,10.96,0.3,1.6
2022,11,1,5.3,12.34,0.32,1.69
2022,11,2,5.75,13.12,0.34,1.73
2022,11,3,5.41,12.7,0.32,1.62
2022,11,4,5.26,12.41,0.31,1.59
2022,11,5,4.81,10.91,0.27,1.36
2022,11,6,4.55,10.8,0.27,1.38
2022,11,7,4.53,10.57,0.25,1.3
2022,11,8,4.97,11.67,0.28,1.44
2022,11,9,4.9,11.29,0.27,1.38
2022,11,10,3.2,8.71,0.22,1.18
2022,11,11,3.99,10.41,0.27,1.43
2022,11,12,4.48,11.42,0.3,1.57
2022,11,13,4.42,11.42,0.29,1.53
2022,11,14,2.58,7.22,0.2,1.03
2022,11,15,1.64,5.05,0.14,0.74
2022,11,16,2.02,6.14,0.16,0.89
2022,11,17,2.21,6.8,0.19,1.02
2022,11,18,1.96,6.02,0.16,0.89
2022,11,19,1.6,5.05,0.14,0.77
2022,11,20,1.81,5.52,0.15,0.8
2022,11,21,2.72,7.1,0.18,0.95
2022,11,22,2.65,7.03,0.18,0.95
2022,11,23,1.59,4.73,0.12,0.66
2022,11,24,1.18,3.72,0.1,0.55
2022,11,25,1.11,3.62,0.09,0.52
2022,11,26,1.29,4.03,0.11,0.57
2022,11,27,1.94,5.85,0.15,0.76
2022,11,28,3.35,8.82,0.21,1.1
2022,11,29,3.87,9.7,0.23,1.19
2022,11,30,1.12,3.38,0.09,0.47
2022,12,1,0.77,2.52,0.06,0.34
2022,12,2,2.18,6.16,0.16,0.83
2022,12,3,1.61,4.79,0.12,0.62
2022,12,4,0.95,3.07,0.08,0.43
2022,12,5,3.61,9.02,0.23,1.22
2022,12,6,2.1,6.02,0.16,0.88
2022,12,7,1.27,3.96,0.11,0.61
2022,12,8,0.86,2.73,0.08,0.41
2022,12,9,0.9,2.95,0.08,0.45
2022,12,10,1.36,4.12,0.11,0.58
2022,12,11,2.75,7.24,0.2,1.04
2022,12,12,3.46,7.57,0.19,1.02
2022,12,13,3.81,8.7,0.22,1.15
2022,12,14,3.71,8.55,0.21,1.09
2022,12,15,4.52,10.04,0.24,1.23
2022,12,16,3.99,8.92,0.22,1.16
2022,12,17,3.0,7.07,0.19,1.0
2022,12,18,4.47,9.72,0.21,1.08
2022,12,19,4.71,10.24,0.22,1.09
2022,12,20,4.54,10.1,0.21,1.05
2022,12,21,3.93,8.42,0.18,0.88
2022,12,22,4.0,8.95,0.18,0.91
2022,12,23,4.16,9.16,0.19,0.96
2022,12,24,3.87,8.4,0.18,0.9
2022,12,25,4.3,9.71,0.21,1.06
2022,12,26,1.76,4.94,0.12,0.6
2022,12,27,1.13,3.36,0.08,0.42
2022,12,28,0.69,2.02,0.05,0.25
2022,12,29,1.06,2.99,0.07,0.37
2022,12,30,1.76,4.75,0.11,0.56
2022,12,31,1.34,3.87,0.09,0.48
