-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.771   Longitude 106.1003 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 760.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.23,22.28,21.03,21.65,22.3,16.97,92.81,8.23,92.55,1.54,178.19,2.31,178.06,0.8
2022,275,1.42,22.25,20.99,21.62,22.38,16.85,92.88,6.95,92.67,1.62,146.0,2.54,145.75,0.8
2022,276,1.87,22.88,20.8,21.84,23.31,16.6,88.88,0.33,92.83,1.45,149.69,2.3,150.19,0.77
2022,277,2.15,23.06,20.58,21.82,23.3,16.36,86.94,1.93,92.95,1.16,176.0,1.84,176.44,0.77
2022,278,2.18,22.99,20.01,21.5,23.05,15.81,84.5,0.36,92.93,1.34,194.44,2.13,194.69,0.75
2022,279,1.83,22.15,19.67,20.91,22.3,15.5,86.69,0.01,92.95,1.41,172.06,2.23,171.88,0.74
2022,280,1.73,20.03,17.8,18.91,20.35,13.79,87.5,0.86,93.07,2.11,68.94,3.19,68.81,0.74
2022,281,1.1,19.45,17.45,18.45,20.15,13.49,88.94,1.32,93.07,1.82,105.25,2.73,104.81,0.73
2022,282,0.55,18.22,15.77,16.99,18.36,12.15,86.12,1.96,93.42,3.84,49.94,5.77,50.06,0.74
2022,283,1.99,15.39,9.28,12.33,15.54,7.87,69.19,0.0,93.57,3.75,32.62,5.7,32.75,0.72
2022,284,2.2,16.23,9.62,12.93,16.3,8.12,67.19,0.0,93.25,2.16,33.0,3.5,33.25,0.71
2022,285,1.95,17.91,12.17,15.04,18.05,9.58,70.69,0.0,93.1,1.49,56.0,2.53,56.06,0.7
