-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  16.0471   Longitude 108.2062 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,6.86,17.21,0.48,2.53
2021,10,2,6.57,16.76,0.48,2.51
2021,10,3,6.4,16.38,0.46,2.4
2021,10,4,3.34,9.65,0.28,1.44
2021,10,5,5.22,14.18,0.4,2.05
2021,10,6,0.69,2.47,0.06,0.34
2021,10,7,0.84,2.98,0.08,0.39
2021,10,8,2.37,7.59,0.22,1.1
2021,10,9,4.48,12.19,0.35,1.78
2021,10,10,5.13,13.7,0.39,1.99
2021,10,11,5.52,14.46,0.41,2.12
2021,10,12,3.6,10.3,0.3,1.49
2021,10,13,0.96,3.38,0.1,0.51
2021,10,14,3.96,11.45,0.33,1.69
2021,10,15,3.44,10.48,0.3,1.52
2021,10,16,2.02,6.7,0.2,0.97
2021,10,17,0.61,2.2,0.05,0.29
2021,10,18,1.59,5.25,0.15,0.77
2021,10,19,1.36,4.57,0.12,0.63
2021,10,20,4.67,12.88,0.36,1.82
2021,10,21,6.1,15.59,0.41,2.12
2021,10,22,2.82,8.81,0.25,1.27
2021,10,23,1.66,5.5,0.15,0.76
2021,10,24,2.15,6.78,0.19,0.95
2021,10,25,3.69,10.2,0.28,1.41
2021,10,26,3.28,9.28,0.26,1.3
2021,10,27,3.62,10.74,0.3,1.54
2021,10,28,1.58,5.38,0.15,0.77
2021,10,29,4.2,11.76,0.33,1.71
2021,10,30,3.68,10.7,0.3,1.54
2021,10,31,2.63,8.4,0.23,1.19
2021,11,1,4.02,11.16,0.3,1.55
2021,11,2,5.25,13.51,0.36,1.86
2021,11,3,5.23,13.49,0.37,1.89
2021,11,4,5.03,13.1,0.35,1.81
2021,11,5,5.53,14.09,0.38,1.95
2021,11,6,5.83,14.56,0.38,1.96
2021,11,7,5.69,14.03,0.37,1.9
2021,11,8,2.59,7.85,0.23,1.16
2021,11,9,1.79,5.75,0.17,0.88
2021,11,10,1.61,5.13,0.14,0.76
2021,11,11,1.54,5.15,0.15,0.78
2021,11,12,3.17,9.02,0.25,1.31
2021,11,13,1.72,5.38,0.15,0.77
2021,11,14,1.35,4.48,0.12,0.65
2021,11,15,2.2,6.97,0.2,1.04
2021,11,16,3.09,9.09,0.24,1.3
2021,11,17,3.2,9.23,0.25,1.35
2021,11,18,3.52,9.71,0.27,1.39
2021,11,19,4.55,11.89,0.3,1.59
2021,11,20,5.18,13.14,0.32,1.63
2021,11,21,5.09,12.87,0.31,1.59
2021,11,22,4.91,12.62,0.32,1.65
2021,11,23,1.83,5.64,0.15,0.78
2021,11,24,1.74,5.18,0.13,0.71
2021,11,25,2.35,7.02,0.19,0.97
2021,11,26,3.09,8.48,0.23,1.19
2021,11,27,2.48,7.27,0.2,1.05
2021,11,28,1.84,5.74,0.16,0.8
2021,11,29,1.71,5.52,0.15,0.77
2021,11,30,3.52,9.05,0.23,1.21
2021,12,1,2.76,7.3,0.2,1.03
2021,12,2,3.94,9.91,0.25,1.3
2021,12,3,4.4,10.63,0.26,1.34
2021,12,4,4.69,10.78,0.26,1.34
2021,12,5,1.09,3.6,0.09,0.51
2021,12,6,1.08,3.48,0.09,0.48
2021,12,7,3.37,8.82,0.23,1.19
2021,12,8,1.33,4.5,0.12,0.64
2021,12,9,4.62,11.4,0.28,1.46
2021,12,10,4.7,11.59,0.28,1.45
2021,12,11,3.72,9.88,0.27,1.45
2021,12,12,3.0,8.45,0.23,1.23
2021,12,13,3.34,8.76,0.23,1.23
2021,12,14,2.53,7.23,0.2,1.08
2021,12,15,1.57,5.1,0.14,0.78
2021,12,16,2.86,8.3,0.23,1.23
2021,12,17,2.07,6.27,0.17,0.93
2021,12,18,2.31,6.11,0.16,0.84
2021,12,19,0.89,2.84,0.08,0.41
2021,12,20,1.86,5.45,0.16,0.88
2021,12,21,2.24,6.7,0.2,1.1
2021,12,22,2.46,7.28,0.2,1.09
2021,12,23,1.64,5.41,0.16,0.86
2021,12,24,2.29,6.77,0.19,1.02
2021,12,25,1.55,5.05,0.14,0.76
2021,12,26,1.34,4.44,0.12,0.63
2021,12,27,1.19,3.94,0.11,0.56
2021,12,28,1.52,4.95,0.14,0.76
2021,12,29,2.14,6.54,0.18,0.95
2021,12,30,3.73,9.78,0.26,1.37
2021,12,31,2.92,7.96,0.21,1.13
