-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  16.0471   Longitude 108.2062 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.53,27.48,23.01,25.25,27.8,17.88,78.31,2.59,99.13,1.52,122.81,2.22,121.25,0.73
2021,275,2.51,27.4,23.69,25.54,27.8,18.62,81.25,14.53,99.19,1.71,120.75,2.48,120.0,0.8
2021,276,2.4,26.93,23.25,25.09,27.42,18.13,81.19,4.38,99.17,1.76,118.88,2.55,119.06,0.77
2021,277,1.44,27.07,24.68,25.87,27.19,19.78,86.94,18.96,99.12,1.83,43.75,2.59,43.38,0.82
2021,278,2.05,26.85,24.66,25.76,26.99,19.71,87.88,12.73,99.04,1.93,51.94,2.8,50.31,0.81
2021,279,0.34,26.48,25.22,25.85,26.76,20.51,92.81,102.93,98.72,2.55,65.12,3.68,63.31,0.95
2021,280,0.39,26.87,25.55,26.21,27.01,20.94,92.44,80.18,98.4,3.34,324.0,4.73,323.56,0.98
2021,281,1.1,26.36,24.85,25.61,26.51,20.14,91.44,59.66,98.27,4.34,294.25,6.25,293.44,0.95
2021,282,1.78,27.07,23.91,25.49,27.2,18.98,83.75,4.41,98.52,3.35,293.69,4.8,292.56,0.86
2021,283,1.99,27.73,24.65,26.19,27.82,19.84,84.19,13.11,98.61,2.02,166.62,2.77,166.38,0.87
2021,284,2.12,27.48,25.23,26.35,27.68,20.51,87.88,5.96,98.71,2.12,86.62,3.05,85.69,0.84
2021,285,1.49,25.68,23.27,24.48,26.05,18.25,86.69,20.28,98.71,3.55,204.81,5.12,204.94,0.88
2021,286,0.51,23.67,21.87,22.77,24.58,16.72,89.62,24.01,98.44,3.95,295.44,5.49,294.62,0.9
2021,287,1.69,26.16,21.94,24.05,26.66,16.85,78.88,3.38,98.65,1.59,125.62,2.32,126.56,0.85
2021,288,1.52,25.66,24.39,25.02,26.18,19.41,92.62,18.9,98.87,2.25,52.62,3.34,48.38,0.88
2021,289,0.97,26.18,25.08,25.63,26.48,20.26,93.62,136.43,98.94,3.64,115.12,5.39,114.25,0.98
2021,290,0.29,26.06,25.11,25.58,26.33,20.26,94.44,104.51,99.08,4.73,81.25,6.93,80.5,0.98
2021,291,0.77,25.96,24.54,25.25,26.26,19.47,91.88,14.48,99.46,2.34,95.38,3.32,92.88,0.93
2021,292,0.63,26.24,24.69,25.46,26.34,19.65,91.19,9.77,99.65,1.66,83.19,2.3,82.38,0.91
2021,293,1.82,26.35,24.1,25.23,26.48,18.98,87.81,1.46,99.58,1.32,83.44,1.89,83.38,0.9
2021,294,2.12,26.6,24.23,25.41,26.77,19.17,87.38,5.13,99.45,1.49,98.56,2.19,99.06,0.9
2021,295,1.27,25.81,23.96,24.88,26.14,18.8,89.69,67.46,99.63,2.62,36.94,3.88,36.5,0.97
2021,296,0.76,24.28,22.73,23.51,24.95,17.4,91.12,167.01,99.78,3.76,20.25,5.42,19.81,1.0
2021,297,0.95,23.97,22.3,23.14,24.51,16.97,90.44,79.68,99.71,3.96,15.38,5.75,14.38,0.99
2021,298,1.41,23.93,21.65,22.79,24.53,16.3,87.19,15.3,99.61,2.88,13.5,4.23,43.69,0.96
2021,299,1.3,24.15,22.15,23.15,24.73,16.91,88.75,28.72,99.47,2.89,238.56,4.22,238.25,0.96
2021,300,1.54,25.67,24.55,25.11,25.8,19.53,93.5,78.49,99.4,2.95,58.94,4.43,57.88,0.99
2021,301,0.77,25.37,24.23,24.8,25.6,19.1,93.38,29.22,99.5,2.42,101.81,3.54,99.88,0.98
2021,302,1.71,25.58,23.99,24.79,25.7,18.86,91.0,14.36,99.63,1.78,67.75,2.57,66.94,0.98
2021,303,1.54,25.69,24.01,24.86,25.83,18.86,90.62,16.55,99.64,2.01,85.69,2.94,84.06,0.98
2021,304,1.19,25.69,23.83,24.76,25.79,18.62,89.62,19.93,99.62,1.98,85.44,2.88,84.81,0.97
2021,305,1.55,25.44,23.44,24.44,25.56,18.19,88.88,9.31,99.62,2.07,96.06,3.06,95.94,0.97
2021,306,1.86,25.52,23.4,24.46,25.55,18.19,88.31,5.53,99.62,1.96,69.38,2.92,69.06,0.96
2021,307,1.89,25.61,23.11,24.36,25.65,17.88,86.38,2.92,99.55,1.62,47.75,2.38,47.81,0.95
2021,308,1.81,25.67,23.24,24.45,25.77,18.01,86.81,4.3,99.46,1.47,80.06,2.14,79.75,0.95
2021,309,1.95,25.86,22.86,24.36,25.87,17.64,83.94,0.19,99.29,1.41,95.75,2.04,95.38,0.94
2021,310,1.96,25.96,22.68,24.32,26.0,17.46,82.62,0.01,99.1,1.49,104.81,2.2,104.06,0.93
2021,311,1.9,25.58,22.25,23.92,25.73,16.97,82.25,1.96,99.24,1.57,79.94,2.33,80.19,0.92
2021,312,1.16,24.55,22.78,23.66,24.8,17.52,89.81,84.73,99.54,3.41,21.69,5.12,20.94,0.98
2021,313,0.88,22.58,20.17,21.37,23.37,14.89,86.38,17.17,99.78,3.18,144.0,4.62,144.06,0.95
2021,314,0.76,22.22,19.96,21.09,23.06,14.65,87.12,15.39,99.78,2.98,6.38,4.33,35.38,0.95
2021,315,0.78,22.99,20.49,21.74,23.53,15.2,85.94,3.24,99.64,2.45,32.94,3.57,32.38,0.95
2021,316,1.31,23.7,21.8,22.76,24.07,16.48,89.12,9.68,99.67,2.91,28.75,4.26,28.25,0.95
2021,317,0.77,22.9,20.94,21.92,23.37,15.62,88.69,30.66,99.68,3.46,20.81,5.02,19.62,0.97
2021,318,0.65,23.15,21.44,22.3,23.64,16.11,90.19,21.72,99.64,2.88,30.69,4.07,29.12,0.96
2021,319,1.04,24.24,22.8,23.51,24.39,17.52,91.62,22.57,99.46,2.75,61.0,4.01,60.12,0.97
2021,320,1.3,24.83,23.39,24.11,24.99,18.19,91.75,9.6,99.46,2.67,52.75,3.96,52.25,0.96
2021,321,1.35,25.23,24.15,24.69,25.29,19.04,93.69,27.4,99.5,2.87,54.69,4.29,54.12,0.97
2021,322,1.39,24.72,23.13,23.92,24.86,17.88,90.94,8.42,99.39,2.85,42.25,4.28,41.94,0.96
2021,323,1.59,24.4,21.93,23.16,24.6,16.66,86.38,0.48,99.22,1.68,73.06,2.48,73.69,0.95
2021,324,1.63,24.56,21.9,23.23,24.55,16.66,85.62,0.23,99.21,1.54,111.0,2.28,111.0,0.95
2021,325,1.59,24.88,22.74,23.81,24.86,17.52,88.25,0.98,99.36,1.55,110.12,2.32,110.56,0.94
2021,326,1.65,24.82,22.58,23.69,24.76,17.27,87.75,15.53,99.54,2.06,48.06,3.09,47.81,0.95
2021,327,0.78,23.23,21.34,22.29,23.65,15.99,89.19,29.83,99.76,3.88,38.44,5.77,38.5,0.96
2021,328,0.71,22.2,20.35,21.28,22.87,15.01,89.38,22.24,99.79,3.56,20.44,5.22,20.06,0.96
2021,329,0.97,22.23,19.76,20.99,22.83,14.47,86.12,8.09,99.77,2.77,17.94,4.02,18.06,0.95
2021,330,1.19,22.14,19.27,20.71,22.61,14.04,84.0,3.23,99.76,2.66,126.0,3.86,125.44,0.95
2021,331,1.05,22.79,20.92,21.85,23.11,15.62,89.25,10.85,99.75,3.41,35.5,5.03,49.38,0.95
2021,332,0.8,23.28,21.95,22.62,23.58,16.6,92.19,35.3,99.62,4.45,33.5,6.63,32.5,0.97
2021,333,0.77,23.59,22.25,22.92,23.73,16.97,92.12,56.81,99.56,4.11,34.25,6.16,33.19,0.98
2021,334,1.21,22.65,20.27,21.46,22.71,14.95,86.44,8.11,99.8,3.38,21.81,4.99,20.44,0.96
2021,335,1.03,21.37,18.28,19.83,21.87,13.18,82.62,7.03,99.97,2.97,20.75,4.34,20.75,0.96
2021,336,1.3,20.62,17.82,19.22,21.26,12.82,84.12,1.12,100.01,3.0,23.12,4.41,22.5,0.95
2021,337,1.34,20.13,16.11,18.12,20.52,11.47,77.94,1.21,100.07,2.67,21.56,3.89,21.31,0.95
2021,338,1.34,19.27,14.65,16.96,19.65,10.5,75.12,0.08,100.02,2.72,70.44,3.97,84.88,0.94
2021,339,0.51,20.57,18.58,19.58,21.11,13.49,88.62,1.18,99.9,3.38,14.31,4.99,13.25,0.93
2021,340,0.48,20.33,17.37,18.85,20.83,12.45,83.44,0.36,99.92,2.83,170.25,4.18,153.94,0.92
2021,341,1.19,20.02,16.76,18.4,20.61,12.02,82.06,0.63,99.93,2.36,157.56,3.39,170.88,0.92
2021,342,0.64,22.14,20.56,21.35,22.33,15.26,91.0,4.91,99.86,2.87,39.62,4.29,52.56,0.92
2021,343,1.46,22.64,20.32,21.48,22.61,14.95,86.94,7.29,100.01,3.01,68.06,4.48,67.38,0.92
2021,344,1.45,21.8,18.74,20.27,21.9,13.55,83.0,0.5,99.95,2.34,49.38,3.48,49.12,0.91
2021,345,1.45,22.03,19.87,20.95,22.22,14.59,87.81,4.04,99.88,2.38,36.75,3.55,36.81,0.91
2021,346,1.23,22.59,20.34,21.47,22.65,15.01,87.19,11.3,99.94,3.11,48.06,4.7,47.69,0.92
2021,347,1.23,21.58,19.38,20.48,21.91,14.1,87.38,5.4,99.93,3.13,36.56,4.66,36.62,0.91
2021,348,1.08,22.15,20.39,21.27,22.44,15.08,89.81,7.91,99.67,2.7,44.5,4.0,44.5,0.92
2021,349,0.78,22.79,21.12,21.95,22.94,15.81,90.44,1.85,99.52,2.02,50.69,3.01,50.94,0.91
2021,350,1.23,23.26,21.46,22.36,23.23,16.11,89.88,0.8,99.54,1.78,45.94,2.68,46.12,0.91
2021,351,0.93,22.87,21.06,21.97,22.94,15.69,89.69,5.54,99.74,2.64,49.06,4.0,49.38,0.91
2021,352,0.84,21.94,19.74,20.84,22.16,14.47,87.38,19.4,99.86,3.95,35.62,5.87,35.69,0.93
2021,353,0.41,19.52,17.9,18.71,20.44,12.88,90.44,39.67,99.74,4.88,186.62,7.11,185.62,0.96
2021,354,0.88,20.31,18.48,19.4,21.15,13.43,89.44,2.71,99.57,4.09,315.44,5.86,316.81,0.92
2021,355,1.1,20.58,18.48,19.54,21.26,13.37,87.94,0.39,99.7,2.54,333.5,3.64,335.44,0.91
2021,356,1.09,21.16,18.87,20.02,21.62,13.73,86.94,1.03,99.7,1.82,193.94,2.67,179.44,0.91
2021,357,0.86,21.76,19.84,20.8,22.07,14.59,88.88,2.04,99.6,1.44,66.62,2.18,66.69,0.91
2021,358,1.02,22.46,20.63,21.55,22.51,15.32,89.62,5.38,99.61,1.41,65.44,2.06,66.31,0.91
2021,359,0.76,22.83,21.59,22.21,22.7,16.24,92.75,45.8,99.72,2.73,74.44,4.08,74.06,0.96
2021,360,0.63,22.75,21.42,22.08,22.74,16.05,92.19,89.51,99.91,3.27,68.12,4.91,67.38,0.99
2021,361,0.56,21.37,20.22,20.79,21.64,14.89,93.19,74.11,100.08,4.42,25.56,6.58,23.88,0.99
2021,362,0.76,21.73,20.56,21.15,21.9,15.2,93.12,39.5,100.04,2.88,41.0,4.23,39.5,0.98
2021,363,0.95,22.4,20.86,21.62,22.45,15.44,91.12,9.73,100.06,2.62,53.19,3.94,52.94,0.97
2021,364,1.37,21.9,20.16,21.04,21.98,14.77,89.88,6.3,100.22,3.36,43.94,5.05,43.94,0.97
2021,365,1.13,21.38,19.19,20.29,21.58,13.92,87.44,2.72,100.2,2.73,50.12,4.08,49.81,0.96
