-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  16.0774   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.38,10.41,0.3,1.55
2022,10,2,5.52,15.06,0.45,2.27
2022,10,3,5.72,15.35,0.45,2.33
2022,10,4,1.59,5.3,0.16,0.77
2022,10,5,4.5,12.97,0.39,1.97
2022,10,6,3.04,9.59,0.27,1.37
2022,10,7,5.58,14.98,0.43,2.17
2022,10,8,4.67,13.29,0.38,1.96
2022,10,9,3.93,11.66,0.33,1.68
2022,10,10,2.71,8.29,0.25,1.24
2022,10,11,3.97,10.76,0.3,1.55
2022,10,12,3.3,9.52,0.27,1.38
2022,10,13,3.52,9.5,0.26,1.31
2022,10,14,0.55,1.95,0.05,0.25
2022,10,15,2.61,8.41,0.24,1.24
2022,10,16,4.04,10.43,0.28,1.42
2022,10,17,4.76,11.97,0.33,1.66
2022,10,18,3.78,8.99,0.24,1.22
2022,10,19,1.11,3.98,0.12,0.59
2022,10,20,3.33,9.77,0.27,1.37
2022,10,21,4.28,11.84,0.32,1.62
2022,10,22,1.71,5.8,0.16,0.82
2022,10,23,4.92,12.49,0.34,1.75
2022,10,24,2.39,7.45,0.22,1.1
2022,10,25,1.45,5.04,0.14,0.71
2022,10,26,4.8,12.95,0.36,1.85
2022,10,27,4.31,11.79,0.32,1.65
2022,10,28,5.11,13.0,0.34,1.78
2022,10,29,3.62,9.77,0.27,1.36
2022,10,30,3.54,9.73,0.27,1.4
2022,10,31,4.46,11.27,0.31,1.63
2022,11,1,4.03,10.02,0.27,1.41
2022,11,2,5.18,12.65,0.34,1.77
2022,11,3,5.48,12.84,0.33,1.68
2022,11,4,5.33,12.66,0.32,1.65
2022,11,5,4.59,12.03,0.32,1.64
2022,11,6,4.15,11.24,0.3,1.56
2022,11,7,4.66,12.16,0.33,1.7
2022,11,8,3.18,9.34,0.26,1.34
2022,11,9,3.35,9.73,0.27,1.38
2022,11,10,4.04,11.07,0.29,1.5
2022,11,11,5.27,13.28,0.34,1.73
2022,11,12,3.82,10.74,0.3,1.56
2022,11,13,4.49,11.92,0.34,1.77
2022,11,14,4.96,12.98,0.36,1.91
2022,11,15,4.84,12.6,0.34,1.82
2022,11,16,4.92,12.79,0.36,1.89
2022,11,17,4.62,12.16,0.34,1.84
2022,11,18,5.11,12.9,0.36,1.93
2022,11,19,3.35,9.62,0.28,1.52
2022,11,20,3.56,10.05,0.28,1.53
2022,11,21,1.45,4.87,0.15,0.78
2022,11,22,2.56,7.93,0.23,1.2
2022,11,23,3.63,10.32,0.3,1.59
2022,11,24,3.71,10.41,0.3,1.59
2022,11,25,4.09,10.83,0.3,1.64
2022,11,26,3.26,9.45,0.27,1.47
2022,11,27,4.61,11.98,0.33,1.73
2022,11,28,5.31,13.34,0.35,1.85
2022,11,29,5.35,13.27,0.35,1.82
2022,11,30,4.92,12.52,0.34,1.79
2022,12,1,4.58,11.69,0.31,1.69
2022,12,2,2.29,6.93,0.2,1.07
2022,12,3,1.86,5.82,0.17,0.95
2022,12,4,3.2,9.08,0.27,1.51
2022,12,5,1.48,4.77,0.14,0.77
2022,12,6,2.02,6.13,0.19,1.02
2022,12,7,2.37,7.02,0.2,1.11
2022,12,8,2.83,7.97,0.23,1.25
2022,12,9,1.72,5.48,0.16,0.88
2022,12,10,2.82,7.98,0.23,1.31
2022,12,11,2.89,8.01,0.23,1.3
2022,12,12,2.9,7.62,0.22,1.23
2022,12,13,3.48,8.35,0.23,1.3
2022,12,14,1.45,4.35,0.12,0.72
2022,12,15,2.25,6.23,0.18,0.99
2022,12,16,1.19,4.01,0.12,0.7
2022,12,17,1.09,3.56,0.11,0.61
2022,12,18,0.79,2.61,0.08,0.45
2022,12,19,2.25,6.46,0.2,1.08
2022,12,20,1.59,5.12,0.16,0.88
2022,12,21,1.61,5.08,0.15,0.83
2022,12,22,2.34,6.48,0.17,0.95
2022,12,23,3.79,9.71,0.25,1.31
2022,12,24,4.63,11.02,0.28,1.47
2022,12,25,4.67,11.31,0.3,1.56
2022,12,26,2.81,7.87,0.22,1.21
2022,12,27,4.32,10.86,0.29,1.58
2022,12,28,3.03,8.46,0.24,1.34
2022,12,29,1.99,6.07,0.18,0.98
2022,12,30,2.21,6.33,0.19,1.01
2022,12,31,3.32,7.96,0.22,1.2
