-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  16.0774   Longitude 108.0229 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.55,27.34,24.99,26.16,27.57,20.14,87.69,19.11,99.07,2.12,130.88,2.87,130.44,0.89
2022,275,2.27,26.43,24.65,25.54,26.8,19.65,90.0,13.24,99.13,2.54,113.38,3.6,111.12,0.89
2022,276,2.33,26.19,23.99,25.09,26.7,18.92,87.81,3.4,99.25,1.65,94.19,2.4,94.0,0.86
2022,277,0.77,26.5,23.62,25.05,26.69,18.43,84.31,9.94,99.4,1.16,71.5,1.6,72.0,0.88
2022,278,1.97,26.24,23.23,24.74,26.34,18.07,83.62,7.38,99.42,0.73,108.62,1.02,109.25,0.87
2022,279,1.37,26.73,23.65,25.19,26.78,18.49,83.56,15.37,99.38,0.91,61.88,1.28,61.88,0.9
2022,280,2.17,26.4,23.52,24.96,26.79,18.37,84.5,6.95,99.4,1.47,182.25,2.13,181.44,0.88
2022,281,1.96,26.84,23.49,25.17,27.05,18.31,82.38,22.71,99.42,1.17,64.5,1.72,66.31,0.91
2022,282,1.68,26.31,24.93,25.62,26.45,19.96,92.06,69.97,99.53,2.09,50.81,3.05,48.81,0.98
2022,283,1.24,25.45,24.0,24.73,25.77,18.86,91.56,137.37,99.66,3.62,34.56,5.33,33.94,1.0
2022,284,1.55,24.78,22.12,23.45,25.26,16.78,85.25,39.52,99.63,3.21,16.38,4.75,16.25,0.97
2022,285,1.38,24.54,21.28,22.91,25.01,15.99,82.31,3.9,99.52,2.47,70.25,3.62,84.75,0.93
