-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  12.8706   Longitude 108.2371 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 397.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.13,14.27,0.44,2.26
2021,10,2,5.12,13.89,0.42,2.18
2021,10,3,4.2,11.88,0.36,1.84
2021,10,4,3.96,11.36,0.34,1.74
2021,10,5,3.89,11.48,0.36,1.81
2021,10,6,1.95,6.34,0.2,1.01
2021,10,7,3.65,10.91,0.34,1.7
2021,10,8,2.61,8.14,0.25,1.29
2021,10,9,4.71,13.38,0.41,2.05
2021,10,10,3.65,10.37,0.3,1.52
2021,10,11,4.73,13.06,0.38,1.96
2021,10,12,4.33,12.16,0.36,1.81
2021,10,13,2.46,7.81,0.23,1.2
2021,10,14,3.82,11.2,0.35,1.77
2021,10,15,4.32,12.22,0.37,1.85
2021,10,16,2.69,8.25,0.25,1.25
2021,10,17,2.59,8.12,0.26,1.29
2021,10,18,4.97,13.77,0.41,2.1
2021,10,19,5.35,14.33,0.42,2.2
2021,10,20,4.47,12.63,0.38,1.93
2021,10,21,4.98,13.58,0.4,2.05
2021,10,22,4.86,13.27,0.39,2.02
2021,10,23,3.89,11.09,0.33,1.68
2021,10,24,2.87,8.84,0.26,1.31
2021,10,25,1.35,4.45,0.13,0.66
2021,10,26,1.58,5.23,0.15,0.77
2021,10,27,1.58,5.15,0.16,0.81
2021,10,28,5.18,13.8,0.4,2.07
2021,10,29,4.77,13.03,0.38,1.98
2021,10,30,4.25,11.9,0.34,1.75
2021,10,31,2.62,8.14,0.23,1.2
2021,11,1,4.04,11.39,0.32,1.63
2021,11,2,5.29,13.73,0.38,1.99
2021,11,3,4.3,11.91,0.35,1.81
2021,11,4,4.64,12.61,0.37,1.88
2021,11,5,4.67,12.67,0.36,1.84
2021,11,6,5.38,13.98,0.39,2.04
2021,11,7,3.56,10.18,0.3,1.54
2021,11,8,4.06,11.34,0.34,1.73
2021,11,9,1.73,5.63,0.16,0.82
2021,11,10,1.62,5.3,0.16,0.8
2021,11,11,1.22,4.09,0.12,0.62
2021,11,12,2.95,8.89,0.26,1.34
2021,11,13,2.76,8.26,0.25,1.3
2021,11,14,2.23,7.05,0.21,1.1
2021,11,15,2.39,7.29,0.21,1.1
2021,11,16,1.91,6.12,0.18,0.92
2021,11,17,2.54,7.7,0.23,1.21
2021,11,18,2.68,8.04,0.23,1.2
2021,11,19,3.2,9.12,0.25,1.3
2021,11,20,3.39,9.71,0.27,1.37
2021,11,21,3.51,9.93,0.28,1.46
2021,11,22,1.89,6.05,0.16,0.88
2021,11,23,2.56,7.61,0.22,1.13
2021,11,24,3.01,8.84,0.26,1.34
2021,11,25,2.6,7.97,0.23,1.21
2021,11,26,2.11,6.53,0.19,0.97
2021,11,27,1.31,4.27,0.12,0.65
2021,11,28,1.56,5.13,0.15,0.77
2021,11,29,2.44,7.48,0.21,1.12
2021,11,30,0.94,3.16,0.09,0.48
2021,12,1,3.17,8.6,0.25,1.32
2021,12,2,3.44,9.3,0.26,1.37
2021,12,3,2.8,7.8,0.21,1.11
2021,12,4,4.49,11.23,0.31,1.66
2021,12,5,2.16,6.38,0.18,0.97
2021,12,6,2.56,7.27,0.2,1.05
2021,12,7,3.82,10.08,0.27,1.42
2021,12,8,2.55,7.31,0.2,1.05
2021,12,9,2.99,8.37,0.23,1.2
2021,12,10,4.71,11.94,0.34,1.77
2021,12,11,3.44,9.17,0.25,1.32
2021,12,12,3.77,10.3,0.28,1.47
2021,12,13,3.06,8.58,0.24,1.3
2021,12,14,3.0,8.2,0.22,1.15
2021,12,15,3.57,9.77,0.27,1.4
2021,12,16,4.35,11.41,0.33,1.75
2021,12,17,3.51,9.79,0.29,1.56
2021,12,18,2.87,7.73,0.21,1.14
2021,12,19,1.64,5.16,0.15,0.79
2021,12,20,4.8,12.29,0.34,1.83
2021,12,21,4.11,10.79,0.31,1.71
2021,12,22,3.15,8.43,0.24,1.29
2021,12,23,3.42,9.28,0.27,1.45
2021,12,24,4.37,11.31,0.32,1.73
2021,12,25,4.34,11.2,0.3,1.61
2021,12,26,3.07,8.42,0.24,1.27
2021,12,27,2.97,8.21,0.23,1.26
2021,12,28,2.7,7.89,0.23,1.23
2021,12,29,2.66,7.82,0.23,1.22
2021,12,30,3.06,8.64,0.24,1.3
2021,12,31,4.11,10.73,0.3,1.62
