-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  12.8706   Longitude 108.2371 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 397.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.37,25.08,22.56,23.82,24.98,17.88,87.12,0.51,96.41,0.07,170.94,0.89,167.69,0.94
2022,275,2.16,25.4,22.73,24.06,25.4,18.07,86.94,4.74,96.35,0.02,100.5,0.98,96.69,0.94
2022,276,2.12,24.55,22.74,23.65,24.56,18.01,90.44,3.41,96.39,0.02,82.56,1.72,80.38,0.93
2022,277,1.64,23.72,22.18,22.95,23.72,17.4,91.62,8.94,96.58,0.02,82.94,1.72,77.81,0.95
2022,278,1.88,24.18,21.62,22.9,24.19,16.78,86.88,2.37,96.57,0.02,78.06,1.96,75.06,0.93
2022,279,2.09,24.24,21.4,22.82,24.22,16.6,86.06,2.15,96.61,0.04,96.25,1.46,89.69,0.92
2022,280,1.87,24.11,21.02,22.57,24.06,16.24,84.81,4.08,96.57,0.05,84.88,1.6,79.56,0.92
2022,281,1.26,24.5,22.28,23.39,24.51,17.52,88.69,11.11,96.59,0.02,86.75,1.8,84.38,0.93
2022,282,1.8,24.01,22.27,23.14,24.01,17.52,90.62,5.11,96.67,0.03,78.0,1.56,78.19,0.92
2022,283,1.05,23.39,22.16,22.78,23.4,17.4,93.19,26.31,96.72,0.02,72.0,1.73,73.5,0.95
2022,284,0.54,23.77,23.02,23.4,23.77,18.31,95.62,19.23,96.62,0.02,54.31,1.93,55.06,0.95
2022,285,1.41,24.38,21.99,23.19,24.39,17.21,87.88,7.21,96.55,0.03,47.19,2.1,46.88,0.94
