-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  12.8706   Longitude 108.2371 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 397.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.26,26.56,22.58,24.57,26.43,18.01,82.25,7.93,96.4,0.02,129.44,0.54,135.81,0.91
2021,275,2.18,26.15,23.24,24.69,25.96,18.68,85.69,4.48,96.47,0.08,188.12,0.57,207.0,0.91
2021,276,1.84,24.97,22.61,23.79,24.95,17.94,88.06,4.22,96.42,0.02,94.94,1.02,91.69,0.91
2021,277,1.74,24.97,22.51,23.74,24.98,17.82,87.69,6.37,96.3,0.02,61.69,1.52,62.12,0.91
2021,278,1.81,24.21,22.56,23.39,24.19,17.88,91.19,24.98,96.22,0.04,54.75,1.35,55.12,0.92
2021,279,1.01,23.37,21.69,22.52,23.21,17.03,90.88,36.77,95.98,0.07,236.5,1.02,206.19,0.97
2021,280,1.7,23.3,22.2,22.75,23.31,17.58,93.81,6.47,95.89,0.02,247.06,1.67,241.44,0.93
2021,281,1.29,24.72,23.04,23.88,24.73,18.49,91.0,5.57,95.88,0.03,252.0,2.48,248.44,0.92
2021,282,2.05,25.04,23.1,24.07,25.05,18.49,89.88,8.07,96.06,0.03,240.69,2.23,236.69,0.92
2021,283,1.52,24.79,23.06,23.93,24.76,18.43,90.94,8.01,96.09,0.05,240.19,1.61,233.81,0.92
2021,284,1.96,25.27,23.61,24.44,25.26,19.1,91.31,6.61,96.0,0.03,253.56,1.34,245.5,0.92
2021,285,1.81,24.81,23.33,24.07,24.82,18.8,92.12,6.24,95.97,0.02,250.56,1.57,248.0,0.92
2021,286,1.2,23.14,22.2,22.67,23.13,17.58,94.62,18.74,95.86,0.02,257.44,1.66,257.38,0.94
2021,287,1.77,23.86,22.41,23.14,23.87,17.82,92.19,11.07,96.08,0.02,247.12,1.28,239.38,0.94
2021,288,1.85,24.88,23.08,23.98,24.87,18.49,90.75,19.19,96.15,0.02,257.56,0.94,247.38,0.95
2021,289,1.25,23.58,22.6,23.08,23.45,17.88,94.38,78.53,96.25,0.05,199.94,1.06,182.31,0.98
2021,290,1.29,23.97,22.68,23.32,23.97,18.01,92.94,45.66,96.31,0.02,126.12,1.55,123.94,0.98
2021,291,2.1,24.33,22.79,23.56,24.33,18.07,91.81,1.99,96.6,0.02,85.75,1.62,82.5,0.96
2021,292,2.2,24.87,22.91,23.89,24.87,18.13,89.75,0.94,96.82,0.02,77.62,1.44,76.19,0.95
2021,293,1.93,24.83,22.32,23.58,24.84,17.52,87.44,1.55,96.8,0.02,84.56,1.47,82.81,0.95
2021,294,2.05,24.53,22.62,23.58,24.54,17.88,90.19,7.26,96.7,0.02,83.94,1.23,82.94,0.95
2021,295,2.02,24.48,22.56,23.52,24.49,17.76,90.06,5.66,96.75,0.02,80.81,1.4,82.0,0.95
2021,296,1.68,23.14,21.93,22.53,23.12,17.09,93.25,11.97,96.83,0.02,69.19,1.91,69.81,0.95
2021,297,1.31,22.94,20.68,21.81,22.97,15.87,88.62,22.76,96.7,0.02,74.5,1.76,71.88,0.96
2021,298,0.66,24.01,22.23,23.12,24.01,17.46,90.62,10.84,96.56,0.04,49.38,2.33,48.75,0.95
2021,299,0.77,23.56,21.95,22.76,23.57,17.21,91.38,7.16,96.44,0.03,32.06,1.7,34.38,0.95
2021,300,0.81,23.73,23.23,23.48,23.73,18.62,97.0,57.65,96.28,0.03,154.25,2.15,147.25,0.98
2021,301,2.07,24.6,22.61,23.61,24.61,17.82,89.44,0.86,96.62,0.02,90.5,1.73,87.56,0.95
2021,302,1.98,24.37,22.41,23.39,24.37,17.58,89.56,0.76,96.76,0.02,70.44,1.77,71.69,0.95
2021,303,1.75,24.18,22.25,23.22,24.19,17.4,89.88,1.87,96.8,0.02,72.25,1.78,72.25,0.95
2021,304,1.2,24.12,22.4,23.26,24.12,17.58,90.81,3.95,96.77,0.02,69.88,1.76,69.5,0.94
2021,305,1.63,24.23,21.89,23.06,24.23,17.03,87.88,0.47,96.73,0.03,70.06,2.09,70.38,0.93
2021,306,1.99,24.17,21.57,22.87,24.18,16.72,86.88,0.66,96.72,0.03,67.56,2.06,68.81,0.92
2021,307,1.81,24.39,21.96,23.18,24.4,17.15,87.75,1.66,96.66,0.03,61.44,2.02,63.5,0.92
2021,308,1.88,24.51,21.97,23.24,24.53,17.15,87.0,0.54,96.6,0.02,70.25,1.88,70.44,0.91
2021,309,1.84,24.52,22.26,23.4,24.53,17.52,88.12,0.0,96.49,0.02,71.0,1.49,72.19,0.91
2021,310,2.04,25.74,22.26,24.01,25.76,17.58,83.44,0.09,96.31,0.02,77.94,1.4,77.19,0.91
2021,311,1.54,24.8,21.53,23.16,24.81,16.78,84.25,1.28,96.37,0.02,73.88,1.72,74.81,0.9
2021,312,1.73,24.53,23.05,23.8,24.55,18.37,92.0,10.78,96.47,0.03,71.88,2.2,71.94,0.92
2021,313,0.82,23.68,22.4,23.04,23.67,17.64,92.81,9.25,96.66,0.04,63.88,2.68,63.81,0.92
2021,314,0.8,22.87,21.52,22.19,22.87,16.72,92.44,9.69,96.66,0.04,55.94,2.55,55.31,0.92
2021,315,0.62,22.96,21.77,22.37,22.97,16.97,93.25,24.26,96.58,0.04,58.06,2.6,56.88,0.95
2021,316,1.34,23.4,22.18,22.79,23.4,17.4,93.19,12.68,96.64,0.03,57.75,2.38,58.19,0.93
2021,317,1.3,24.0,22.75,23.37,24.01,18.01,93.19,10.75,96.59,0.03,73.44,2.06,72.06,0.93
2021,318,1.1,23.96,22.5,23.23,23.96,17.7,92.06,20.76,96.6,0.03,59.0,2.18,60.75,0.95
2021,319,1.1,24.0,22.48,23.24,24.01,17.76,91.75,6.32,96.48,0.03,72.75,2.38,71.88,0.93
2021,320,0.92,23.32,22.51,22.92,23.31,17.76,95.25,9.11,96.51,0.03,67.19,2.35,65.81,0.94
2021,321,1.21,24.28,22.48,23.37,24.29,17.7,90.44,6.64,96.56,0.03,71.62,2.16,71.56,0.93
2021,322,1.2,23.85,22.83,23.34,23.85,18.13,94.31,8.97,96.44,0.03,73.06,1.98,75.81,0.94
2021,323,1.3,24.05,21.82,22.93,24.05,17.03,88.56,0.82,96.34,0.02,67.44,1.92,68.88,0.92
2021,324,1.37,23.55,21.26,22.4,23.56,16.48,88.0,0.25,96.37,0.02,67.75,1.68,67.38,0.92
2021,325,1.46,24.21,22.16,23.19,24.23,17.4,89.25,2.98,96.46,0.03,68.88,2.13,69.5,0.91
2021,326,0.88,23.62,21.84,22.73,23.62,17.03,90.38,5.5,96.57,0.03,64.06,2.45,65.81,0.91
2021,327,1.13,23.34,21.21,22.28,23.35,16.36,88.56,2.71,96.65,0.04,62.5,3.03,64.12,0.91
2021,328,1.34,23.37,21.58,22.48,23.37,16.72,90.12,5.11,96.64,0.04,57.81,3.07,58.25,0.91
2021,329,1.21,22.78,20.12,21.44,22.79,15.26,85.88,0.39,96.67,0.04,54.0,2.84,56.81,0.91
2021,330,0.97,22.56,20.05,21.31,22.56,15.26,86.5,1.17,96.63,0.04,50.31,2.64,52.5,0.9
2021,331,0.65,21.9,20.7,21.3,21.92,15.93,93.12,18.19,96.6,0.04,44.12,2.8,44.25,0.92
2021,332,0.77,23.02,22.19,22.61,23.02,17.46,95.12,17.83,96.5,0.03,68.69,2.56,66.62,0.93
2021,333,1.12,23.42,22.4,22.91,23.42,17.64,94.19,24.74,96.45,0.04,63.81,2.68,62.88,0.94
2021,334,0.48,22.35,21.45,21.9,22.33,16.66,94.62,56.99,96.6,0.05,52.62,3.28,53.25,0.97
2021,335,1.32,20.55,18.62,19.58,20.55,13.85,88.94,1.37,96.84,0.04,59.31,3.07,60.5,0.94
2021,336,1.37,20.82,18.09,19.46,20.82,13.43,85.25,0.17,96.89,0.04,60.44,2.94,62.69,0.92
2021,337,1.11,19.11,16.31,17.71,19.1,11.96,85.0,0.35,97.01,0.03,60.69,2.48,63.31,0.92
2021,338,1.66,18.0,15.08,16.54,18.01,11.11,84.75,0.01,96.95,0.03,59.81,2.17,62.38,0.91
2021,339,0.97,20.83,18.26,19.54,20.85,13.67,86.44,0.05,96.78,0.03,51.62,2.47,53.06,0.91
2021,340,1.05,21.13,18.51,19.82,21.13,13.79,85.94,0.15,96.82,0.04,54.25,2.76,56.38,0.91
2021,341,1.42,19.93,16.97,18.45,19.93,12.51,84.5,0.01,96.89,0.03,61.25,2.23,63.12,0.9
2021,342,1.05,21.08,18.65,19.87,21.11,14.04,87.25,0.47,96.84,0.03,59.5,1.95,64.31,0.9
2021,343,1.2,21.66,19.34,20.5,21.65,14.53,87.44,0.83,96.92,0.04,59.31,2.89,60.56,0.89
2021,344,1.77,20.56,17.69,19.12,20.56,13.06,85.12,0.01,96.92,0.03,62.38,2.55,63.62,0.89
2021,345,1.32,21.06,18.38,19.72,21.08,13.67,86.0,0.02,96.88,0.03,62.94,2.22,65.44,0.88
2021,346,1.47,22.09,19.43,20.76,22.11,14.59,86.0,0.27,96.85,0.04,57.62,2.66,59.44,0.88
2021,347,1.3,21.74,18.94,20.33,21.74,14.16,85.12,0.76,96.81,0.04,52.44,3.03,54.44,0.88
2021,348,1.15,22.27,19.87,21.07,22.28,15.08,87.19,0.97,96.64,0.04,60.69,2.73,61.5,0.88
2021,349,1.4,23.11,20.44,21.78,23.12,15.62,86.31,0.2,96.57,0.03,70.06,2.2,71.19,0.87
2021,350,1.75,23.35,20.61,21.98,23.36,15.81,86.06,0.03,96.61,0.02,71.06,1.95,73.69,0.87
2021,351,1.56,22.79,20.0,21.4,22.8,15.2,85.62,0.28,96.68,0.03,59.69,2.4,63.88,0.86
2021,352,1.14,21.46,18.57,20.01,21.47,13.85,84.75,2.94,96.7,0.04,49.12,2.95,52.69,0.86
2021,353,0.79,19.71,18.83,19.27,19.7,14.1,94.75,8.16,96.59,0.02,151.56,1.71,158.44,0.88
2021,354,1.83,23.65,19.4,21.53,23.19,14.77,79.94,0.03,96.67,0.16,204.69,0.66,188.75,0.87
2021,355,1.71,23.33,20.22,21.77,23.23,15.38,84.25,0.45,96.75,0.05,76.44,1.27,78.75,0.86
2021,356,1.29,21.36,19.45,20.4,21.37,14.65,89.44,0.49,96.77,0.02,68.62,1.82,69.19,0.86
2021,357,1.45,22.01,19.54,20.78,22.03,14.77,86.81,0.35,96.71,0.02,73.88,1.87,73.19,0.85
2021,358,1.73,22.33,19.36,20.84,22.34,14.59,84.75,0.01,96.73,0.02,75.0,1.77,75.06,0.85
2021,359,1.61,22.38,19.78,21.08,22.4,14.95,86.56,0.35,96.81,0.03,69.62,1.98,70.5,0.85
2021,360,1.27,22.81,20.24,21.53,22.82,15.38,86.81,2.16,96.9,0.03,67.81,2.31,68.81,0.85
2021,361,1.26,21.82,19.87,20.85,21.83,15.01,89.75,13.54,96.98,0.03,70.31,2.16,71.69,0.88
2021,362,1.23,22.19,20.41,21.3,22.2,15.5,90.19,4.22,96.92,0.04,64.56,2.88,64.19,0.86
2021,363,1.22,22.65,19.82,21.24,22.66,14.95,85.06,0.36,96.94,0.04,62.0,3.06,61.5,0.85
2021,364,1.3,21.95,18.85,20.4,21.95,14.04,83.56,0.2,97.07,0.05,59.06,3.45,60.06,0.84
2021,365,1.62,20.98,17.7,19.34,20.98,13.06,82.62,0.05,97.1,0.05,61.88,3.31,63.06,0.84
