-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  12.8706   Longitude 108.2371 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 397.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.28,9.57,0.27,1.37
2022,10,2,5.37,14.52,0.42,2.16
2022,10,3,4.95,13.76,0.41,2.12
2022,10,4,3.38,10.28,0.32,1.64
2022,10,5,4.27,12.23,0.37,1.88
2022,10,6,5.0,13.94,0.41,2.09
2022,10,7,4.54,12.63,0.37,1.87
2022,10,8,2.67,8.26,0.25,1.26
2022,10,9,4.24,12.1,0.36,1.8
2022,10,10,2.36,7.16,0.21,1.05
2022,10,11,1.2,3.98,0.11,0.54
2022,10,12,3.48,9.83,0.28,1.41
2022,10,13,1.96,5.93,0.16,0.8
2022,10,14,1.14,3.78,0.11,0.54
2022,10,15,4.49,12.34,0.34,1.76
2022,10,16,4.91,12.98,0.36,1.8
2022,10,17,4.34,11.53,0.34,1.69
2022,10,18,5.53,13.83,0.38,1.94
2022,10,19,5.08,12.48,0.34,1.76
2022,10,20,2.91,8.4,0.25,1.25
2022,10,21,5.11,13.35,0.38,1.91
2022,10,22,5.15,13.81,0.39,1.99
2022,10,23,3.36,9.88,0.28,1.44
2022,10,24,4.77,12.48,0.34,1.74
2022,10,25,3.54,9.98,0.28,1.43
2022,10,26,4.38,12.08,0.34,1.7
2022,10,27,0.98,3.3,0.09,0.48
2022,10,28,3.37,9.45,0.27,1.33
2022,10,29,2.86,8.47,0.24,1.22
2022,10,30,3.19,8.95,0.25,1.26
2022,10,31,5.53,13.77,0.38,1.95
2022,11,1,4.94,12.21,0.34,1.75
2022,11,2,4.72,11.89,0.34,1.71
2022,11,3,3.34,8.99,0.25,1.29
2022,11,4,2.96,8.41,0.25,1.26
2022,11,5,4.21,11.42,0.32,1.62
2022,11,6,4.71,12.48,0.35,1.8
2022,11,7,4.97,13.02,0.36,1.86
2022,11,8,5.52,14.09,0.39,2.0
2022,11,9,4.77,12.59,0.35,1.82
2022,11,10,3.61,10.09,0.29,1.48
2022,11,11,4.34,11.64,0.33,1.67
2022,11,12,1.75,5.67,0.16,0.85
2022,11,13,1.99,6.3,0.19,0.95
2022,11,14,4.33,11.62,0.33,1.7
2022,11,15,3.78,10.42,0.3,1.59
2022,11,16,4.38,11.85,0.34,1.82
2022,11,17,4.0,10.94,0.32,1.7
2022,11,18,3.84,10.6,0.31,1.63
2022,11,19,2.04,6.27,0.2,1.08
2022,11,20,0.99,3.35,0.1,0.55
2022,11,21,2.01,6.37,0.2,1.05
2022,11,22,1.34,4.44,0.13,0.71
2022,11,23,3.46,9.94,0.3,1.58
2022,11,24,4.17,11.16,0.33,1.74
2022,11,25,4.14,11.1,0.33,1.73
2022,11,26,3.36,9.63,0.29,1.52
2022,11,27,4.46,12.04,0.34,1.81
2022,11,28,5.21,13.51,0.38,1.97
2022,11,29,5.56,13.79,0.38,1.98
2022,11,30,4.33,11.33,0.32,1.68
2022,12,1,4.4,11.71,0.33,1.76
2022,12,2,2.43,7.27,0.21,1.14
2022,12,3,1.97,5.95,0.17,0.91
2022,12,4,2.22,6.66,0.21,1.12
2022,12,5,3.16,8.73,0.27,1.44
2022,12,6,2.56,7.54,0.23,1.26
2022,12,7,1.65,5.24,0.16,0.88
2022,12,8,4.49,11.7,0.35,1.91
2022,12,9,4.13,11.02,0.34,1.91
2022,12,10,4.41,11.59,0.37,2.04
2022,12,11,4.81,11.88,0.35,1.89
2022,12,12,3.4,9.02,0.27,1.44
2022,12,13,4.95,11.88,0.34,1.84
2022,12,14,3.26,8.46,0.24,1.29
2022,12,15,3.8,9.91,0.28,1.48
2022,12,16,3.33,9.13,0.27,1.49
2022,12,17,2.71,7.99,0.26,1.45
2022,12,18,2.39,7.04,0.23,1.29
2022,12,19,3.02,8.13,0.26,1.45
2022,12,20,3.48,9.23,0.28,1.55
2022,12,21,3.52,9.36,0.29,1.62
2022,12,22,4.33,11.02,0.33,1.78
2022,12,23,4.11,10.34,0.3,1.67
2022,12,24,3.69,9.41,0.28,1.56
2022,12,25,4.09,10.57,0.31,1.74
2022,12,26,4.77,11.95,0.35,1.95
2022,12,27,4.08,10.6,0.32,1.76
2022,12,28,5.36,13.19,0.4,2.2
2022,12,29,5.04,12.67,0.37,1.98
2022,12,30,3.63,9.94,0.3,1.72
2022,12,31,2.56,7.46,0.23,1.26
